{'短评内容': '感觉蛮不错。综合来说环境还是可以的', '短评打分': 5}
{'短评内容': '优惠弧度小调，优势变没了', '短评打分': 3}
{'短评内容': '附近的酒店还是比较多的，这家靠马路，太吵了，晚上没睡好', '短评打分': 3}
{'短评内容': '服务员面无表情，房间小，设备有的都生锈了，房间没窗户，连门都反锁不了……', '短评打分': 3}
{'短评内容': '还可以吧，价格也合理，就是有一点吵！其它都好！', '短评打分': 3}
{'短评内容': '还可以吧，不过就是有一点吵，其它的都很好，真的！', '短评打分': 5}
{'短评内容': 'Good and clean facilities, big room, kind staff and convenient location; very close to the bus station (you should be careful that town center in Hoi An is a little far from there).  Recommendable.', '短评打分': 5}
{'短评内容': '性价比很高的一家酒店，设施齐全，服务也不错', '短评打分': 5}
{'短评内容': '酒店不错，交通便利，卫生干净。设施也行。前台接待很热情，人还很漂亮噢！', '短评打分': 5}
{'短评内容': '就在国道边上，交通比较方便，离闹市区也比较近。蛮干净的。', '短评打分': 5}
{'短评内容': '此酒店不错，价格便宜!服务态度好，设施也很好，干净卫生，交通便利，大约600米吧到长途客运站.在店内可以叫餐，很方便，', '短评打分': 5}
{'短评内容': '酒店外观有些欧式风格的，房间装修的蛮简洁的，但不失奢华，金碧辉煌的，硬件设施齐全，前台服务热情周到，卫生条件很好', '短评打分': 5}
