{'短评内容': '位置好，出行方便', '短评打分': 4}
{'短评内容': '早餐还可以', '短评打分': 5}
{'短评内容': '还是很不错的！推荐一个', '短评打分': 4}
{'短评内容': '服务不错，环境也很好', '短评打分': 4}
{'短评内容': '方便实惠太多好', '短评打分': 5}
{'短评内容': '环境还好，房间有点小，交通便利！地处繁华！', '短评打分': 5}
{'短评内容': '周边交通方便，酒店位置不错。房间干净 舒适。以后也会继续选择。', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '此次是第二次入住，这次要吐槽一下了，那个床垫子实在是有问题，弹簧都突出来了，我没有看到，晚上休息的时候，跪在床上，膝盖破掉了很大一块皮，实在是惊恐，但是太晚了，也累了，就早上退房的时候和前台提出了。急于办事，上午客房经理倒是给回了电话，但是没有诚意', '短评打分': 5}
{'短评内容': '酒店地处银川鼓楼南步行街与新华街的交叉路口西北角，交通便利，周边餐饮，购物环境很好。酒店服务非常热情，接待人员彬彬有礼，客人有宾至如归的感觉。三楼的餐厅早餐，午餐和晚餐都非常好。最喜欢金鼎牛肉拉面，以及手抓羊肉。银川市民也很好客，无论是坐公交还是打车，都有本地人热心介绍银川的好玩的和好吃的，以及车辆换乘方法等，真的非常喜欢银川。马路也很宽，城市现代化程度也很高，出乎了原来的想象。饮食很有特点，价格', '短评打分': 5}
{'短评内容': '非常不错 服务交贴心 ', '短评打分': 5}
{'短评内容': '老酒店，在当地算可以的吧。', '短评打分': 5}
{'短评内容': '很不错的酒店，酒店位置很好，距离我办事的地方很近，周围也很繁华，服务也不错，晚上不想开空调，但是比较冷，就让客房帮我加一床被子，刚开始说没有，但是最后还是帮我找了一床被子，前台大堂经理赵丹很不错，特意注意了她名字，不仅很细心的介绍餐厅的食物，再知道我吃完饭要去机场后很细心的告诉我在哪边打车，打车上去大概什么价位，怎么跟出租车砍价，很热情', '短评打分': 5}
{'短评内容': '交通便利，环境很好，住宿舒服，服务态度好。', '短评打分': 5}
{'短评内容': '交通便利，环境很好，住宿舒服，服务态度好。', '短评打分': 5}
{'短评内容': '交通便利，环境很好，住宿舒服，服务态度好。', '短评打分': 5}
{'短评内容': '很好长住', '短评打分': 5}
{'短评内容': '這是一間不錯的酒店，地理位置很好，旁邊有商場，下次出差會再入住', '短评打分': 5}
{'短评内容': '酒店位置很不错，内部设施也还行，晚上还有送酸奶报纸等等，不足的地方就是前台服务都不知道一些当地出行，交通，周边情况的信息。', '短评打分': 5}
{'短评内容': '比较干净，服务不错。是银川的老城区，边上就是步行街，出行购物也比较方便。但性价比不是很高。', '短评打分': 5}
{'短评内容': '房间挺干净', '短评打分': 3}
{'短评内容': '房间小，绝对不应该是四星级的房间，早餐很好，总的来讲性价比不高，下次不会再选这间酒店', '短评打分': 1}
{'短评内容': '下次还会去这家酒店，位置很好，价格公道.推荐朋友去这家酒店', '短评打分': 5}
{'短评内容': '酒店挺干净，不过卫生间很小，面盆放在走廊不太习惯，468价格有点不值', '短评打分': 3}
{'短评内容': '酒店的设施服务水平非常好，贴心又周到，早餐及迎宾部门的主管负责热心，而且这家酒店不收小费。酒店位置很好，在步行街旁边，周遍商场很多，是一个性价比极好的酒店，极力推荐。', '短评打分': 5}
{'短评内容': '硬件设施完全是中高档四星级的标准\r\n服务也还不错\r\n位置很好，购物旅游方便，交通便利\r\n就是大堂有点小', '短评打分': 4}
{'短评内容': '酒店位置不错,早餐不错,就是性价比 不高.', '短评打分': 5}
{'短评内容': '房间很有民族特色，干净舒适很不错！服务也很好！', '短评打分': 3}
{'短评内容': '非常好的酒店，老公每次出差都会住在这。这次刚好有活动，连住两晚优惠XDDD\n以后还会去，房间很舒服，服务态度也很好。\n网速稍微有那么一丢丢的慢，不过不影响整体感觉。\n会和其他同事推荐的^^', '短评打分': 5}
{'短评内容': '位于繁华地段，步行街很近。硬件设施还是不错的,就是我住那间房间有点窄，卫生间也窄，个子高点的蹲在马桶上膝盖要碰墙了；冲淋房要侧身才能进。\n\n三楼的自助小火锅我很喜欢，凭房卡午市43元一位，晚市58元一位。我是去吃晚饭的，羊肉不错（就是切的厚了点），蛏子鲜活肉厚非常好，啤酒畅饮。。。', '短评打分': 5}
{'短评内容': '房间卫生干净', '短评打分': 3}
{'短评内容': '酒店比较新，服务也还好，地理位置是银川市商业中心，只是卫生间小，早餐品种少。', '短评打分': 5}
