{'短评内容': '剃须刀没有免费提供', '短评打分': 4}
{'短评内容': '酒店一般，早餐更一般，不算新，但床品很舒服，服务员服务有求必应；菜品新鲜；酒店周边很漂亮，自驾停车非常方便。', '短评打分': 3}
{'短评内容': '早餐还行吧 就那样 没有比较特别的 ', '短评打分': 5}
{'短评内容': '总体还是可以的。', '短评打分': 4}
{'短评内容': '设施相对老旧', '短评打分': 5}
{'短评内容': '停车方便，早餐挺不错的。', '短评打分': 5}
{'短评内容': '很好的酒店', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '住了三次了，还不错，属于当地最好的酒店了。不好的是酒店财务部规定吃饭挂账不能开入住宿费（普票）里，这就有点不够变通了，何必呢？情商低了', '短评打分': 5}
{'短评内容': '酒店外观很大气，设施很齐全，价格很亲民，下次去还会住那里，整体感觉很不错，并且随行的朋友都觉得很棒！', '短评打分': 5}
{'短评内容': '无', '短评打分': 4}
{'短评内容': '整体都不错', '短评打分': 5}
{'短评内容': '好环境安静很好 比较喜欢的一家酒店', '短评打分': 5}
{'短评内容': '很好', '短评打分': 4}
{'短评内容': '服务周到，环境好，设施好，价格不贵，下次还来', '短评打分': 5}
{'短评内容': '挺好的，超满意', '短评打分': 5}
{'短评内容': '天长最好的酒店,环境不错,比较钟情的还是那丰盛的早餐呐', '短评打分': 5}
