{'短评内容': '已是第二次住了，酒店交通便利，设备齐全，好评！', '短评打分': 5}
{'短评内容': '不含早餐', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '挺好的，非常舒适', '短评打分': 5}
{'短评内容': '标准间2张大床，房间很大，热水很足，位置距离大唐芙蓉园很近，后院免费停车。挺好的。', '短评打分': 5}
{'短评内容': '住宿条件不错/离大雁塔和陕博很近，晚上很清静。向陕博方向走两三百米左右有家子午路肉夹馍，味道很棒', '短评打分': 5}
{'短评内容': '屋里挺暖和的就是灯暗点嘿嘿', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': ' 周围环境不错', '短评打分': 5}
{'短评内容': '一般般，设施有点旧', '短评打分': 3}
{'短评内容': '干净卫生', '短评打分': 5}
{'短评内容': '干净，卫生', '短评打分': 5}
{'短评内容': '总价不错', '短评打分': 5}
{'短评内容': '交通方便', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '感觉对得起这个价位，下次还住', '短评打分': 5}
{'短评内容': '环境差评', '短评打分': 2}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '离大雁塔很近，适合步行到大唐不夜城和大雁塔广场', '短评打分': 4}
{'短评内容': '交通方便，卫生不错，就是有一点点烟味', '短评打分': 4}
{'短评内容': '地理位置较好，离大雁塔比较近，设施比较新，房间也比较干净。如果喜欢看音乐喷泉的游客就比较方便，步行就行了，步行去陕博也比较近。虽然离火车站的游5旅行专线车站有点远，但是乘公交车去火车站也还比较方便，只是要提早一点出门哦！酒店有地下免费停车场，如果自驾游的游客尽可放心。总之游客可以根据自己旅行的侧重点来进行权衡哦！我们全家还是挺满意的！', '短评打分': 5}
{'短评内容': '房间不错，干净，宽敞', '短评打分': 3}
{'短评内容': '不错，环境很好，看着也不错，很满意，有机会还会去的！', '短评打分': 5}
{'短评内容': '酒店空间很大，房间整洁，离大雁塔咫尺距离，游玩非常方便。交通不错。缺点是周围吃饭的地方并不多，要不就是那些很小的大排档，周围购物也不方便。', '短评打分': 5}
{'短评内容': '不错，房间很宽敞，卫生也不错，值得推荐。', '短评打分': 5}
{'短评内容': '地理位置的确很优越，外地来旅游的朋友住这里会很方便。', '短评打分': 5}
{'短评内容': '酒店周围交通很方便，小吃特别多，离省博物馆很近。走去就可以了。酒店床很舒服。强烈推荐。', '短评打分': 5}
{'短评内容': '酒店位置很好，离大雁塔很近。酒店也非常干净，值得再次入住。', '短评打分': 5}
{'短评内容': '不錯的酒店棒很方便,去大雁塔也是很近的,旁邊有一間湘菜館也不錯吃', '短评打分': 5}
{'短评内容': '很快速就搞定了注册\u3000价钱也很公道~地方离大雁塔近\u3000周围环境很好', '短评打分': 3}
