{'短评内容': '早餐还行，包子粥面条都有', '短评打分': 5}
{'短评内容': '早餐很不错', '短评打分': 4}
{'短评内容': '房间太差，严重不推荐', '短评打分': 2}
{'短评内容': '住的窝心，空调不行，喊服务员来，直接来一句就这样，我ca', '短评打分': 2}
{'短评内容': '保税区内最好的酒店了', '短评打分': 5}
{'短评内容': '每次去青岛开发区，都选择这家酒店，在保税区里面，比较安静，还有能看到青岛港，属于海景了。早餐还不错，四星级的标准。', '短评打分': 5}
{'短评内容': '住宿感觉还是挺好的。安静，推荐入住。', '短评打分': 5}
{'短评内容': '酒店在保税区内，晚上比较安静，早餐也很不错。值得推荐。', '短评打分': 5}
{'短评内容': '一直信赖京东，所以现在酒店也都在京东预定，终于升到钻石会员了。', '短评打分': 5}
{'短评内容': '位置在保税区，晚上非常安静，北面房间可以看到海，超赞。早餐也还可以.', '短评打分': 5}
{'短评内容': '挺好的，一直在住的酒店，性价比还是不错的', '短评打分': 5}
{'短评内容': '住了好多次了，挺好的，还送了双人早餐自助。很划算', '短评打分': 5}
{'短评内容': '稍贵一点，但档次还行', '短评打分': 4}
{'短评内容': '价格优惠', '短评打分': 5}
{'短评内容': '住了十几次了，周围的环境差不多还行，房间的设施有点老旧不过还可以，早餐简单，离保税区管委非常近，工作交流非常方便。', '短评打分': 5}
{'短评内容': '设施陈旧，环境一般', '短评打分': 2}
{'短评内容': '行政贵宾房，很大，好评', '短评打分': 5}
{'短评内容': '出差住的旅店，还不错吧。', '短评打分': 5}
{'短评内容': '买一送一，值。', '短评打分': 4}
{'短评内容': '酒店前台和客房服务挺好，是星级酒店该有的标准，但是上不了国外网站很遗憾。国外的同事很是抱怨。还有特别表扬下前台一个很高大的帅哥，出乎我们的意料英语口语很棒，服务也很专业比之前住的某大豪生性价比高很多，客房的大姐也很热情，服务很周到，向大家推荐下！还有，依然信赖携程！', '短评打分': 4}
{'短评内容': '还可以吧。', '短评打分': 4}
{'短评内容': '性价比超髙，店内设施丶服务一流。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店名称:青岛名人酒店酒店名称:青岛名人酒店酒店名称:青岛名人酒店酒店名称:青岛名人酒店', '短评打分': 5}
{'短评内容': '非常给力。7 8 月份我来旅游一定还住这里', '短评打分': 5}
{'短评内容': '新开的酒店，真是不错，估计是黄岛地区最好的一家吧。没想到服务很不错，二楼中餐包间非常漂亮，价格还这么便宜，没想到。硬件这么好，服务很热情，虽然入住时，有几个团队在登记排队，我确被优先安排很满意', '短评打分': 5}
