{'短评内容': '算是縉雲最好酒店了', '短评打分': 4}
{'短评内容': '房间除了不够大，其它还好，早餐也还不错。', '短评打分': 5}
{'短评内容': '很好的酒店', '短评打分': 5}
{'短评内容': '挺好，住了好几次了，比较满意', '短评打分': 4}
{'短评内容': '交火车站比较近，有点吵', '短评打分': 4}
{'短评内容': '这就是缙云最好的酒店了，设备还行吧，毕竟缙云没有五星的', '短评打分': 5}
{'短评内容': '房间外观是现代质感的建筑，简洁典雅，造型刚中有柔，尽显青岛地域建筑风情。房间内厅和卧室都是正南向的。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很棒', '短评打分': 5}
{'短评内容': '价格绝对优势', '短评打分': 5}
{'短评内容': '只能说一般，不过在当地算好的了', '短评打分': 4}
{'短评内容': '酒店周边环境很好，景观很不错，可以观赏美好的自然风光。房间非常好，足够大，有档次。早餐也很丰盛，很好的酒店。服务态度非常好。很有档次的酒店，旅游商务都让人觉得很舒适很享受。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '很多细节还是不够到位，不够四星标准', '短评打分': 3}
{'短评内容': '春节期间入住的，到现在才点评。  位置不错，也算是县城最好的酒店之一了。春节期间生意特别好，很多聚会活动在酒店举行，因为我们只能开车出去觅食。还有，因为是老字号的酒店，所以房价特别高，当然在那个地方，选择确实不多。', '短评打分': 5}
{'短评内容': '环境不错 早餐丰富 交通方便 边上夜宵蛮多的', '短评打分': 5}
{'短评内容': '好的酒店', '短评打分': 4}
{'短评内容': '非常不错，下次会推荐更多的朋友来住此酒店。', '短评打分': 5}
{'短评内容': '去拜访朋友的时候，朋友推荐的 小地方的好酒店 不错 好像新装修了 有点4星的 样子', '短评打分': 5}
{'短评内容': '自驾去的话停车比较方便，离仙都景区也不是太远。酒店居住条件还过得去吧。', '短评打分': 5}
{'短评内容': '第二次住这间酒店，感觉挺不错的。只是装修旧了一些。酒店早餐很丰富，味道也很好。不过·香溢厅的菜有点咸。', '短评打分': 5}
{'短评内容': '不错的酒店，性价比很好，下回还会入住的！', '短评打分': 5}
{'短评内容': '在缙云算是好的酒店了，唯一不足的就是离火车站太近,火车声音有点响，但看得出酒店还是在改进了，靠街的房间都安装了二层的窗来隔音。', '短评打分': 5}
{'短评内容': '在缙云算是好的酒店了，唯一不足的就是离火车站太近', '短评打分': 5}
{'短评内容': '设施有点旧了。', '短评打分': 3}
{'短评内容': '早餐比较丰盛，就是靠铁路的房间比较吵。总体还不错！', '短评打分': 5}
{'短评内容': '缙云香溢大酒店是缙云最好的酒店了，不过在同样4星的酒店里算设施一般的，早餐种类还可以，但是卫生不好，有苍蝇围着点心飞也没人管，蛋糕吃了一半发现有虫子...\n价格还行比较便宜。 ', '短评打分': 5}
{'短评内容': '在缙云这家算是好的酒店了，但是设施还是旧了一点', '短评打分': 5}
{'短评内容': '一般，什么都一般，每什么特别的。。。。。', '短评打分': 5}
{'短评内容': '房间布置的挺温馨，卫生打扫的也很好，周边交通很便利，出行很方便。', '短评打分': 5}
{'短评内容': '酒店位置还不错，离火车站、汽车站挺近的，出行还是很方便的。', '短评打分': 5}
{'短评内容': '酒店的服务很好，随叫随到，态度也很热情，早餐也不错，挺丰盛，味道也不错。', '短评打分': 5}
{'短评内容': '服务人员态度挺好，办事也挺积极的，房间也挺干净，床也很大很舒适，住的很满意。', '短评打分': 5}
{'短评内容': '酒店的条件还不错,室内条件还可以,不过服务很不好,我本人不是很看好这家酒店.', '短评打分': 5}
{'短评内容': '不错，下次还会再来', '短评打分': 5}
{'短评内容': '设施很陈旧，卫生也不是很好，酒店的服务态度还可以，位置和价格都还行。硬件设施很差，很一般的酒店。', '短评打分': 1}
{'短评内容': '酒店总体感觉不错，在网上订的挺方便的.房间设施也好.在新城附近出行还算方便.', '短评打分': 5}
{'短评内容': '酒店非常舒适，服务也好，不错的酒店', '短评打分': 5}
{'短评内容': '酒店的整体非常差,服务卫生以及房间的内部设施都非常差的,位置很一般的酒店,性价比很差的酒店,下次不会在去住这家酒店了', '短评打分': 1}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
