{'短评内容': '哎', '短评打分': 5}
{'短评内容': '还可以，这个价位', '短评打分': 4}
{'短评内容': '周边方便，入住快捷', '短评打分': 5}
{'短评内容': '早餐没吃，环境还不错，靠近白河边，晚上出去玩不错', '短评打分': 5}
{'短评内容': '挺好的都', '短评打分': 5}
{'短评内容': '马桶堵', '短评打分': 3}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '还好。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '整体还可以', '短评打分': 4}
{'短评内容': '不错，今天续住了！！！！', '短评打分': 3}
{'短评内容': '环境好，房间大，不错', '短评打分': 3}
{'短评内容': '房间比较旧，墙壁有水印。', '短评打分': 3}
{'短评内容': '非常好！环境干净，方便快捷', '短评打分': 5}
{'短评内容': '位置还可以，交通便利，推荐。', '短评打分': 3}
