{'短评内容': '环静不错，位置在比较繁华的街道上，买东西很方便，吃饭要走15分钟的样子就到那条街了', '短评打分': 5}
{'短评内容': '', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '酒店没有车位，停车要自己停到走路10分钟左右的中医院停车场，太麻烦了。', '短评打分': 5}
{'短评内容': '环境不错，服务很好', '短评打分': 5}
{'短评内容': '服务好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '如家的价格合理，地段好', '短评打分': 5}
{'短评内容': '方便快捷', '短评打分': 5}
{'短评内容': '设施有些老旧了，最近去的可以选择昭通宾馆下榻，新装修的还行！', '短评打分': 4}
{'短评内容': '隔音效果不好，早上有点吵。服务态度一般，不是很热情。住宿环境还可以，卫生不错。但是客房都没有卫生纸，吐槽……', '短评打分': 4}
{'短评内容': '非常好，房间很干净，喜欢', '短评打分': 5}
{'短评内容': '环境一般、服务一般', '短评打分': 4}
{'短评内容': '住宿非常方便，附近有很多饭馆，环境还很安静。', '短评打分': 5}
{'短评内容': '总体不错，就是网速差点', '短评打分': 5}
{'短评内容': '可以，不错的，房间有点小', '短评打分': 5}
{'短评内容': '很好很不错，下次继续住-------', '短评打分': 5}
