{'短评内容': '东西很好，送货很快，必须满意，好评满分', '短评打分': 5}
{'短评内容': '位置很方便，干净。服务不错。', '短评打分': 5}
{'短评内容': '隔音好', '短评打分': 5}
{'短评内容': '酒店环境不错，床也舒服', '短评打分': 5}
{'短评内容': '挺好的不错的酒店', '短评打分': 5}
{'短评内容': '酒店很不错', '短评打分': 5}
{'短评内容': '哈哈哈哈和', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '房间不错.服务也好', '短评打分': 5}
{'短评内容': '楼下的室外停车场很方便，歺厅风格观光电梯很喜欢，1121房间的视线好。以后再去还选择这家', '短评打分': 5}
{'短评内容': '房间不错的', '短评打分': 5}
{'短评内容': '就是有点老旧，其他都好', '短评打分': 5}
{'短评内容': '酒店该装修了', '短评打分': 4}
{'短评内容': '看上去不错', '短评打分': 4}
{'短评内容': '商务出行，挨着承德市最大的附属医院交通有点小堵，楼下有餐厅，楼上住宿挺方便', '短评打分': 4}
{'短评内容': '冬天千万别住这种酒店，表面是4星，房间冷得要死，进房间14度，说是开空调就暖了，其实中央空调太差，吹了一晚上温度还是不到18度，卫生间冷得根部就不敢进去', '短评打分': 4}
{'短评内容': '酒店没有浴袍、没有面巾纸，头发吹风机是坏的……', '短评打分': 4}
{'短评内容': '酒店设施很陈旧，地理位置还可以', '短评打分': 3}
{'短评内容': '与四星的标准相差太远，本来想多住一天，进了房间后第一个想法就是尽快结账走人！', '短评打分': 1}
{'短评内容': '地理位置很好，附近超市饭店很多，出行方便，就是暑期可能人比较多，价格不便宜，但是舒适度很好', '短评打分': 5}
{'短评内容': '价格太高，但算来这是当地最好的酒店了，整体不错，内部结构不是很合理，早餐很不错', '短评打分': 5}
{'短评内容': '车在酒店门口被贴条了，有点儿背，酒店位置不错，但价格有点儿高，浴巾太硬了，节假日需要提前预定否则没有房间...', '短评打分': 5}
{'短评内容': '说实话，已经是承德市内最好的酒店了。\n在我看来，这家酒店实际的条件勉强达到了4星。\n优点是硬件条件还可以，缺点一是窗户的隔音效果不好，临街的屋子很吵；二是服务员素质有待提高，在走廊里面大声说话影响客人休息。', '短评打分': 5}
{'短评内容': '整体环境不错，前台mm笑的很好看，吼吼，希望能坚持下去，', '短评打分': 5}
{'短评内容': '酒店是承德最好的,位置和环境都还不错', '短评打分': 3}
{'短评内容': ' 已入住承德天宝假日酒店 四间标准间 一间套房   酒店尚可  感觉软件硬件都没有达到四星级标准  ', '短评打分': 3}
{'短评内容': '还行吧，房间很干净，就是设施简单，位置好！', '短评打分': 1}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '住过几次还可以早餐有点太少人多，环境还可以主要是离避暑山庄近', '短评打分': 5}
{'短评内容': '典型的旅游区 在旅游季节这个价格zai人，早餐还可以 如果300到400元，还是会选择入住，听说 不是7月 8月的旺季 这个酒店也不贵，这个价格800多元，就不值了，周围还有很多选择，出去玩 实际上住的干净一些就可以了。', '短评打分': 1}
{'短评内容': '干净,早餐好.地理位置好.交通便利.但是有些贵.标间560元.', '短评打分': 5}
{'短评内容': '还不错，出行很方便，也比较安静，饭菜也可以。', '短评打分': 5}
{'短评内容': '服务不是很好，酒店环境也一般，一点都不值，干净程度也就3星。电视还是最老的那种，而且很小。早点也很差。', '短评打分': 1}
