{'短评内容': '还可以吧，这个价格。', '短评打分': 4}
{'短评内容': '很不错的房间', '短评打分': 5}
{'短评内容': '都算可以接受', '短评打分': 3}
{'短评内容': '一如继往的好', '短评打分': 5}
{'短评内容': '定了2间房间，酒店位置可以，但停车场到酒店前台居然需要走两层楼梯，带着小孩拉着一大堆行李累啊，到了前台想换双人间，被告知要加100元，算了，房间还有一股臭味，不值300多。', '短评打分': 4}
{'短评内容': '位置特别好，离祖庙非常近，房间虽然小，但房型设计合理，房间干净设备新且齐全，早餐也可以，特别不错的精品酒店。', '短评打分': 5}
{'短评内容': '酒店不错，位置很好，房间设施也齐全，就是有点地方不够细心，没有打扫干净', '短评打分': 5}
{'短评内容': '位置很好，房间宽敞舒适，视野好', '短评打分': 5}
{'短评内容': '很好，很方便', '短评打分': 5}
{'短评内容': '很好，离祖庙很近', '短评打分': 5}
{'短评内容': '还是不错的', '短评打分': 5}
{'短评内容': '空间挺大，但价格偏贵', '短评打分': 5}
{'短评内容': '好。干净。喜欢。多次入住。  前台服务人员也热情，快捷。', '短评打分': 5}
{'短评内容': 'Location is very good. Just next to the subway and opposite swissotel and near crowne plaza. Good places to eat nearby.  Problems - Breakfast just ok. More chinese style and they dont believe much in ', '短评打分': 4}
{'短评内容': '不错，还有免费停车场', '短评打分': 5}
{'短评内容': '佛山出差一直都是住这家酒店，很干净感觉很好。', '短评打分': 5}
{'短评内容': '不错的酒店，干净，近景点，好？', '短评打分': 5}
{'短评内容': '环境很好，很干净', '短评打分': 3}
{'短评内容': '房间整体不错，遗憾是搜不到wifi上网，打两次问前台都没给出个标准代号！导致没网络查不了资料实为缺憾…', '短评打分': 3}
{'短评内容': '在市中心里，酒店位置不错，房间蛮好。。。。。', '短评打分': 5}
{'短评内容': '在金城，皇冠假日，恒安瑞士的环绕之下，性价比也毫不逊色的酒店', '短评打分': 5}
{'短评内容': '很不错的酒店，不过升价了，如果还是原来的价格就更好了，性价比超高！', '短评打分': 5}
{'短评内容': '很不错的酒店，干净，位置好，早餐比较丰富！好好好！！！！', '短评打分': 5}
{'短评内容': '干净，方便,差不多每次出差都住这里。\n早餐也很方便。', '短评打分': 5}
{'短评内容': '此酒店環境不錯交通方便適合商務人士建議入住', '短评打分': 5}
{'短评内容': '位置不错，打的方便，欧式风格，住得舒服！早餐比较丰富，比较爱吃。', '短评打分': 5}
{'短评内容': '位置极佳，房间有点小虽然我住在29楼但是还是有噪音，早餐品种太少，希望酒店能够增加品种', '短评打分': 5}
{'短评内容': '交通方便，在祖庙地铁站附近，与友谊商店在同一幢楼，百花商场、祖庙等在5分钟步行范围。无论在餐饮、景点、购物都超方便，下次还会入住。', '短评打分': 5}
{'短评内容': '酒店地理位置不错，布置也很精细，只是有些霉味', '短评打分': 5}
{'短评内容': '酒店的管理水平还需提高，房间内的卫生打扫不细致，台面能够见到有灰尘。', '短评打分': 5}
{'短评内容': '酒店只有部分房间有机顶盒，可以看点播的电影、电视剧等节目，建议入住时向前台询问清楚，否则就只能拿着电视剧遥控器，不停的换台了', '短评打分': 5}
{'短评内容': '好！很好！非常好！好！很好！非常好！好！很好！非常好！好！很好！非常好！', '短评打分': 5}
{'短评内容': '很好！很好！很好！很好！很好！很好！很好！很好！很好！很好！很好！很好！', '短评打分': 5}
{'短评内容': '房间比较小，但床很大，躺着看电视很舒服,算是不错的', '短评打分': 5}
{'短评内容': '在佛山来说是一家新酒店，房间干净，只是毛巾不够白，早餐品种太少。', '短评打分': 5}
{'短评内容': '毛巾有点黑哦，地段还不错，房间有点小，楼下有友谊商店', '短评打分': 5}
{'短评内容': '交通便利，干净卫生，早餐挺不错，选择较多，以后还是会入住！', '短评打分': 5}
{'短评内容': '酒店位置不错，周围比较热闹，百花广场也在5分钟步行范围内，吃饭比较方便。房间设施挺好，比较紧凑。', '短评打分': 5}
{'短评内容': '很好的酒店，舒服，方便，以后还是会住~，第一选择！', '短评打分': 5}
{'短评内容': '挺好的..便利衛生', '短评打分': 3}
{'短评内容': '很不错的酒店，尤其早餐觉得在住过的酒店里算选择很多的。', '短评打分': 5}
{'短评内容': '住的挺舒服，就是广交会期间比较难订到房，说明酒店还是比较受欢迎的！', '短评打分': 5}
{'短评内容': '其实在友谊商店左侧，外观看跟友谊商店是一体的，22楼31楼是宾馆。住在30层，有全景落地玻璃，550的房价还是贵了些，不知是否广交会的缘故。早饭选择很少，没什么吃的。不过坐在31层看下面环境还可以。门牌设计很别致，是投影灯打的门牌好，每个房间门口有招财猫。房间内有仿青花的电热水壶。早餐还需要改进啊，还有门口停车都知道停哪怎么出去。', '短评打分': 5}
