{'短评内容': '这家店离客户近，一直住这家，相对其它店，价格不错。', '短评打分': 5}
{'短评内容': '还过得去', '短评打分': 4}
{'短评内容': '下次来继续订此房', '短评打分': 5}
{'短评内容': '感觉不错。很好，再来订', '短评打分': 5}
{'短评内容': '很好', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '晚上6点才能到福州火车站，打电话到前台留了房。如家快捷酒店，热水有，空调也有。价格还便宜。服务员服务态度很好。值得再次入住！', '短评打分': 5}
{'短评内容': '设备太旧，卫生没想象中的好，隔音效果不好', '短评打分': 3}
{'短评内容': '还可以，有停车场免费', '短评打分': 5}
{'短评内容': '电视太老土了，房间还凑合，因为地理位置不错。这个价位也可以了。', '短评打分': 4}
{'短评内容': '干净，舒适性好！', '短评打分': 5}
{'短评内容': '如家快捷酒店住的不错', '短评打分': 5}
{'短评内容': '如家快捷酒店住的不错', '短评打分': 5}
{'短评内容': '总体还行，热水稍有点问题，有点吵', '短评打分': 4}
{'短评内容': '房间好小啊，卫生间倒是很宽敞，房间地面不是很干净，性价比不高。', '短评打分': 1}
{'短评内容': '干净还好吧，但是房间闷，有烟味没有排出去的样子，房间卫生尚可，还有长头发没有打扫干净，老婆要是碰见可麻烦大了，马桶垫不够干净有脏东西，遥控器坏了～服务态度还好！可是打市区电话怎么要钱呢？', '短评打分': 3}
{'短评内容': '房间隔音效果不是很好', '短评打分': 3}
{'短评内容': '干净，早餐也丰富，离鞋城近。下次来还选这里、', '短评打分': 5}
{'短评内容': '环境可以', '短评打分': 3}
{'短评内容': 'OK，挺不错的，交通比较方便，环境不错。', '短评打分': 5}
{'短评内容': '房间很干净，地理位置也不错。但早餐有点差', '短评打分': 5}
{'短评内容': '总体感觉不错，第二次住了，停车也方便，交通也便利。门缝塞了几张名片。', '短评打分': 5}
{'短评内容': '位置不错，还会再去的。在福州很市中心呢，旁边的牛肉汤馆牛肉汤味道很正，推荐', '短评打分': 5}
{'短评内容': '\r\n环境非常好，干净，卫生!', '短评打分': 3}
{'短评内容': '非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好', '短评打分': 5}
{'短评内容': '还行，整体都不错，服务也不错，交通也算方便', '短评打分': 5}
{'短评内容': '呵呵，如家么，反正全国都一样，性价比很不错的，穷的时候我一般都选如家', '短评打分': 5}
{'短评内容': '房间比较干净，位置还算好找。有时上网速度不太快，特别是晚上。', '短评打分': 5}
{'短评内容': '房间住起来很不舒服，床单和被子很不舒服，服务还可以', '短评打分': 1}
{'短评内容': '房间好小啊··住一天凑活了··。。。。。。。。。', '短评打分': 1}
{'短评内容': '   服务员态度很好，就是房间太旧，隔音效果不太好。\n  整体还是满温馨的很亲切.', '短评打分': 5}
{'短评内容': '感受连锁服务，全国预订方便，就是很多房间太小了/', '短评打分': 5}
{'短评内容': '虽然住店的时候正在装修，有点吵。但是人员服务态度不错。', '短评打分': 5}
{'短评内容': '房间还不错，也比较安静，就是不太好找，哈哈', '短评打分': 5}
{'短评内容': '很温馨干净整洁  但是窗子要是能锁就好了', '短评打分': 5}
{'短评内容': '入住位置难找，环境比较差，隔壁店铺在装修，从早上7点到晚上10点都在撞墙和切割东西，没住过这么吵得酒店。', '短评打分': 1}
{'短评内容': '很安静很干净。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好', '短评打分': 5}
{'短评内容': '不错。不错。不错。不错。不错。不错。不错。不错。不错。不错。不错。不错。不错。', '短评打分': 5}
{'短评内容': '地板都鼓起来了，被子也穿一窟窿，其他卫生、服务还是挺规范了，停车也非常方便。', '短评打分': 5}
{'短评内容': '除了上网极慢（好像成了各地如家的通病了），都封电驴、bt了上个网还老断线，其他都不错，交通也挺方便的，停车方便。', '短评打分': 5}
{'短评内容': '如家连销酒店，整体上都还算说的过去吧，设施，都还不错，就是可能住的人太多了吧。被子都挺旧的，看起来很差劲，脏脏的。其它都还好。', '短评打分': 5}
{'短评内容': '和朋友一起入住了两次了，觉得不错~ 性价比挺高~', '短评打分': 5}
{'短评内容': '挺干净，服务态度也不错，攒一个，据说是这附近比较不错又最实惠的酒店了', '短评打分': 5}
{'短评内容': '早晨起来，居然没有热水！！！！\n7,8度的天气，逼着我用冷水洗了澡。天啊~~~~~~\n我要是感冒了，一定找你们报销医药费！！！', '短评打分': 1}
{'短评内容': 'OKokokokokokokokokokok', '短评打分': 5}
{'短评内容': '隔音效果不好\n隔音效果不好\n特别在4楼的', '短评打分': 1}
{'短评内容': '还不错，就是感觉福州的宾馆都挺贵的，呵呵', '短评打分': 5}
{'短评内容': '第二次入住挺好', '短评打分': 3}
{'短评内容': '还不错，交通便利…卫生也还可以，性价比还行', '短评打分': 3}
{'短评内容': '价格挺实惠，卫生也不错。就是晚上隔音不大好，房间太小比较压抑。', '短评打分': 5}
{'短评内容': '住了两个晚上，挺好的，离中心商业区也不远', '短评打分': 5}
{'短评内容': '感觉很吵。。。门外的声音和隔壁的声音特别明显。。。', '短评打分': 1}
{'短评内容': '入住比较温馨，环境不错，比较安静，适合旅游时休息', '短评打分': 5}
{'短评内容': '服务态度很好，前台的工作作风严谨，入住方便，周围环境比较静，适合居住', '短评打分': 5}
{'短评内容': '房间都还好。就是小点。不过地段也较安静。适合短期居住', '短评打分': 5}
{'短评内容': '隔走道那里的房间。晚上有点吵。。。。其他还好', '短评打分': 5}
{'短评内容': '连锁型 一句话 经济实惠 这附近 有个紫阳二手车市场 想买走私车的 记得来哦', '短评打分': 5}
{'短评内容': '停车方便，可停30几部车；闹中取静，离六一路仅30-40米，对面及楼下均有大酒楼，还有家高档足浴，不错不错。', '短评打分': 5}
{'短评内容': '还是蛮干净整洁，就是太吵，一直有嗡嗡的声音', '短评打分': 5}
{'短评内容': '很好，第二次入住了', '短评打分': 5}
{'短评内容': '如家都还行，但是这家酒店前台的一个好像叫丁丹的女的，处理事情的能力有问题。态度有点傲慢和不屑，这是在其他如家店没有看到的', '短评打分': 3}
{'短评内容': '还行，地段不太好，所以价格也相对便宜些。。。。。。。。', '短评打分': 3}
{'短评内容': '+好', '短评打分': 5}
