{'descr': '各方面还可以', 'star': 5}
{'descr': '接待服务员态度特别好！赞！！', 'star': 5}
{'descr': '真的是不怎么样！卫生也很一般！以后不会再去', 'star': 1}
{'descr': '还不错～', 'star': 5}
{'descr': '还可以吧', 'star': 2}
{'descr': '还可以 ', 'star': 3}
{'descr': '好', 'star': 5}
{'descr': '房间的电脑是摆设，房间内没有无线信号。', 'star': 3}
{'descr': '很不错哦', 'star': 5}
{'descr': '房子有点陈旧 服务还是不错的 空调也好 但有发霉的味道 总体卫生需要加强', 'star': 3}
{'descr': '环境不错，位置不错，其实服务人员也挺好的，只是宾馆不能刷卡，到的时候没带太多现金，可是押金就要求交400，宾馆的其它设施什么的都挺好的。', 'star': 3}
{'descr': '还行吧！', 'star': 5}
{'descr': '酒店很不错！比较推荐 距离车站 民航大厦很近', 'star': 5}
{'descr': '房间宽敞，釆光也较好。但设施陈旧，被单、毛巾让人感觉很脏很旧。\n前台服务更差！', 'star': 1}
{'descr': '价位适中.还不错,房间很大.就是服务素质仍需提高', 'star': 5}
{'descr': '很干净，很舒服而且附近购物的地方有很多', 'star': 3}
{'descr': '干净  整洁   下次还会住这里  非常舒适 晚上肃静', 'star': 5}
{'descr': '第N次去了，房间够大，不错，值得去！！！！！！！！！！！！', 'star': 5}
{'descr': '还行，服务态度不错！', 'star': 3}
{'descr': '恩', 'star': 3}
