{'短评内容': '话不想多说，自己看着办', '短评打分': 1}
{'短评内容': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店', '短评打分': 5}
{'短评内容': '前台的服务也很热情，很喜欢，而且价格实惠，房间又大又安静，环境很好，比较干净卫生，Wifi很快，打游戏都没掉过线，太棒了，很满意得一家酒店，推荐大家入住，赞一个，会常来的', '短评打分': 5}
{'短评内容': '真不错，距离车站很近，对面是巨鼎饭店，超级方便，附近还有早餐店，喝完酒，睡一晚，第二天喝个撒，很舒服……', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '酒店各方面都挺好的，确认的挺快，不用让你等待', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '实际与图片差别很大，不是一般的大，房间条件很差，毛巾被子什么的好旧的，很差，', '短评打分': 1}
{'短评内容': '离天外村特别近，别的一般般吧', '短评打分': 4}
{'短评内容': '还不错 值得推荐。', '短评打分': 5}
{'短评内容': '傲来峰路在修路，周边环境可想而知。在携程上定的温馨大床房，去了以后完全和照片不相符，有种上当受骗的感觉，下次不打算再去家外佳宾馆了。但是前台和服务员的服务真心好！', '短评打分': 4}
{'短评内容': '地理位置挺好的，要是更干净点就更好了，希望改进', '短评打分': 4}
{'短评内容': '房间宽敞离泰山很近步行10分钟左右楼下有可以免费停车晚上有专人看守，山东人比较热情', '短评打分': 5}
