{'短评内容': '房间很舒服', '短评打分': 5}
{'短评内容': '老板态度很好   环境很不错', '短评打分': 5}
{'短评内容': '(｡・`ω´･)', '短评打分': 4}
{'短评内容': '小姐姐的态度特别好 以后来哈尔滨还会来的', '短评打分': 5}
{'短评内容': '环境不错，卫生不错，经济实惠，建议选择', '短评打分': 5}
{'短评内容': '房间卫生真的很差，床上枕头上都是不知名的体液留下的印记，晚上都是穿衣服睡的。洗浴冷热水控制不了，空调噪音特别大，而且还关不上。要不是因为去考试才不会忍。', '短评打分': 3}
{'短评内容': '很差的的一次住宿体验，空间特别小，我的两条毛巾，被单，枕套都是带洞的，158块钱住一天，我都以为是不是恶作剧，毛巾给换了，被单和枕套换不了，我都担心我早上睡觉会不会钻进洞里，老板娘除了会道歉什么都做不了，一个宾馆就是一个住宿的场所，哪个客人会住一辈子等着你们来改进，心情糟糕透了', '短评打分': 1}
{'短评内容': '帮别人预订的 听说还不错', '短评打分': 4}
{'短评内容': '携程返现是骗人的。你定完他又说你没用优惠券消费全什莫的拒绝返现', '短评打分': 2}
{'短评内容': '环境不错，', '短评打分': 5}
{'短评内容': '服务实在是一般，设施也不行，价格还波动', '短评打分': 1}
{'短评内容': '地下室，没有窗户，屋子实在是太小了', '短评打分': 3}
{'短评内容': '不错，只能说一般般吧', '短评打分': 3}
{'短评内容': '在地下，挺小的反正，招牌看上去特别大，逢考试的时侯去的，人多只能住在那里了。。', '短评打分': 3}
{'短评内容': '环境还可以，位置比较好，交通方便', '短评打分': 3}
{'短评内容': '还可以 就是房价不隔音 有点吵 还有就是连个衣服挂都没有 洗了衣服没有地方晾 服务员让自己出去买衣服挂', '短评打分': 5}
