{'短评内容': '房间太小，没有窗户，比7天差了一条街，有点失望', '短评打分': 1}
{'短评内容': '房间比较小，洗手间居然没有门，不过设施还算齐全，就是有点味道，总体来说对得起这个价格。', '短评打分': 5}
{'短评内容': '吼吼···彩色滴房间很有特色····\n就是房间味道不好······', '短评打分': 5}
{'短评内容': '房间是彩色的··比较有特色啊·```````~~~~~~~~~~~``', '短评打分': 5}
{'短评内容': '比较有特色·························', '短评打分': 5}
{'短评内容': '我们住的家庭房卫生太差，马桶上有明显圬垢，床垫也是坏的，隔音很差，以后不想住了。', '短评打分': 3}
{'短评内容': '经常来·，·，·，· 环境不错的··························', '短评打分': 5}
{'短评内容': '位置不错，就在湖边，也比较安静。就是房间里有股烟味，建议开一些无烟房。', '短评打分': 5}
{'短评内容': '太臭了，不推荐。', '短评打分': 3}
{'短评内容': '就在流花湖边上，挺好滴\n····················', '短评打分': 5}
{'短评内容': '还行吧，\n房间比较有特色\n>>>>>>>>>>>>>>>>>>>>>...', '短评打分': 5}
{'短评内容': '还可以吧，过得去~~~~~~~~~~~~~~~~~~~~~~~~~~~·', '短评打分': 5}
{'短评内容': '佳园连锁我住过许多，此店是第一次，感觉不错。', '短评打分': 5}
{'短评内容': '还凑合··就是房间有异味·····················', '短评打分': 5}
{'短评内容': '酒店装修环境都还可以\n\n只是前台的效率低了些，稍有几个人就排队', '短评打分': 5}
{'短评内容': '一般化的酒店，价格偏高些，适合做服装批发的人士在此交通位置入住。', '短评打分': 1}
{'短评内容': '，环境不错，服务也好，下次再来光顾。\n\n发送自HTC手机', '短评打分': 3}
{'短评内容': '房间里面有异味！房间里面有异味！房间里面有异味！', '短评打分': 1}
{'短评内容': '价格209的房间 对面流花湖 房间布局不错 比火车站旁边的安静很多 周围吃的地方也很多 \n唯一宽带太慢', '短评打分': 5}
{'短评内容': '房间设备齐全，环境很好', '短评打分': 3}
{'短评内容': '对面就是流花湖··休闲好去处\n离出差地点也必将近········', '短评打分': 5}
{'短评内容': '不愧是连锁酒店，房间整洁，设施完善而且很新，服务周到。交通靠近流花和越秀公园非常方便。建议换成新的更密封的窗户，冬天就更保暖了。', '短评打分': 5}
{'短评内容': '离广州站距离不远，交通方便，步行到广州站也就20分钟左右的时间，宾馆硬件条件也不错，网上订购价格相对较低，闹中取静，比较值！推荐！\n建议步行路线：出站后通过地下通道到站前路，到站前横街左拐，走到底到流花路就到了！', '短评打分': 5}
{'短评内容': '所在的地段较好，坐车很方便，而且窗外就是流花湖。', '短评打分': 5}
