{'descr': '房间较小，经济型', 'star': 4}
{'descr': '屋子比较小，考虑二环位置还可以', 'star': 5}
{'descr': '挺好的，交通方便，购物便利，也易于散步，每次都住这。楼下 还有一个健身房，闲暇时还可以去锻炼，所以很适合公务住宿，满意。', 'star': 5}
{'descr': '地段好，但条件太差了，不建议，也不会再住这里了！', 'star': 4}
{'descr': '去往八达岭长城很方便，对面的新疆菜做得很地道！', 'star': 4}
{'descr': '老板人很热情，就是硬件设施差', 'star': 3}
{'descr': '服务贴心，房间小', 'star': 5}
{'descr': '卫生间气味太给力了！', 'star': 4}
{'descr': '还行，就是周围饭店不方便，要走很远', 'star': 4}
{'descr': '朋友去的，还可以', 'star': 4}
{'descr': '真心不咋的，最多算是便宜吧', 'star': 3}
{'descr': '性价比较好，推荐', 'star': 3}
{'descr': '一般。但是北京就是北京。 就是这样的条件。', 'star': 4}
{'descr': '卫生状况差，性价比差，以后一定住连锁酒店，', 'star': 2}
{'descr': '每次都是住这家酒店，交通便利，卫生，购物方便，喜欢呢！', 'star': 5}
{'descr': '不推荐啊家庭式旅馆。屋子小，床铺也不是很好', 'star': 1}
{'descr': '宾馆房间很小，所有房间都在3楼，要走楼梯上去，前台更小，下次不会去了', 'star': 1}
{'descr': '环境很差，卫生条件不好，热水供应不足，室内摆设陈旧', 'star': 1}
{'descr': '房间没有电话，不方便。\n其他设施还行，地理位置也比较好。\n', 'star': 5}
{'descr': '酒店的室内设施比较齐全,邻街的房间采光很好.卫生间很大.提供洗漱用品.洗澡水水流流畅.温度适中.洗澡后感觉舒服。服务态度还好，能够满足客人的一些要求。被子、床单不是新换的，不平整。客人不小心弄脏了床铺还提出加钱。客人感觉有些刻薄。但最后没有多收钱。如果不足之处能够改进，还是可以选择入住。', 'star': 5}
{'descr': '安静、整洁、实惠', 'star': 3}
{'descr': '价格在附近很实惠，交通也方便。卫生状况一般，属于小旅馆水平。', 'star': 3}
{'descr': '卫生、价格适中、交通便利，服务态度也好，适合自费旅游的客人', 'star': 5}
{'descr': '服务态度好，性价比高，交通方便，适合家庭旅游。', 'star': 5}
{'descr': '卫生、服务态度好、交通方便、价格也便宜，很适合自费旅游的朋友', 'star': 5}
{'descr': '不错', 'star': 3}
{'descr': '房间很小，宾馆有特价房，68和88价位的，这个而且茶杯内剩余咖啡渍，浴巾上面面破了好几个洞。', 'star': 1}
{'descr': '很不错！不过价格感觉还是稍微有点贵了。。。\n', 'star': 5}
{'descr': '价格便宜，位置不错。', 'star': 3}
{'descr': '像耗子窝，不通风，没有窗子，而且住户都很差劲。在楼道里大声叫。哎', 'star': 1}
{'descr': '环境很清静，老板很热情。但卫生间条件值得改进。', 'star': 3}
{'descr': '经济实惠，适合一个人出差办事，虽然比不上星级宾馆，但是就其地理位置来讲，这个价格很是便宜，而且服务也很好。交通更是方便，旁边吃饭也很方便。', 'star': 5}
{'descr': '服务还不错，直接网上就顶了，店家服务业还可以，这样的价格在这个地方算可以的了！！', 'star': 5}
{'descr': '挺好的', 'star': 3}
{'descr': '就是一个值五十块的招待所，郁闷极啦。如果价格打三折，那性价比还凑合了。', 'star': 1}
{'descr': '基本满意。', 'star': 5}
