{'短评内容': '京东物流就是一个字快，昨晚10点多，11点前下的单今天早上就收到，包装得很好。', '短评打分': 5}
{'短评内容': '有球赛，我是一个球迷，从天津赶来所以选了离赛场近的住处，比较满意，走路过去就可以，连打车都不用，交通方便，广州早茶棒棒哒', '短评打分': 5}
{'短评内容': '房间大小还可以，附近就是越秀山体育场，走路几分钟就到。晚上比较安静。', '短评打分': 3}
{'短评内容': '恩', '短评打分': 3}
{'短评内容': '一般般', '短评打分': 4}
{'短评内容': '房间够大，晚上黑人太多，半夜很多黑人打电话   比较吵  当晚有人喝醉酒  很吵  设施 还觉得  一般般不算很好 不算很差  被子感觉有点黑 可能灯光问题', '短评打分': 4}
{'短评内容': '环境一般，可提升', '短评打分': 4}
{'短评内容': '厕所没灯，电视没台等等一大堆问题………', '短评打分': 1}
{'短评内容': '方便办事的地点', '短评打分': 5}
{'短评内容': '脏乱差', '短评打分': 1}
{'短评内容': '空调一点儿也不凉╯▂╰', '短评打分': 3}
{'短评内容': '好', '短评打分': 4}
{'短评内容': 'ok', '短评打分': 2}
{'短评内容': '服务态度好，干净舒适，出行方便，价格合理。', '短评打分': 3}
{'短评内容': '卫生环境太差了！有图有真相，床铺什么的都发霉发黄了！真的怕怕！真不知道有没有传染病的！服务也太差！以后没地方住也不会去又贵条件又差的地方住！', '短评打分': 1}
{'短评内容': '很一般，那被子盖着不舒服', '短评打分': 3}
{'短评内容': '离地铁站还是有点小远……，房间不大，卫生情况还行', '短评打分': 1}
