{'短评内容': '价格便宜，房间大', '短评打分': 5}
{'短评内容': '酒店很不错', '短评打分': 4}
{'短评内容': '位置挺好的，旁边还有个超市', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '酒店有点老，水池生锈，喝水的壶全是水锈，看起来不干净，总体还行吧', '短评打分': 5}
{'短评内容': '一如既往的好！', '短评打分': 5}
{'短评内容': '环境不错，地理位置优越，超市购物便利，卫生条件不错，一直住在他们家，会继续关注的！停车场地很好停车。', '短评打分': 5}
{'短评内容': '酒店不错，干净卫生', '短评打分': 5}
{'短评内容': '周边交通、购物都很方便，走廊比较暗了点。', '短评打分': 5}
{'短评内容': '大大的房间，不过百的房价，天哪……太便宜了', '短评打分': 5}
{'短评内容': '环境很好，睡的也舒服', '短评打分': 5}
{'短评内容': '一般般吧', '短评打分': 3}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错的地方，下次还是会选择的', '短评打分': 3}
{'短评内容': '还不错，下次还是会选这个地方的', '短评打分': 3}
{'短评内容': '好酒店 好酒店 好酒店 好酒店 好酒店 好酒店', '短评打分': 5}
{'短评内容': '好酒店 好酒店 好酒店 好酒店 好酒店 好酒店', '短评打分': 5}
{'短评内容': '客房无整体浴室,洗澡很麻烦,水时凉时热,早餐是我见过最差劲的早餐了', '短评打分': 1}
{'短评内容': '遭遇住酒店以来最离奇的遭遇，半夜一点多有人用房卡打开门，居然还伸手把里面门扣都拿开，惊醒后喝止，居然说是房客，服务员开的这个房间，更气愤的是十几分钟后有服务员敲门要押金条看看，让人怎么休息，因有事早上离开，留有电话，到现在未有一个解释，可见酒店管理之混乱', '短评打分': 1}
{'短评内容': '在小城镇 这样的酒店不错 比如家好多啦 推荐', '短评打分': 5}
{'短评内容': '酒店蛮好的...以后会常住... 性价比高....', '短评打分': 5}
{'短评内容': '是个热闹的地方，超市，商场都有，早餐也不错。', '短评打分': 5}
{'短评内容': '好酒店  蛮不错的  以后还会住  真心感觉不错', '短评打分': 5}
