{'短评内容': '除了浴室的水可能有时候会凉，其它都非常满意', '短评打分': 5}
{'短评内容': '环境很好。', '短评打分': 5}
{'短评内容': '', '短评打分': 5}
{'短评内容': '', '短评打分': 5}
{'短评内容': '很棒', '短评打分': 5}
{'短评内容': '交通方便，性价比高', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '价格环境都是很不错的', '短评打分': 5}
{'短评内容': '唯一的不好就是无线网太差了，很慢很慢，房间还好，整洁，干净……服务员也很热情，周边吃饭，交通很方便，如果不用无线网住着很舒适，无线网太差……', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '好地方 值得入住', '短评打分': 5}
{'短评内容': '环境很舒适', '短评打分': 5}
{'短评内容': '早餐是外送的要提前告诉前台，每天晚上一袋鲜奶很体贴，窗户透风提醒酒店要封封窗', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '古香古色房间 就是无窗太憋闷了 隔出来的', '短评打分': 3}
{'短评内容': '就是电视都是雪花看不了！', '短评打分': 5}
{'短评内容': '酒店房间装饰非常有特色，古色古香，床很大，热水很充足，感觉不错', '短评打分': 5}
{'短评内容': '酒店服务挺好，卫生也不错，居住挺满意得。就是隔音不是特别好。', '短评打分': 3}
{'短评内容': '面积小', '短评打分': 3}
{'短评内容': '为去301体检方便些入住这家速8，古香古色稍显陈旧，楼下餐厅不错，饭菜可口！', '短评打分': 5}
{'短评内容': '很喜欢速8的市内装修 古香古色 尤其的是瓷质镂空的小灯 喜欢 在酒店方旁边吃饭也很方便 而且味道很好 唯一的缺憾就是酒店前台办理入住手续太慢了 其他一切都很好', '短评打分': 5}
{'短评内容': '环境不错，性价比高，屋子也比较大，感觉很好，车位充足，值得推荐！', '短评打分': 5}
{'短评内容': '网速着实很快，不错~就是没有窗户的地方不爽啊', '短评打分': 5}
{'短评内容': '基本设施不错，值得注意的是，网速着实很快', '短评打分': 5}
{'短评内容': '不错的酒店 出门便利店服务周道 下次还会选择', '短评打分': 5}
{'短评内容': '不错，干净、方便，就是不能刷预授权得付现金', '短评打分': 5}
{'短评内容': '普通大床房面积约18平，洗手间很小，尤其是沐浴间，估计稍胖一点的人都不能转身。房间内家具采用仿古设计，但看上去显得很旧。书桌就在电视机下面，而且很窄，如果想一边上网，一边看电视就没可能了。没有熨斗。但旁边的餐厅不错。离超市、肯德基步行大约10分钟。', '短评打分': 1}
{'短评内容': '？服务态度很好？不过不推荐无窗？有些闷', '短评打分': 3}
{'短评内容': '服务贴心、周到，环境优雅古朴，富有文化韵味！值得推荐！', '短评打分': 5}
{'短评内容': '酒店基本还不错，挺干净，位置挺好，性价比比较高，餐厅菜的口味也挺好，不过住的比较靠窗，有些吵，还有一点不足的是没有早餐不是太方便', '短评打分': 5}
{'短评内容': '感觉不错，房间干净整齐，很舒服，交通便利', '短评打分': 5}
{'短评内容': '感觉很舒适，入住速度很快', '短评打分': 3}
{'短评内容': '酒店新装修时间不长,比较舒适,性价比也可以,而且这有到西客站和其他地方的车', '短评打分': 3}
{'短评内容': '房间挺古色古香的，布置的不错，环境也挺好，就是没窗户，感觉不爽，不过，还是向大家推荐', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '床有些硬，不是很舒服，不过整体还不错。另外，前台服务员的素质及业务水平有待进一步提高。', '短评打分': 5}
{'短评内容': ' 网上说有早餐，可店里说没有，房间没窗，很闷，总体还行。', '短评打分': 3}
{'短评内容': '非常好!房间有2个大窗户,通风性很好.服务态度很好.非常满意!', '短评打分': 3}
{'短评内容': '不错.没想到房间有2个窗户呢.前台服务态度也不错!', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '古香古色，环境很好，房间很干净，不足的是靠街边，噪音大。', '短评打分': 5}
{'短评内容': '这家酒店干净卫生，离西站也不太远，服务员态度也挺好的！', '短评打分': 5}
{'短评内容': '不错不错。无窗的环境竟然还这么好。经济又实惠。', '短评打分': 5}
{'短评内容': '整体很满意，问路前台服务不错，房间热水床铺空调电视都无问题，采光不错，卫生间地板很滑要注意防滑', '短评打分': 3}
{'短评内容': '酒店干净，隔音效果还行，服务员态度不错，早上的早餐也不错！', '短评打分': 5}
{'短评内容': '+非常不错 性价比较高', '短评打分': 5}
{'短评内容': '速8，干净卫生，性价比很高，买东西，吃饭什么的很方便，以后还去！', '短评打分': 5}
{'短评内容': '价格我觉得算是挺便宜的，服务员很热心，都面带微笑。房间内设施齐全干净。总之我认为很值', '短评打分': 3}
{'短评内容': '到店的时候没有房，还等了半个小时，没想到这么偏的地方还挺火……\n房间稍小，电视差点儿，别的都还行。', '短评打分': 5}
{'短评内容': '装饰比较有特色，我住的是商务房，服务态度很好，交通也很便利，值得推荐！', '短评打分': 5}
{'短评内容': '套房很大，比较舒适。只是入住时有一点小不快。', '短评打分': 5}
{'短评内容': '前台的服务不是特别好，地理位置还凑合，有公交车还是挺方便的，地铁站也不远。床不是很舒适，有点咯得慌。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '相比周边的几家经济酒店是最好的', '短评打分': 5}
{'短评内容': '性价比高，值得推荐。', '短评打分': 5}
{'短评内容': '性价比很高，卫生条件很好，设施也很好，网速很快，房间很安静，没有异味，很满意。', '短评打分': 5}
{'短评内容': '这间速8比附近的如家还有锦江之星都便宜，走廊和大厅环境我觉得也非常棒。屋子的大小我觉得一般，也挺干净的。唯一让我感到奇怪的是，灯有不少，天花板上居然没有。。。不知道怎么设计的   总的来说  还是挺好的吧，呵呵。', '短评打分': 5}
{'短评内容': '挺好的，物有所值，室内空气 不太好，不过开空调能解决', '短评打分': 5}
{'短评内容': '服务员态度不错！卫生条件很好！唯一有些缺陷的是我住的标间虽然有窗户可以采光，但是不能打开没有办法通风！不过价格适宜！', '短评打分': 5}
{'短评内容': '各方面都还不错，就是网速太慢了', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '一般化', '短评打分': 5}
{'短评内容': '在快捷酒店当中算是很不错的酒店', '短评打分': 5}
{'短评内容': '装修很有风格，就是屋内的的暖气不够热，被子薄，晚上睡觉有些冷！', '短评打分': 5}
{'短评内容': '只是床稍微有点硬，其他的都很好！', '短评打分': 5}
