{'descr': '挺舒服的！', 'star': 5}
{'descr': '被单上有污点东西，隔音太差超级差，坐床上靠着墙床垫跟床会分离床垫越来越往下滑走，前台的服务态度倒是还行，只是说话没笑脸', 'star': 1}
{'descr': '在北京这价位也合适。', 'star': 5}
{'descr': '环境还可以，很安静，干净，住着舒服', 'star': 5}
{'descr': '离地铁很近，出差办公较方便', 'star': 4}
{'descr': '房子很干净', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '还行！', 'star': 5}
{'descr': '不错------', 'star': 5}
{'descr': '经济实惠', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '环境优美、服务到位', 'star': 5}
{'descr': '酒店一般，隔音不好', 'star': 4}
{'descr': '！一般', 'star': 3}
{'descr': '很不错！', 'star': 5}
{'descr': '赞！', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '还可以', 'star': 3}
{'descr': '还可以', 'star': 4}
{'descr': '不是太满意', 'star': 3}
{'descr': '酒店很不错，环境很好，服务也很好。', 'star': 5}
{'descr': '位置很好，就是地铁站的对面', 'star': 5}
{'descr': '在北京住这样的酒店性价比还是很高的', 'star': 5}
{'descr': '一如既往的干净整洁，住过这么多如家都很满意', 'star': 5}
{'descr': '旅店比较好找,交通很方便,房间虽然不太大,但布置得很温馨,下次也许还会住!', 'star': 3}
{'descr': '环境干净，交通方便，服务态度也挺好。整体不错的。', 'star': 3}
{'descr': '房间比较干净，服务很不错，出去交通很方便。就是有点小。不过还是不错。', 'star': 3}
{'descr': '环境还行。离地铁也近。吃饭也方便。。就是房间太小', 'star': 5}
{'descr': '\r确如网上评价:交通比较便利,但是等待收拾房间己经25分钟了,说还要等十分钟。至于其它,还没进房间呢,无法评价', 'star': 3}
{'descr': ' 不错，干净卫生，服务好。', 'star': 3}
{'descr': '出门过天桥就是地铁站，早餐不错，干净，舒适！', 'star': 5}
{'descr': '环境好，交通方便，一出门就是地铁5号线。', 'star': 5}
{'descr': '总在这家住，感觉还行，房间小了点，位置交通方便。。', 'star': 5}
{'descr': '感觉还行，就是房间小了点，位置挺方便的，卫生情况还行！', 'star': 5}
{'descr': '酒店硬件非常好，又新装的吹风机，很好！', 'star': 3}
{'descr': '服务挺不错，也比较干净，还靠近地铁口，交通方便，可也带来一个问题，火车经过时比较吵；建议夏天驴友们带花露水，门窗不关好会有蚊子！', 'star': 5}
{'descr': '服务挺周道，工作挺热情，卫生挺干净，有种家的感觉！！！给个好评~~~', 'star': 5}
