{'短评内容': '汉庭 还能是什么 一样的标准', '短评打分': 4}
{'短评内容': '如家 还能说什么 全世界都一样', '短评打分': 4}
{'短评内容': '就是离火车站远一点', '短评打分': 5}
{'短评内容': '比店里订要便宜很多。京东订很实惠', '短评打分': 5}
{'短评内容': '出行方便，周边餐馆多，服务员态度优', '短评打分': 5}
{'短评内容': '我是提前预定的，下火车后没几步路就到了，环境干净，整洁，前台服务热情，距离火车站很近，以后出差还来汉庭', '短评打分': 5}
{'短评内容': '环境好、吃住行都非常方便。', '短评打分': 5}
{'短评内容': '卫生间的热水喷头漏水。水压小', '短评打分': 5}
{'短评内容': '干净整洁卫生，还不错。', '短评打分': 4}
{'短评内容': '环境还可以，在携程订阅的单子不能开发票', '短评打分': 5}
{'短评内容': '交通便利，火车站和汽车站近在咫尺。', '短评打分': 4}
{'短评内容': '酒店还是不错的，一直住的汉庭，离市区近的。', '短评打分': 5}
{'短评内容': '位置离火车站特别近 走着就可以到 环境很好 挨着路边也不吵 主要转车方便 下次还来', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': 'soso', '短评打分': 4}
{'短评内容': '服务意识很好，设备有些小失望。快餐师傅水平有待提高', '短评打分': 5}
{'短评内容': '舒适干警，也很人性化', '短评打分': 5}
