{'短评内容': '西班牙式的大床房，比想象的要大。床也比较舒服。院内环境不错，适合早起遛弯。自助餐不便宜。早餐68有点偏贵，性价比不高。', '短评打分': 4}
{'短评内容': '景色宜人，出行方便，服务优良，', '短评打分': 5}
{'短评内容': '环境不错，可惜没空在花园里散步', '短评打分': 5}
{'短评内容': '环     境     优     美    ，    服    务    热     情，设施齐全', '短评打分': 5}
{'短评内容': '早餐很丰盛', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 4}
{'短评内容': '房间较大，布置得很温馨，很舒服， 位置非常棒。 各项服务也都比较专业，感觉很舒服温馨。 大堂和前台工作人员很有礼貌。', '短评打分': 5}
{'短评内容': '满意满意，满意满意，满意满意满意满意', '短评打分': 5}
{'短评内容': '周围环境很好，很适合散步，食物还不错', '短评打分': 4}
{'短评内容': '周围环境很好，很适合散步，食物还不错', '短评打分': 4}
{'短评内容': '周围环境很好，很适合散步，食物还不错', '短评打分': 4}
{'短评内容': '还可以还可以还可以还可以还可以还可以还可以还可以', '短评打分': 4}
{'短评内容': '还可以还可以还可以还可以还可以还可以还可以还可以', '短评打分': 4}
{'短评内容': '酒店前台工作效率不高，沟通能力差，希望提高', '短评打分': 3}
{'短评内容': '环境一流，房间内设施一般化，对不住房价！', '短评打分': 5}
{'短评内容': '位置偏僻，服务垃圾，价格一流', '短评打分': 1}
{'短评内容': '环境不错，外观错落有致。房间内设施还可以，就是时常有飞机飞过比较吵。节假日餐厅只有自助餐每人136元，菜品严重名不副实。', '短评打分': 1}
{'短评内容': '环境非常幽静，适合会议和商务。周遍没有别的娱乐和休闲场所。', '短评打分': 5}
