{'短评内容': '客户非常满意，景色也非常棒，房间设施也不错', '短评打分': 5}
{'短评内容': '客人每次来都喜欢住这里，品牌好，装修好，服务好，当然价格也好。这里有家的感觉，可以自己做饭，也可以在客厅接待来客。', '短评打分': 5}
{'短评内容': '超级贵的酒店！\n服务等很好，设施也不错，位置也好。\n钱多的建议住这儿！万豪的大多还是很好的，除了价格比较贵以外！', '短评打分': 5}
{'短评内容': '挺好，挺干净，设施挺齐全，位置也不错，下次还会光顾的。', '短评打分': 5}
{'短评内容': '早餐种类挺多的，口味也不错，房间挺宽敞，卫生间也很大，打扫也挺干净，这点挺满意。', '短评打分': 5}
{'短评内容': '房间装修的挺好，视野挺开阔，设施挺齐全，住的挺舒适。', '短评打分': 5}
{'短评内容': '酒店位于市中心，出行挺方便，房间装饰挺好，床非常舒适。', '短评打分': 5}
{'短评内容': '卫生设施蛮好的，服务什么的话都还可以，位置还是算比较不错的。但是价格的话感觉还是有些高，不过环境挺不错的，其他的都还好。', '短评打分': 5}
{'短评内容': '餐饮方面很对我的胃口，都是自助餐形式，品种多，味道佳，很满意。', '短评打分': 5}
{'短评内容': '大厅非常华丽，公寓有大游泳池，一切以豪华为主，档次很高。', '短评打分': 5}
{'短评内容': '是典型的商务公寓，设施齐全，价位当然也高，不过我是随团来沪考察的，所以不用自己出钱，很满意。', '短评打分': 5}
{'短评内容': '房间很安静，晚上听不到外面的喧闹声，开窗可以欣赏美丽的夜上海，整个人会觉得很放松。', '短评打分': 5}
{'短评内容': '公寓在南京西路，算是在人民广场吧，闹中取静，环境不错。', '短评打分': 5}
