{'短评内容': '还行吧，有点简陋', '短评打分': 4}
{'短评内容': '早餐实惠，有家庭房', '短评打分': 5}
{'短评内容': '位置不错，离车站和山农都很近，附近还有座山环境也不错', '短评打分': 5}
{'短评内容': '很好很干净', '短评打分': 5}
{'短评内容': '在携程上订的，网上是没有早餐，前台服务很好', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '好，赞一个', '短评打分': 5}
{'短评内容': '酒店不错', '短评打分': 5}
{'短评内容': '位置好，周边出行很方便，性价比高', '短评打分': 5}
{'短评内容': '感觉跟如家差不多', '短评打分': 4}
{'短评内容': '不错！', '短评打分': 5}
{'短评内容': '不错！', '短评打分': 5}
{'短评内容': '很满意，多次入住了。卫生条件好，比较安静。', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '挺好的，每次来都是住这里', '短评打分': 4}
