{'短评内容': '可以不错', '短评打分': 5}
{'短评内容': '没有WiFi!', '短评打分': 4}
{'短评内容': '环境清静，卫生好。', '短评打分': 5}
{'短评内容': '因为要拆迁，周围环境零乱不堪，酒店已经断网络，服务处于勉强维持状态。因为酒店开不成了，设备设施可想而知，不过价格很低。', '短评打分': 3}
{'短评内容': '还可以，外面看着挺破，房间里面很好，性价比高', '短评打分': 5}
{'短评内容': '房间还很卫生，就是晚上没热水洗澡。周边环境在拆迁，所以有点杂乱。不过，价格便宜。还算不错。', '短评打分': 4}
{'短评内容': '地理位置很好，环境也挺好的，服务人员态度特别好。性价比很好的宾馆。', '短评打分': 3}
{'短评内容': '服务员跟吃火药似的    还极不赖烦', '短评打分': 1}
{'短评内容': '比较干净，比较干净，比较干净', '短评打分': 3}
{'短评内容': '临时住一晚还可以', '短评打分': 4}
{'短评内容': '酒店位置挺好，房间也不错就是酒店的卫生间的设计不是很好，进出要小心不然有可能会被绊倒。整体还好，这个价钱也不贵', '短评打分': 5}
{'短评内容': '超级烂的小旅馆，进门洗手，下水管滴水到脚上，白窗帘上全是黄色的手印，椅子上包的皮革破了好多小洞，桌子上还有一块块没擦干净的油渍，洗澡水时冷时热。最要命的是，窗帘和床单上好大一股霉味。勉强忍着睡上去，一晚上身上都痒得要命，早上起来睡衣上都是霉味。以人格担保，我说的全是实话。大家千万不要订这家了！', '短评打分': 1}
