{'短评内容': '房间设施好，环境不错，值这个价格', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '经济实惠型酒店', '短评打分': 4}
{'短评内容': '酒店环镜很好，服务很不错', '短评打分': 5}
{'短评内容': '性价比不错，出差入住', '短评打分': 4}
{'短评内容': '不错 298的豪华标间 早餐也蛮好的 下次还会考虑', '短评打分': 5}
{'短评内容': '价格偏高！其他还好', '短评打分': 4}
{'短评内容': '这种房间连普通的连锁酒店都不如！设施陈旧，打开柜子都是被子看着都脏！永远不会再入住！', '短评打分': 3}
{'短评内容': '酒店房间干净，早餐还算丰盛，地理位置不错，离市中心不远，周围吃饭的地方很多，也有大型超市', '短评打分': 5}
{'短评内容': '酒店一共只有五楼，靠马路这么异常吵闹，半夜也有大卡车开过，早上更是车来车往，基本没法睡觉。', '短评打分': 3}
{'短评内容': '环境位置，房间设施以及卫生服务都还可以', '短评打分': 4}
{'短评内容': '环境设施、硬件配置、价格指数、交通条件均0k，出行首选!', '短评打分': 5}
{'短评内容': '丝丝㜽髅、在我一。一直到家', '短评打分': 3}
{'短评内容': '一般化！', '短评打分': 2}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '酒店比较干净，房间比较小，价钱比较实惠，早晨八点半去吃早餐，很多点心都冷掉了，如果早餐能延迟到十点就好了。', '短评打分': 5}
{'短评内容': '干净，设施新，可上网，硬件条件好，服务热情，下次去宜兴还会去这家', '短评打分': 5}
{'短评内容': '干净整洁，服务较好，出行也很便利，性价比不错', '短评打分': 5}
{'短评内容': '环境服务尚可，位置较好，出行比较方便，早餐也不错', '短评打分': 5}
{'短评内容': '很不错的酒店，干净，整洁，服务也好。强烈推荐', '短评打分': 5}
{'短评内容': '性价比还不错。是电力宾馆，装修比较整洁大方。房间卫生间很大。', '短评打分': 5}
{'短评内容': '价格还合理，房间很不错。服务也不错，值得入住。', '短评打分': 5}
{'短评内容': '不错的酒店,价格比较合理了,房间很大,很整洁,免费苹果挺好吃的。', '短评打分': 3}
{'短评内容': '秀外慧中的酒店，就是早餐品种少了一点，送的苹果好吃，还免费赠送咖啡和茶叶。', '短评打分': 5}
{'短评内容': '这个酒店还不错  服务也挺好的  很干净  下次还会住的', '短评打分': 5}
{'短评内容': '硬件什么的还可以的。早餐没用烤面包有点儿遗憾。', '短评打分': 5}
{'短评内容': '酒店硬件设施不错，服务员比较热情，就是早餐有点简单', '短评打分': 5}
{'短评内容': '帮助同事预订，同事反馈酒店不错，各方面的设施比较齐全。', '短评打分': 5}
