{'短评内容': '酒店不错！', '短评打分': 5}
{'短评内容': '酒店不错！', '短评打分': 5}
{'短评内容': '位置好，停车方便。', '短评打分': 4}
{'短评内容': '酒店很大，应该是对接旅行团那种。不太适合朋友出游，但是是特价定的，这个价钱还是不错！至少算很干净', '短评打分': 4}
{'短评内容': '地震后冷清了许多早餐都是发的牛奶！停车场在后门位置十分优越', '短评打分': 3}
{'短评内容': '还好吧，早餐不好，，，空调声音大。。', '短评打分': 3}
{'短评内容': '很不错的酒店', '短评打分': 5}
{'短评内容': '就是冬天出热水有点慢', '短评打分': 4}
{'短评内容': '很好，点赞，下次去的时候还会选择入住，也会给朋友推荐，因为服务好，设施环境都不错，性价比也高，很好很好。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '地理位置比较方便，酒店内部设施额不错', '短评打分': 4}
{'短评内容': '酒店整体不错，但就是不能刷卡，只能付现金，我带的现金又不是很多，付给他了我接下来的旅程就很紧张了，这点希望酒店尽快提高！还有就是入住后先是看不了电视，在妈妈的催促下，酒店来人给修，最终给我们换了个房间，至今都还很好~', '短评打分': 5}
