{'短评内容': '不错，价廉物美！', '短评打分': 5}
{'短评内容': '居然理直气壮地告诉我他们没空调。', '短评打分': 1}
{'短评内容': '汉爵品质，值得信赖。', '短评打分': 5}
{'短评内容': '前台接待热情，入住方便快捷。价格优惠公道，值得推荐入住！前台接待热情，入住方便快捷。价格优惠公道，值得推荐入住！', '短评打分': 4}
{'短评内容': '不错，性价比高。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '住着很不错，设备都很齐全先进。火车站这边修路，从火车站出来绕了好大一圈，才到酒店，不修路的话，一出火车站就到了。', '短评打分': 5}
{'短评内容': '房间有点小', '短评打分': 4}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '每次出差都住这一家环境不错，下面还有自助餐很方便，卫生很好，环境很干净', '短评打分': 5}
{'短评内容': '房间挺不错的。位置也一下子就找到了。很好。', '短评打分': 5}
{'短评内容': '内部环境不错！房间内干净、整洁，价格合理，下次还会考虑入住。（电动马桶是亮点，小食品、饮料很多）', '短评打分': 5}
{'短评内容': '服务i贴心，设施齐全，', '短评打分': 5}
{'短评内容': '位置好，环境好', '短评打分': 5}
{'短评内容': '除了有点小其它都行', '短评打分': 5}
{'短评内容': '连续出差多次入住了，这个活动来住还是很划算的，不过后来没有活动后，入住其它几家活动价格酒店，同样的活动还是这里划算！不过没有活动后就不值了。', '短评打分': 4}
{'短评内容': '活动价格同比其它酒店这家算比较不错的，今年连续出差基本都住这家，唯一一点小缺憾就是房间确实太小了一些。整体配套卫生等都不错！', '短评打分': 4}
{'短评内容': '又一次来这里入住，选择这里是因为离城市机场候机楼近，周围稍乱，能听到火车的声音，酒店内有个24小时餐厅，很是不错，因为餐厅下次还会入住。', '短评打分': 4}
{'短评内容': '选择这里是因为离城市机场候机楼近，周围稍乱，能听到火车的声音，酒店内有个24小时餐厅，很是不错，因为餐厅下次还会入住。', '短评打分': 3}
{'短评内容': '不错，喜欢酒店温馨的感觉', '短评打分': 5}
