{'短评内容': '停车方便，早餐一般。环境安静。', '短评打分': 5}
{'短评内容': '环境好，居住很舒适', '短评打分': 5}
{'短评内容': '还不错，来了三四次了，总体挺好，周围环境好。', '短评打分': 5}
{'短评内容': '服务周到，环境不错，设施齐全，性价比高。', '短评打分': 5}
{'短评内容': '环境不错，性价比高，设施齐全，服务周到。', '短评打分': 5}
{'短评内容': '环境很幽静！', '短评打分': 5}
{'短评内容': '#ud83d#udc4c', '短评打分': 5}
{'短评内容': '#ud83d#udc4c', '短评打分': 5}
{'短评内容': '#ud83d#udc4c', '短评打分': 5}
{'短评内容': '设备较旧', '短评打分': 3}
{'短评内容': '以前曾入住过，所以这次又选择了这家，但这次有些失望，整个服务与卫生下降了，隔音太差，隔壁洗浴声竟然成难以忍耐的噪音，走廊的纸巾隔了一夜还不清理，早餐已及其简单，非常不值。', '短评打分': 3}
{'短评内容': '酒店就在古城护城河边，装修古韵味足，但略显陈旧，房间有漏水发黑现象，作为二、三线城市酒店价格不算便宜，有极大提升空间。', '短评打分': 3}
{'短评内容': '酒店就在古城护城河边，装修古韵味足，但略显陈旧，房间有漏水发黑现象，作为二、三线城市酒店价格不算便宜，有极大提升空间。', '短评打分': 3}
{'短评内容': '对面是襄阳古城，门口是漂亮的护城河。环境好的没话说。酒店装修很有中国风的味道。但部分设施旧.希望酒店方加以改进！', '短评打分': 4}
{'短评内容': '一般般吧，不喜欢窗户在床头上。', '短评打分': 4}
{'短评内容': '非常方便', '短评打分': 5}
{'短评内容': '襄阳人家大酒店硬件很好，服务很差！', '短评打分': 3}
{'短评内容': '不错，好酒店，风景好还安静。。。。。。。。。。', '短评打分': 5}
{'短评内容': '临汉江边，环境不错，条件一般，服务跟不上，四星有点免强。', '短评打分': 5}
