{'短评内容': 'wifi信号不是很好，电视信号也不是很好，还补了差价', '短评打分': 5}
{'短评内容': '很方便，出火车站就到，卫生好，出门就能有吃的。很方便达车，火车，公汽，出租车，都在旁边。老板也热情，自由行的最佳选择。', '短评打分': 5}
{'短评内容': '廉价，环境一般，火车站近', '短评打分': 4}
{'短评内容': '不太好', '短评打分': 2}
{'短评内容': '火车站门口酒店一条街，很近很方便。就是普通的宾馆，整体就是还可以。', '短评打分': 4}
{'短评内容': '还不错   就是楼道有时候要自己找灯的开关在哪儿', '短评打分': 3}
{'短评内容': '一个字差     两个字很差  红红火火恍恍惚惚哈哈哈哈一哈哈哈哈哈呼呼哈哈哈哈哈哈会有阴影', '短评打分': 1}
{'短评内容': '离火车站很近！！！出行很方便！！！', '短评打分': 4}
{'短评内容': '还不错！！！！离火车站很近！！！', '短评打分': 4}
{'短评内容': '还不错！！！出行很方便！！！下次还会光临！！！', '短评打分': 4}
{'短评内容': '订的钟点房 前台接待的态度还是挺好的 房间虽然设施较老 能看出已经打扫得比较尽力了', '短评打分': 5}
{'短评内容': '位置很好找，就在火车站旁边，设施还行，就是电视遥控器有点问题', '短评打分': 4}
