{'短评内容': '酒店很不错', '短评打分': 5}
{'短评内容': '平江路是以大儒巷为轴分南北2段，酒店位置好就在大儒巷连接平江路口的交叉口，大儒巷倒是可以开车进入，但巷里不能长时间停车。店里早餐分A、B两款套餐，日式餐盒精致，餐厅装修的挺有风格的。就是我们去的时候还有蚊子，住在一层被咬的够呛。酒店每天送时令水果。店里有服务员态度特别热情。', '短评打分': 5}
{'短评内容': '酒店的地理位置还是很不错的，房间的环境什么的都没得说，很有苏州格调，酒店在历史步行街区，早餐也很有格调，就是无线网络不行，我一直都没有接通。', '短评打分': 5}
{'短评内容': '没有停车场、空调没有办法用，晚上睡觉有响声', '短评打分': 3}
{'短评内容': '平江路上的酒店，玩平江路还是比较方便的，不过毕竟在老城区，酒店条件一般，更喜欢之前在阳澄湖那边的翰尔，可惜关门了', '短评打分': 4}
{'短评内容': '除了地理位置，其他都是一般。房间有较大发霉的味道，其次空调主机挨着窗口，噪音太大。', '短评打分': 4}
{'短评内容': '真是感受了住在园林中的环境和舒服感！出行方便，服务周到是一家很好的酒店！', '短评打分': 5}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '酒店不错，平江路上很方便', '短评打分': 5}
{'短评内容': '该修修了，关了空调，还被空调声音闹了一宿', '短评打分': 5}
{'短评内容': '周边环境较好，设施一般', '短评打分': 4}
{'短评内容': '一般般', '短评打分': 4}
{'短评内容': '位置没话说很棒，酒店服务也不错 就是房间设施一般 细节不是很注意 有部分设施无法正常使用 床实在是太软了 睡了一觉腰酸背痛 有机会还会再来 希望有所提高', '短评打分': 4}
{'短评内容': '环境很不错，但有些没有窗户的房间是硬件的硬伤', '短评打分': 5}
{'短评内容': '还可以！', '短评打分': 5}
{'短评内容': '酒店位置好，布置也不错。服务也算周到。没什么可挑剔的', '短评打分': 3}
{'短评内容': '定的599。收到通知没有房间要加钱升级到699。五星级的价格。四星不到的水平。酒店无法上网。wifi都没有。蚊子多到离谱。都是新装修的酒店了。空调又吵又对着床头。一晚下来吹的头都痛。更加离谱的是。打扫房间的阿姨打扫到一半走掉了。留了厕所地上一大堆垃圾给我们自己扫？强烈不推荐。管理很差的酒店。就是因为在平江路上所以才卖得出这个价格。希望大家以后不要住了。', '短评打分': 1}
{'短评内容': '比较有特色的酒店。位置很方便。推荐大家去体验。', '短评打分': 5}
{'短评内容': '帮朋友订的，反映不错~ 靠近平江路，值得推荐', '短评打分': 5}
{'短评内容': '入住时洗手间没打扫,热水等于冷水,电视频道只有几个,五星的价格三星的规格,当然地段实在好,交通贼方便', '短评打分': 3}
{'短评内容': '环境很好，不错', '短评打分': 3}
{'短评内容': '五星价格，四星设施，家庭旅馆的服务。房间很舒适，地点很好，在平江路上，公交到醋前前坊桥站从肖家巷或大儒巷走进去都很方便。周边的随柳居可作为食堂，实惠好吃，随柳居对面的蟹壳黄是苏州最好吃的。早餐只送一份，不如不送，多个人加25元，品种很简单，不如花十元钱到随柳居吃小吃。在喧嚣的平江路上，一进酒店，一股清凉之气扑面而来，门一关，与繁华隔界，很清静。', '短评打分': 5}
{'短评内容': '就在平江路上，房间很舒适，装修很精致，有些低调的奢华！对面的翰尔酒店配套的茶馆可以喝茶，听评弹，旁边就是鱼食饭稻，非常好吃！', '短评打分': 5}
{'短评内容': '苏州翰尔在河边，价格还行，园林式的挺有味道', '短评打分': 3}
{'短评内容': '只有13个房间的精致酒店，貌似挑不出什么不足了。', '短评打分': 5}
{'短评内容': ' 没想象好', '短评打分': 3}
{'短评内容': '喜欢。并且是经常去住的一家精品酒店。爱着这苏州小城的味道', '短评打分': 5}
{'短评内容': '酒店还可以，比较有感觉，位置也很好。不过二楼的房间我不推荐，要住就要住在一楼', '短评打分': 5}
{'短评内容': '苏州老城区，非常有特色。服务员很有家庭味，很温暖。推荐。', '短评打分': 5}
{'短评内容': '环境很优雅，门前是平江古街，街对面是一条小河，有江南古镇的韵味，', '短评打分': 5}
{'短评内容': '坐落在平江古街上，门前又一条小河流过，周围是古香古色的建筑，很有江南小镇的韵味，入住的庭院大床房，房间很大，只是附属庭院太小了，有些遗憾，总起来还是很满意的', '短评打分': 5}
{'短评内容': '很不错的酒店，座落在古街小巷，整个房间还是比较又情调的，按照这个地段来说其实房价还是比较合理的啦~打扫卫生的阿姨很亲切，不象星级酒店那么有差距感，有家的感觉', '短评打分': 5}
{'短评内容': '酒店设计很好，位置不错，吃饭就在旁边的土家菜即可，适合非节假日旅行入住。小桥流水人家的景色就在门口。还可以享受晚间的苏州评弹--就是价钱贵了，不含在最低消费里，要点曲才唱，每首都在80左右。\n需要改进的是卫生，可能是打扫人员太少或者培训不够，太多卫生死角，尤其是洗手间，还有房内的桌面，柜子等等，实在不敢恭维，与酒店的设计和600元左右的房价差距太大。只够如家的水平。 需要切实改进，否则对不起这么好', '短评打分': 5}
{'短评内容': '酒店位置在老市区，环境不错，硬件也很好，虽然酒店不大，但很有特色', '短评打分': 5}
{'短评内容': '酒店很有特色，地处市区，逛观前街很方便，整体比较喜欢。', '短评打分': 5}
{'短评内容': '说是准四星酒店其实一星都没有，还不如快捷酒店干净，晚上洗澡连热水都没有，早餐也不好，反正糟糕透了，再也不会入住该酒店！！！', '短评打分': 3}
{'短评内容': '塞車時間，不易叫到出租車願意載來這。若只遊覽平江路、觀前街、拙政園附近，是很好的步行就可到的地點。但是服務不佳，資訊少，連飯店附近的遊覽地圖都沒有，建議提供自行車。', '短评打分': 5}
{'短评内容': '酒店位置好，平江路上进出方便，晚上很安静，房间设计很现代，非常喜欢。不足的是停车位难找，电话联系时告知在平江路上，结账时却告知停错车库~', '短评打分': 5}
{'短评内容': '有点小情调的雅致宾馆，建在平江路边，适合情侣度假。p.s.地处古城区，交通很不方便。', '短评打分': 5}
{'短评内容': '精致，典雅，江南水乡的味道十足，很喜欢。就是太难找了，每个房型都看了，有住进去的感觉，有机会都住一次，本来是个路痴，在苏州找酒店找了4个小时，快疯了，但酒店服务人员很热情，让你的心一下子就平缓了，喜欢，喜欢', '短评打分': 5}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '很好！服务很热情，平江路真的很漂亮！特别是小雨中的平江路有一种脱俗的感觉，好象穿越时空回到八百年前……', '短评打分': 3}
{'短评内容': '＋古色古香的平江路，现代感十足的内饰，喜欢', '短评打分': 3}
{'短评内容': '古色古香，非常不错,下次来还要住\n就是早餐简陋了些', '短评打分': 5}
{'短评内容': '不错，干净，交通也方便，去拙政园、狮子林走走就到了。我住的是大床房，还有一个小小的院子，带一口小小的井，蛮有特色的。\n喜欢平江街，安静、低调，很有江南那种平静的感觉。街上的店铺、茶馆也有特色，值得一逛。', '短评打分': 5}
{'短评内容': '性价比低的酒店，交通不方便，周围环境吵杂，下次不会入住', '短评打分': 1}
{'短评内容': '你们酒店干净、舒适,具有典型江南水乡风格,使人心旷神怡,使人有返普归真的感觉', '短评打分': 3}
{'短评内容': '很苏州，早餐也挺不错，前台服务很好。暂无停车场，在建。', '短评打分': 5}
{'短评内容': '整个酒店是在原先老房子上装修的，很温馨，夜晚很安静；酒店早餐属于苏式加港式茶点，搭配得很好（分A、B两套餐，也可另点）价格也不贵。前台美女服务也很到位。唯一不足是酒店暂无停车场（在建），可停在桥西南侧的土灶馆（收费）。我是从酒店西侧的临顿路进大儒巷进入的，过小桥右拐就是；也可从干将东路平江路（石板路）进入，向北十米有地下停车场，收费比前一方案稍贵。向西走出大儒巷过马路就是苏州的观前街，很方便购物。', '短评打分': 5}
{'短评内容': '房间不多大概10来间，设施4星比较舒适，酒店适合喜欢小情调，安静慢节奏的游客。\n离观前街步行5分钟，是市中心保留的一片老城区，街头巷尾古色古香小桥流水。\n酒店有自己的茶馆和港式餐厅，都很不错。\n有时间可以在平江老街兜兜转转，有些创意小店，咖啡馆，昆区博物馆，还可步行到耦园。', '短评打分': 5}
{'短评内容': '我们是元旦去的,本来想住在平江路上可以感受到苏州老城的气息,可惜酒店完全达不到五星的档次,差太远了,门窗漏风,热水不热,空调一开大风就吵得要命,但是开小风温度又打不上去,最可怕的是,拖鞋居然是脏的,被子上还发现了头发.住了那么多五星酒店这还是第一次遇见.', '短评打分': 1}
{'短评内容': '酒店很精致，和平江路很契合，下次有机会还会入住。', '短评打分': 5}
{'短评内容': '不错，环境和设施都可以。下回如果去苏州，应该还是会订这间酒店的', '短评打分': 5}
{'短评内容': '很好~很好~很好~很好~很好~很好~很好~很好~很好~很好~很好~', '短评打分': 5}
{'短评内容': '很好,很小资!价格也比较合适~下次还会入住!', '短评打分': 5}
