{'短评内容': '房间有点舊了,地毯有味道', '短评打分': 4}
{'短评内容': '当然风风光光红红火火', '短评打分': 3}
{'短评内容': '经常入住，早餐还是多准备点东西吧，早餐越来越差。', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '交通方便。卫生间有异味', '短评打分': 4}
{'短评内容': '舒服，干净&amp;hellip;', '短评打分': 5}
{'短评内容': '帮客户定的。好评。', '短评打分': 5}
{'短评内容': '第二次入住，早餐差点，房间真心不错，', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '有点旧了，就是价格还可以', '短评打分': 3}
{'短评内容': '房间大，设施也好，餐不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '早餐不好，都是冰的，连牛奶都是冰', '短评打分': 3}
{'短评内容': '推薦，離長途汽車站很近，早餐豐盛，價格尚可接受。', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '出差住住，还算不错了，这个价位能有这个硬件，比较值了，而且离西站比较近。', '短评打分': 4}
