{'短评内容': '卫生比较差，只是门面好而已，里面其实和普通的旅馆都差不多。前台有一个年轻的姑娘，特别的笨手笨脚，停车时候一定要和她强调清楚你停车的时间。说了中午一点钟到的酒店停车把我弄成了凌晨一点钟过来，搞得我时间特别紧。', '短评打分': 1}
{'短评内容': '房间环境不好，设备简陋，免矿水都没有', '短评打分': 3}
{'短评内容': '环境一般一般', '短评打分': 4}
{'短评内容': '性价比较好', '短评打分': 4}
{'短评内容': '安静屈服', '短评打分': 5}
{'短评内容': '依然很不错，继续下一次', '短评打分': 5}
{'短评内容': '服务杠杠的，非常好', '短评打分': 5}
{'短评内容': '环境舒适，服务态度好', '短评打分': 5}
{'短评内容': '房间豪华舒适', '短评打分': 5}
{'短评内容': '酒店太旧了，服务一般般', '短评打分': 3}
{'短评内容': '太旧了，环境不好', '短评打分': 3}
{'短评内容': '性价比高，值得推荐', '短评打分': 5}
{'短评内容': '再考慮. 再考慮. 再考慮. 再考慮. 再考慮. 再考慮. 再考慮. 再考慮. 再考慮. 再考慮. 再考慮. ', '短评打分': 3}
{'短评内容': '再考慮人住. 再考慮人住. 再考慮人住. 再考慮人住. 再考慮人住. 再考慮人住.再考慮人住. 再考慮人住.', '短评打分': 3}
{'短评内容': '方便。方便。方便。方便。方便。方便。方便。方便。方便。方便。方便。方便。方便。方便。方便。方便。方便。方便。', '短评打分': 2}
{'短评内容': '地理位置很好，在祖庙商业区内', '短评打分': 4}
{'短评内容': '位置好, 距離祖廟, 嶺南天地很近; 商務套房很適合一家人住宿, 但設施略為舊了一點; 應該重設早餐供應', '短评打分': 4}
{'短评内容': '很好，快捷方便。', '短评打分': 5}
{'短评内容': '环境很好，服务也很周到，还有水果赠送，值得推荐', '短评打分': 3}
