{'短评内容': '还可以，环境也不错。', '短评打分': 5}
{'短评内容': '还可以，就是有点吵', '短评打分': 5}
{'短评内容': '订的特价房，价格非常优惠！酒店位置也非常好。房间干净整洁，简约风格，给人感觉很温馨，wifi信号给力。24小时热水供应充足，洗个热水澡很爽。床单干净无异味。房间晚上很安静，住的舒心！这么好的店下次有机会还会再来的。', '短评打分': 5}
{'短评内容': '很好！', '短评打分': 5}
{'短评内容': '交通方便', '短评打分': 4}
{'短评内容': '经常出差到这里就住这儿 不错的', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '很好很不错，多次入住，经济实惠，环境好，服务好 品质好，真心不错。有空调、电视、淋浴、独立卫生间，出行方便，周围参观也很多 ', '短评打分': 5}
{'短评内容': '很好很不错，多次入住，经济实惠，环境好，服务好 品质好，真心不错。有空调、电视、淋浴、独立卫生间，出行方便，周围参观也很多 。', '短评打分': 5}
{'短评内容': '很好很不错，多次入住，经济实惠，环境好，服务好 品质好，真心不错。有空调、电视、淋浴、独立卫生间，出行方便，周围参观也很多 。', '短评打分': 5}
{'短评内容': '很好很不错，多次入住，经济实惠，环境好，服务好 品质好，真心不错。有空调、电视、淋浴、独立卫生间，出行方便，周围参观也很多 。', '短评打分': 5}
{'短评内容': '很好很不错，多次入住，经济实惠，环境好，服务好 品质好，真心不错。有空调、电视、淋浴、独立卫生间，出行方便，周围参观也很多 ', '短评打分': 5}
{'短评内容': '这周边还行，星期五六涨价', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '一般，房间有怪味', '短评打分': 4}
{'短评内容': '一般，房间有怪味', '短评打分': 4}
{'短评内容': '一般，房间有怪味', '短评打分': 4}
{'短评内容': '小的可怜！！！！！！！！！！', '短评打分': 1}
{'短评内容': '还行吧，空间很小', '短评打分': 5}
