{'短评内容': '环境还是不错的值得入住五分评价。', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '位置就在夜市旁边', '短评打分': 5}
{'短评内容': '干净整洁！物超所值', '短评打分': 5}
{'短评内容': '隔音稍微差了点，其他的都比较好', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '前台服务很不错，房间干净。值得入住', '短评打分': 5}
{'短评内容': '一般，就是连锁，都一样', '短评打分': 5}
{'短评内容': '就那样吧，', '短评打分': 3}
{'短评内容': '酒店交通便利，卫生很好，经济实惠。', '短评打分': 4}
{'短评内容': '挺不错的！', '短评打分': 5}
{'短评内容': '周边很方便 离大唐美食街很近 值得入住', '短评打分': 5}
{'短评内容': '环境不错，挺安静的，算是如家里面的低价啦！', '短评打分': 5}
{'短评内容': '价格优惠！服务很好！值得推荐！', '短评打分': 5}
{'短评内容': '不错，很好，都住了好多天了！！', '短评打分': 5}
{'短评内容': '新酒店，位置好，干净整洁，价格便宜，经济实惠，服务热情，值得推荐！', '短评打分': 5}
{'短评内容': '酒店环境很好，服务很热情，就是刚装修，味道有点大。不过总体来说很好。', '短评打分': 3}
{'短评内容': '挺不错的，性价比挺不错，旁边有个美食街，很爽~', '短评打分': 5}
{'短评内容': '真不错！新店，什么都是新的。\n距离火车站打车7.8元，酒店附近就是“大唐美食街”，吃东西很方便。\n美食推荐，酒店对面左边一点的“张金阳鸡汤刀削面”不错，才5块钱，好吃。我刚去完~', '短评打分': 5}
{'短评内容': '很干净清爽的装修风格，很喜欢。因为是新装修的，还有点气味。', '短评打分': 5}
{'短评内容': ' 环境干净，交通便利，出门就可打车去各景点，只是结帐忘记开发票了', '短评打分': 3}
{'短评内容': '已入住701,712房间，估计刚装修不久，有点味道。', '短评打分': 3}
{'短评内容': '地理位置还行，出门右拐就有大唐美食街，各种餐饮都有，唯一不足就是不能刷卡消费。', '短评打分': 5}
{'短评内容': '酒店位置不错，周边有饭店超市，看着也很干净，性价比高。', '短评打分': 3}
{'短评内容': '宾馆干净，服务不错', '短评打分': 3}
{'短评内容': '服务很好！设施很新！在租了3天3间标间后，店家意外地错给我们总共100多元日租费，并且没有追究，非常感谢！', '短评打分': 5}
{'短评内容': '酒店很新，很干净，位置非常方便，价格也合适。但是唯一的问题是不隔音，半夜被一群打麻将的吵得睡不好。这个也是个人素质的问题吧', '短评打分': 5}
{'短评内容': '酒店很新，很干净。位置也十分便利，走路2分钟就到美食一条街。嘉峪关这个城市也很干净，推荐。', '短评打分': 5}
{'短评内容': '嘉峪关这个城市给人的印象就非常好。这个如家就更好了，新，房间干净，位置好。旁边就是步行小吃一条街。方便极了，价格还比兰州，西宁便宜的多。非常推荐给自己旅行的朋友。', '短评打分': 5}
{'短评内容': '新开的酒店，干净整洁。值得入住.附近就有大唐美食街，酒吧。离火车站打车7块左右', '短评打分': 5}
{'短评内容': '非常可以的酒店，新、大，干净，设施新，安全措施到位。大家可以来！！！！', '短评打分': 5}
{'短评内容': '房间不错。隔音不好。', '短评打分': 3}
{'短评内容': ' 刚开不久，设施都很新，房间也够大，走几步到大唐美食街，很不错~', '短评打分': 3}
{'短评内容': '地理位置好，交通方便', '短评打分': 3}
{'短评内容': '房间色调好可爱啊，粉粉的～服务人员态度很好～位置离火车站和市中心都不远，交通便利～价格实惠', '短评打分': 3}
