{'短评内容': '我觉得还行', '短评打分': 5}
{'短评内容': '以后出差直奔此地', '短评打分': 5}
{'短评内容': '没有早餐，可以点餐的', '短评打分': 5}
{'短评内容': '可以的，出差来次，经济实惠，交通方便', '短评打分': 5}
{'短评内容': '经济实惠，真的不错', '短评打分': 5}
{'短评内容': '酒店位置很方便，房内装修杠杠的没话说，就是隔音效果太差了些，歌词关门说话都听得见', '短评打分': 5}
{'短评内容': '完美完美完美', '短评打分': 5}
{'短评内容': '很脏，而且明明订了带窗户的房间，结果他的窗户外面正对着电梯，是个对着走廊的假窗户，更奇葩的事是晚上总有人敲我们房间的门，说找人，说了不是他要找的人，结果还敲，还让我们把门打开看一眼，请问客人的安全和隐私怎么保障？还有酒店隔音特别差，走廊里任何声音都听的一清二楚的！', '短评打分': 3}
{'短评内容': '隔音不好，不是空调不好，就是床不好', '短评打分': 4}
{'短评内容': '环境不错，工作人员接待很热情', '短评打分': 5}
{'短评内容': '不错的呦啊', '短评打分': 4}
{'短评内容': '除了隔音差点，其它一切都好。', '短评打分': 5}
{'短评内容': '设施都还可以！就是不隔音啊！大晚上隔壁叫床声音大睡不好', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '帮同事订的，据说很满意', '短评打分': 5}
{'短评内容': '条件还可以，有些冷！', '短评打分': 3}
{'短评内容': '服务周到，交通方便，房间干净整洁…是个旅游出行的好居所！', '短评打分': 5}
