{'短评内容': '很好！特别好！', '短评打分': 5}
{'短评内容': '总体不错', '短评打分': 5}
{'短评内容': '酒店环境很不错，美女服务员也很有耐心，帮我们升级成了更好的房间！', '短评打分': 5}
{'短评内容': '位置方便，前台热情~', '短评打分': 5}
{'短评内容': '好，服务很周到，环境不错……', '短评打分': 5}
{'短评内容': '服务还行，环境一般般，位置还比较便利', '短评打分': 5}
{'短评内容': '短期住宿还行', '短评打分': 4}
{'短评内容': '酒店位置很好，就在人民广场附近，设施有些旧，但是对于这个地段来说，价格上还算不错的，房间内部干净卫生还是不错的', '短评打分': 4}
{'短评内容': '服务比较友好热情', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '房间感觉整洁，到店免费升级家庭房了。下载APP订房很优惠，客服服务也很即时，休闲区还有免费的热咖啡☕和橙汁。', '短评打分': 5}
{'短评内容': '房间太小了有没有窗户，郁闷', '短评打分': 3}
{'短评内容': '好 非常好 很适合和女朋友过来', '短评打分': 5}
{'短评内容': '帮爸爸定的，没说不好那就是好了', '短评打分': 5}
{'短评内容': 'Very nice Hotel. The Roms a clean and have all what you Need for a Night ', '短评打分': 4}
{'短评内容': '酒店位置很好，靠近人民广场，出去玩很方便，走路即可，酒店大部分房间在一楼，一楼的走廊超级长。酒店有停车位，才十几个，非常紧张，我上午去的，运气很好，占到一个，没事就不要开车逛上海了，老老实实走路或坐地铁吧', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '满意', '短评打分': 4}
