{'短评内容': '卫生还行！', '短评打分': 4}
{'短评内容': '哦哦', '短评打分': 3}
{'短评内容': '....................................................只能说', '短评打分': 3}
{'短评内容': '靠路边有点吵', '短评打分': 4}
{'短评内容': '房间位置不错，离车站很近，出行方便', '短评打分': 3}
{'短评内容': '客房整洁卫生', '短评打分': 5}
{'短评内容': '服务不错，房间也还可以。主要是老板人不错！', '短评打分': 5}
{'短评内容': '服务不错，房间也还可以。主要是老板人不错！', '短评打分': 5}
{'短评内容': '服务不错，房间也还可以。主要是老板人不错！', '短评打分': 5}
{'短评内容': '服务不错，房间也还可以。主要是老板人不错！', '短评打分': 5}
{'短评内容': '临时决定来江西玩，实在没地方住，又缝国庆，价格，你懂的，我倒是没什么，我领导很有怨言………咋整？', '短评打分': 3}
{'短评内容': '鑫源宾馆.住房间太差抽水马桶上盖子都沒有.我们3月27.28.29住3天上当房间里电话都沒有.还算宾馆比旅馆都我建议艺龙网取消和你们合作！ 艺龙会员', '短评打分': 3}
{'短评内容': '酒店离旅游集散中心很近，买票很方便，去各地玩汽车站就在酒店旁。对第一次玩得人还是方便的', '短评打分': 4}
{'短评内容': '这家酒店地理位置很好，离汽车站很近，卫生方面还可以，老板娘很热情', '短评打分': 5}
{'短评内容': '不应称宾馆，招待所差不多，史上住过最差的客房，入住时与入住后老板态度截然不同。卫生差，环境杂，态度恶，平常118一晚，收我258还不开发票。建议网友绕行。', '短评打分': 1}
