{'短评内容': '挺干净的，住的蛮舒服。', '短评打分': 5}
{'短评内容': '感觉还可以', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '还不错啊啊啊', '短评打分': 5}
{'短评内容': '老牌的酒店，离北京西站很近，为做火车预定的此酒店，前台服务态度好，办事效率高，服务人员态度好，早餐味道还好。', '短评打分': 5}
{'短评内容': '服务很周到', '短评打分': 5}
{'短评内容': '很不错，服务也很好！', '短评打分': 5}
{'短评内容': '北京知名五星了，西部物美价廉', '短评打分': 5}
{'短评内容': '酒店设施干净整洁 值得推荐', '短评打分': 5}
{'短评内容': '能住～房间不错', '短评打分': 5}
{'短评内容': '还不错????', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '替朋友定的，感觉还不错。下次还会再定！', '短评打分': 5}
{'短评内容': '离西客站近，方便', '短评打分': 5}
{'短评内容': '干净价格合适', '短评打分': 5}
{'短评内容': '酒店位置很好，房间干净，总体上不错！', '短评打分': 5}
{'短评内容': '凌晨2点到店，入住及次日退房手续办理迅速，床垫舒服软硬合适，夜班服务生很耐心随和，唯有洗脸盆的水温需要修理或调整下，冷水基本没有，水温太高了', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '环境幽雅 服务态度好 离得火车站近很方便', '短评打分': 5}
{'短评内容': '交通方便，到西站很近', '短评打分': 5}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '周边环境挺好的，地理位置不错，房间干净整洁，', '短评打分': 5}
{'短评内容': '酒店还是不错的，感觉服务也还行！！！！', '短评打分': 4}
{'短评内容': '老牌五星级酒店，品质还是值得信任的', '短评打分': 5}
{'短评内容': '设施不错，干净整洁，下次来还会考虑入住。', '短评打分': 3}
{'短评内容': '酒店装饰细节考虑的很周到。', '短评打分': 3}
{'短评内容': '不错挺好挺好 不错挺好挺好 不错挺好挺好 不错挺好挺好', '短评打分': 5}
{'短评内容': ' 酒店还行，但和五星的标准还有点距离。房间电视、电话好像都是改造过，网络好像很先进、智能啥的', '短评打分': 3}
{'短评内容': '房间很大.很舒服。', '短评打分': 3}
{'短评内容': '这家饭店不错，房间舒适，早餐丰富，服务比错，本次是朋友推荐的，五星饭店这家的性价比很高，我要推荐这家饭店', '短评打分': 5}
{'短评内容': '其他还好，但房间太小，价格不便宜，性价比不高，不推荐。', '短评打分': 1}
{'短评内容': '很舒适的房间 停车等服务都不错 周围交通方便 紧邻西站和京石高速', '短评打分': 5}
{'短评内容': '非常不错的酒店，服务人员也都很和蔼，送餐服务一般，早餐很丰盛！', '短评打分': 5}
{'短评内容': '多次入住此酒店，新装修的房间宽敞、舒适住的很满意，服务态度好，下次还来入住', '短评打分': 5}
{'短评内容': '真的不知道这样的酒店怎能被称为五星，价格要将近一千。实在不值。设施陈旧，跟三星差不多。', '短评打分': 1}
{'短评内容': '出差办事住这里挺好，方便。打的有点难，早餐性价比太低，108元的早餐和其他酒店五六十元的差不多', '短评打分': 5}
{'短评内容': '酒店住宿条件很好，西客站下车可以步行到达，环境也可以，服务不错，住好多次了！！！', '短评打分': 5}
{'短评内容': ' 酒店位置方便，环境也可以。住好多次了', '短评打分': 3}
{'短评内容': '酒店住宿条件很好，房间空调偏凉，早餐西餐多，中餐品种少。值得推荐。', '短评打分': 3}
{'短评内容': '出行方便！！！！！\n停车贵，白天8块/小时，晚上1块/小时\n吃饭贵\n服务可以\n房间装修完味道太大，受不了，调了房间空调又不好使，半夜3点都没法睡', '短评打分': 5}
{'短评内容': '地理位置交通方便，吃饭太贵了，每次去北京都住这里，是单位指定的，没办法', '短评打分': 5}
{'短评内容': '地点挺方便的，服务也还可以，只是硬件条件一般，还有就是吃太贵了', '短评打分': 5}
{'短评内容': '住好多次了，没办法了是会议指定，这次住的楼层装修，味道太大，熏得头疼。吃饭贵。', '短评打分': 5}
{'短评内容': '交通方便，西客站下了车可以步行到达，是联通旗下的五星级酒店，就是酒店空调的温度有点过高，早餐有点贵', '短评打分': 5}
{'短评内容': '交通极其方便，处于多个重要地段中心。老牌酒店了，都还行吧。', '短评打分': 5}
{'短评内容': '一般，达不到五星标准，房间装修一般，服务态度较好！', '短评打分': 3}
{'短评内容': '酒店设施一般，不足以匹配五星级标准。早餐价高，吃得不实惠。', '短评打分': 1}
{'短评内容': '客房为消除烟味用的空气清洁剂味道太重，过敏人受不了！', '短评打分': 5}
{'短评内容': '地段好、服务好、设备也很好。下次再去北京我还去你们那里住。', '短评打分': 5}
{'短评内容': '房间装修味太重。', '短评打分': 3}
