{'短评内容': '隔音不好，早晨服务员在楼道里聊天', '短评打分': 4}
{'短评内容': '靠近滇池，酒店环境很好，服务也很到位，就是从机场过去太远了。', '短评打分': 5}
{'短评内容': '适合会议吧', '短评打分': 4}
{'短评内容': '啊啊啊啊啊啊啊啊啊', '短评打分': 5}
{'短评内容': '设施旧了一些，房间的设计等各方面都挺别致，还算很有感觉的！如果设施能维护得好一些就完美了……周边环境还是很好的', '短评打分': 5}
{'短评内容': '大半夜去办理入住的，早上起来发现景色特别美，就是吃饭地离的远，要走好久才能到的，累死宝宝了，不过大清早运动运动也是好的', '短评打分': 5}
{'短评内容': '昆明必住酒店，出行环境都非要满意，出门海鲜、川菜、火锅什么都齐了，餐饮档次都很好。出差全家入住最好的选择', '短评打分': 5}
{'短评内容': '非常漂亮 越城很漂亮', '短评打分': 5}
{'短评内容': '安静，干净，服务态度好，环境好。', '短评打分': 5}
{'短评内容': '就是房间隔音不好！原来套件改装的！', '短评打分': 5}
{'短评内容': '环境好，适合度假。', '短评打分': 5}
{'短评内容': '实在很一般', '短评打分': 3}
{'短评内容': '特别好 滇池附近很不错的', '短评打分': 5}
{'短评内容': '房间小了些，但环境清幽，卫生条件好', '短评打分': 4}
{'短评内容': '这次住了十个晚上，交通不太方便，设施有点旧，其他还可以。', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '环境优美', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': ' 各方面都挺不错的，给客户订的，比较满意。环境服务都很不错，游泳有点坑，居然还要住客买票，这点让人不爽', '短评打分': 5}
{'短评内容': '环境尚可，管理水平一般，住客不能免费使用泳池。', '短评打分': 1}
{'短评内容': '该酒店唯一值得推荐的就是酒店的周边环境不错，是别墅区改的。该酒店的硬件设施、早餐供应及服务质量完全配不上所谓的四星级酒店。下次是不会来了。', '短评打分': 1}
{'短评内容': '到了酒店享受到了城市里的清新和宁静，环境设计不错，毎一幢楼就是一微型酒店。房间设施略显陈旧，像电视有柜柜是一大败笔，看电视要开着门一样，感觉酒店用品档次应该达不到这个价格吧', '短评打分': 3}
{'短评内容': '环境优雅，配套齐全，适合商务会议。交通不太便利，需要叫车。不能容忍的是没有网线，上网每天要收费10元。第一次遇到！！！', '短评打分': 1}
{'短评内容': '景色很好', '短评打分': 3}
{'短评内容': '很好，不错。交通方便，服务态度好，环境也很好！', '短评打分': 5}
{'短评内容': '第一次住\n感觉还好\n干净\n环境还行\n就是\n', '短评打分': 5}
{'短评内容': '还不错！挺好的！', '短评打分': 3}
{'短评内容': '酒店环境很优美，房间装修较新，设施齐全，总体不错！', '短评打分': 5}
{'短评内容': '酒店环境很好，很安静，酒店内部绿化做的很好，服务员态度很好很热情，卫生条件也特别干净，住宿环境很好\n\n', '短评打分': 5}
{'短评内容': '帮朋友预订的滇池边上的酒店, 据称酒店还不错, 位置很好, 设施环境都不错! 将来若到滇池, 一定选择入住!', '短评打分': 5}
{'短评内容': '酒店周围环境较好，但房间里面的设施感觉陈旧。', '短评打分': 5}
{'短评内容': '离市中心较远，离滇池和民族村较近；环境优雅；总台接待能力待提高', '短评打分': 5}
{'短评内容': '环境还可以，但交通不太方便，服务也有待提高，餐厅居然连冰激凌都没有，真有点失望。', '短评打分': 5}
{'短评内容': '外环境很好。床很干净。宽带也不错。就是隔音差了点。', '短评打分': 5}
{'短评内容': '环境好', '短评打分': 3}
{'短评内容': '环境很好，非常安静，工作人员服务态度也不错。', '短评打分': 5}
{'短评内容': '度假酒店，距离滇池很近，环境很幽静。值得推荐，性价比也很好。适合旅行修养居住。，', '短评打分': 5}
{'短评内容': '房间不错 价格也合适', '短评打分': 3}
{'短评内容': '已入住，环境非常好，服务也不错，下次还住', '短评打分': 3}
{'短评内容': '此酒店不错，十分安静。', '短评打分': 3}
{'短评内容': '太冷了酒店，而且每次要去市中心必须打车20多块钱才能到翠湖附近。。。环境还行，就是前台服务员速度太慢，结账、办理入住都慢。', '短评打分': 1}
{'短评内容': '环境不错，房间也比较大，自助餐虽说不上精致，倒也算可口。\n就是服务有待加强，走的时候想让前台叫个出租车，却被告知要提前预订的，晕~~~~~~~~不知道这是不是云南特色~~', '短评打分': 5}
{'短评内容': '酒店的窗子是落地式的，显得房间宽敞明亮。觉得酒店还是很不错的。', '短评打分': 5}
{'短评内容': '酒店环境很好…设施也算齐全…值得称赞的是服务很周到＾＾可是上网要收费这点不接受（虽然也只是一天十元）…总体还是满意的！', '短评打分': 5}
{'短评内容': '酒店的服务很好，员工很细心，一些小细节也做得非常好。', '短评打分': 5}
{'短评内容': '怡景酒店的设施配套全，配置也很新，很不错的一家休闲假日酒店。', '短评打分': 5}
{'短评内容': '酒店环境很好，很安静，酒店内部绿化做的很好，服务员态度很好很热情，有什么问题她们都会主动帮助我们，卫生条件也特别干净，住宿环境很好', '短评打分': 5}
{'短评内容': '+整洁卫生,环境优美', '短评打分': 5}
{'短评内容': '环境不错，吃的差些，交痛不便,如果有免费上网就好了。\r\n', '短评打分': 5}
{'短评内容': '环境非常好!只是上网要收费，有点让人不爽！', '短评打分': 5}
{'短评内容': '酒店整体环境不错.感觉服务还是有所欠缺.前台办手续比较慢.服务人员略显得不是很专业.', '短评打分': 5}
{'短评内容': '性价比蛮好的酒店，房间很干净，设施完善，地理位置交通方便，很不错的酒店，下次还会入住。', '短评打分': 5}
{'短评内容': '这家酒店的环境还不错，房间里卫生打扫不很干净，设施方面还算比较齐全，酒店位于开发区里，所以交通不是很便利的，这家酒店比较适合到那办事的出差人士入住，整体感觉性价比还可以。', '短评打分': 5}
{'短评内容': '环境非常好, 周边景色不错, 附近就有美食城,很舒服!', '短评打分': 5}
{'短评内容': '因为在滇池国家旅游度假区，所以环境是绝对没得说！距离市区有些远，用车不是很方便，不过我的户外婚礼就是在他的露天广场上举办的，很美！几年以前觉得很不错，现在再住就觉得一般了！也可能是近几年住过太多更好的酒店，个人的要求也在不知不觉中更高了！但相对性价比还算可以吧！', '短评打分': 5}
{'短评内容': '很好的度假酒店，休闲怡情，离滇池很近，离机场也不远。', '短评打分': 3}
{'短评内容': '设施、位置不错，一个休闲度假的好地方1', '短评打分': 5}
