{'短评内容': '挺好的，吃饭交通都很方便，前台办理入住也很快。', '短评打分': 5}
{'短评内容': '不好停车', '短评打分': 4}
{'短评内容': '停车方便', '短评打分': 5}
{'短评内容': '早餐一般，不可以加床，房间挺大，带孩子也可以；酒店位置很好找，有停车场。', '短评打分': 5}
{'短评内容': '早餐加15元 一般 位置在车站旁 繁华 有停车场 新装修 很干净', '短评打分': 5}
{'短评内容': '一个人住个大房间，虽然大床没订单，住个标间', '短评打分': 5}
{'短评内容': '很不错很不错', '短评打分': 5}
{'短评内容': '干净，服务态度也非常好，住的是特价优惠房，也给了非常好的建议', '短评打分': 5}
{'短评内容': '到濮阳一般都住在这，很不错的', '短评打分': 5}
{'短评内容': '家里装修，让我妈出来住2天。这边离家不远，电话提前告知不要靠马路的房，店家很好，怎木能满足需求。里面住着不错，以后有需要还会再来', '短评打分': 5}
{'短评内容': '酒店位置不错，停车方便，干净整洁，设施一应俱全。酒店服务周到。周边出行非常方便。绝对是出差旅行度假的优选。', '短评打分': 5}
{'短评内容': '还不错吧', '短评打分': 4}
{'短评内容': '价格合理，服务很好，早餐太过简单，大部分都是冷菜，不适合冬天吃。', '短评打分': 5}
{'短评内容': '中规中矩，没有惊喜没有失望，一贯风格', '短评打分': 5}
{'短评内容': '酒店是如家的品质，还不错，就是无线网络信号有些差，其他都还好', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '挺好的，很干净，简洁，舒适。。一直都住这家...唯一一点不好的就是没有早餐。希望酒店可以考虑一下，是否夏天也可以提供早餐。', '短评打分': 5}
{'短评内容': '干净，卫生，环境好，价格也很优惠。值得推荐啊，下次还来来濮阳了继续预定，知识没有早餐，可惜了。。。。', '短评打分': 5}
{'短评内容': '干净，卫生，环境好，价格也很优惠。值得推荐啊，下次还来定。', '短评打分': 5}
{'短评内容': '房间很小，装修又老旧，网速相当的慢！周边打车因为不方便', '短评打分': 1}
{'短评内容': '跟以前一样，第二次住了，虽然小了点，但干净，方便', '短评打分': 5}
{'短评内容': '位置不错，干净。。', '短评打分': 3}
{'短评内容': '酒店客房小，洗澡水不热，环境一般吧。早餐一般。就是干净和便宜了', '短评打分': 1}
{'短评内容': '还可以吧，前台的服务还可以，环境也还可以，', '短评打分': 5}
{'短评内容': '前台的服务还可以，环境也还行，但是餐厅的服务太差了，9点30早餐时间是到了，但是还没有吃完小米粥，竟然发现锅不见了，服务员告知：您可以吃（那个和猪食差不多的糊糊汤）郁闷！', '短评打分': 5}
{'短评内容': '不是中央空调,太吵,马桶也有点失灵,一晚上哗哗的.\n电视不是液晶电视,不是机顶盒,竟然没有中央5.\n电吹风需要去前台登记领取.', '短评打分': 1}
{'短评内容': '不错，很干净，黄晶环境也好，安静。周边的设施齐全，对面不远就是一家大超市，而且交通方便。', '短评打分': 5}
{'短评内容': '住宿条件可以，就是因为酒店的原因让我等了半个小时才入住，早餐还不错！', '短评打分': 5}
{'短评内容': '洗澡水不够热其他都还好.洗澡水不够热其他都还好.洗澡水不够热其他都还好.洗澡水不够热其他都还好.洗澡水不够热其他都还好.', '短评打分': 1}
{'短评内容': '濮阳如家挺温欣的！', '短评打分': 3}
{'短评内容': '酒店很棒，干净，交通也方便，早餐相当丰盛，满意！', '短评打分': 3}
{'短评内容': '酒店房间很干净舒适，床也很大很舒服。距离高速很近，很方便。就是早餐一般', '短评打分': 5}
{'短评内容': '已经是第三次来了 网速很快能打游戏，而且比较安静', '短评打分': 5}
{'短评内容': '还可以，早饭内容太单调，自备的小超市价格太贵，根本无法购买，品种也太单一，质量差，还不如没有', '短评打分': 5}
{'短评内容': '还凑合，一般的经济型连锁酒店，总体感觉比锦江还是要差些。', '短评打分': 3}
{'短评内容': '总体一般，但在濮阳算是还可以了。而且早餐居然免费，在如家很难得碰上。', '短评打分': 5}
{'短评内容': '地理位置安静，交通方便，房间面积比较大。很温馨。', '短评打分': 5}
{'短评内容': '酒店的地理位置还可以，附近有超市，购物出行都蛮方便的，房间很宽敞，硬件设施齐全，卫生条件也很好，住宿环境蛮好的', '短评打分': 5}
{'短评内容': '酒店的位置还可以，不到500米处就有公家车站，还有个商业街，出行很方便，房间卫生条件很不错，住宿环境还可以', '短评打分': 5}
{'短评内容': '酒店的服务员素质都蛮高的，整体感觉很好，房间很宽敞，硬件设施齐全，性价比比较高', '短评打分': 5}
{'短评内容': ' 管早餐就省了一个人十五圆,还算干净,步行十分钟有一个很好的羊肉烩面', '短评打分': 5}
{'短评内容': '这家酒店就是干净，方便。价格比较实惠。住的挺划算的。', '短评打分': 5}
{'短评内容': '典型如家，服务可以，餐厅也可以', '短评打分': 5}
{'短评内容': '比较经济实惠，位置稍偏。要是入住天数大于一，好像是没有服务员主动打扫。', '短评打分': 5}
{'短评内容': '中途停水很烦人', '短评打分': 5}
{'短评内容': '环境挺好的，商务房间空间点小，价格和地段很不错', '短评打分': 3}
{'短评内容': '早餐的花样再多一点，访客的隐私再尊重一点。', '短评打分': 5}
