{'descr': '都还好！就是有点吵！不过性价比很 高！值得入住！', 'star': 5}
{'descr': '早餐品种太少了。房间一般，卫生条件差', 'star': 3}
{'descr': '酒店卫生条件差，进房间一股霉味，服务生打扫也很不仔细，马桶上有尿渍，洗完澡后地上的水都没拖，总之一般吧', 'star': 3}
{'descr': '其它都还行，早餐不行。种类太少', 'star': 3}
{'descr': '交通方便，地段较好，适合机电行业的商务人士居住。', 'star': 5}
{'descr': '环境好 态度好 设施完全，有电脑，下次一定还去住', 'star': 5}
{'descr': '前台热情  房间够大  设施齐全  推荐一个', 'star': 3}
{'descr': '房间比较宽，但是有点旧，卫生间门口的地毯明显受潮，有点脏。。。隔音效果也差，走廊的噪音很明显！', 'star': 1}
{'descr': '我怎么感觉这次住的158的房间比之前住的138的小了？！涨价啦？', 'star': 3}
{'descr': '服务差，环境差！房间竟然还有小强！前台服务员说说没事！无语了！换房间竟然还收高价！建议大家还是别去，特别是前台小姐那张脸拉多长', 'star': 1}
{'descr': '价格与服务是匹配的，当然改进空间还是存在的。', 'star': 5}
{'descr': '性价比合适，但早餐过于简单，还真是只有稀饭、馒头、花卷和白煮鸡蛋。', 'star': 5}
{'descr': '地理位置不错，跟陈家坪汽车站隔了一条街，出行方便。但这家酒店比较吵，房间隔音效果差，隔壁那家房的人开着门打麻将，噪音大！免费的早餐只有稀饭、包子、馒头、咸菜、鸡蛋，种类较少。', 'star': 1}
{'descr': '酒店很不错，环境卫生都不错，硬件很到位，交通也很方便，下次来还会住。就是电梯有些问题。', 'star': 5}
{'descr': '很不错。', 'star': 3}
{'descr': '这价位这样的条件已经不错了.在同等酒店里来说还算经济实惠的~我想下去去还是会继续住的', 'star': 5}
{'descr': '水床不错，房间宽敞，卫生条件好，停车方便。', 'star': 5}
{'descr': '该酒店配套设施还可以，房间也不错。不足之处主要在房间的电视不是IPTV，台比较少；另外周边配套不好，吃饭很不方便。', 'star': 1}
