{'短评内容': '服务好，房间舒适满意', '短评打分': 5}
{'短评内容': '没吃早餐，住的套间，很舒服，同事都很满意', '短评打分': 5}
{'短评内容': '环境好，早餐丰盛', '短评打分': 5}
{'短评内容': '设备有点老旧。卧室有点小，价格不太便宜！', '短评打分': 4}
{'短评内容': '住在937忘了照相了。地理位置很好交通逛街都很方便。每天两瓶免费水，微波炉、冰箱都有（没用过）。客厅沙发很旧，两个房间只有我是的一扇窗户可以打开。每天都有四包免费茶叶。主要缺点是---客厅和卧室插座除了电视旁的其余都是非国标（三个圆柱）。客厅落地灯有一个转换插头可以插英标和两个头的中标插头。床两边的都是三个圆柱这样的插座插着台灯，没有多余的。如果想在床边充电还是带转换插头吧（结账时客服说进房间厨房', '短评打分': 5}
{'短评内容': '再次续住。', '短评打分': 5}
{'短评内容': '我感觉这个价格这个位置很好，房间很大性价比高', '短评打分': 5}
{'短评内容': '十分不错呦，昨天又订了一个', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '一般，设施有点陈旧', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '这次第二次入住，住在9层上次的房间好，宽敞明亮，还有冰箱，微波炉。前台经理笑容可掬，服务一流。很满意。', '短评打分': 5}
{'短评内容': '年末去房间太难定了。。', '短评打分': 5}
{'短评内容': '位置方便，环境不错，离单位很近', '短评打分': 4}
{'短评内容': '有点旧了，房间倒是很大很大，客厅也很大。地段非常好，就在西单，非常繁华。下了地铁要走一会儿。早餐要是能再丰富点就好了。', '短评打分': 4}
{'短评内容': '很赞，房间大 环境好，附近交通又很方便', '短评打分': 5}
{'短评内容': '总体都不错', '短评打分': 4}
{'短评内容': '交通方便，在西单！酒店前台接待服务好，销售有点木纳', '短评打分': 5}
{'短评内容': '房间宽敞，价位还行，暖气特别好，交通方便', '短评打分': 5}
{'短评内容': '挺赞的', '短评打分': 5}
{'短评内容': '周边环境不错，酒店房间很大，下次还去。', '短评打分': 4}
{'短评内容': '一行3人去北京公干，误打误撞定了这家酒店，没想到竟然是出奇的好，100平米的面积让人惊喜，双浴室，双卧房，一个大的厨房，大的客厅和餐厅，真是不错。晚上还去地下二层游泳，真是爽啊', '短评打分': 5}
{'短评内容': '交通方便，房间空调冷啊。环境不错。出门就是地铁。', '短评打分': 5}
{'短评内容': '华威还是很实惠的，我住的双套很宽畅。WiFi很好用。只是厨房旧了点，微波炉内的盘子没有刷。洗澡间的帘子脏的有些可怕。但是以此价格，住个两室两卫的公寓，还是很划算的。', '短评打分': 5}
{'短评内容': '酒店交通方便，购物便利，安静舒适，床睡着舒服，9层有一个小花园，很宜人。', '短评打分': 5}
{'短评内容': '酒店位置很好，就在西单商场楼上，交通购物都很方便。我住的是商务大床房，客厅、wc都比较大，而且最好的是用的都是木地板不是地毯。洗衣机、冰箱等设备都很齐全。就是酒店走廊太长了。', '短评打分': 5}
{'短评内容': '酒店位置好，房间大，卫生好！还提供下午2点退房的服务！真不错', '短评打分': 5}
{'短评内容': '环境很好、只是一般酒店的走廊和电梯都会有冷气。唯一的缺点就是这个了。\n', '短评打分': 5}
{'短评内容': '华威商务酒店位置好办事方便客房设备齐全但老化毛病多没有商务中心办事不方便。', '短评打分': 3}
{'短评内容': '龙翠的升级很不错 酒店很喜欢 9层可以看到空中花园 关键是高级套间有厨具 跟女朋友一起做饭很温馨 装修也不错 但是卫生间比较陈旧 酒店设施略显老了 如果是家庭出游的话可以推荐入住 平日性价比不是很高  ', '短评打分': 5}
{'短评内容': '非常干净、床很舒服，房间内有个小厨房、衣帽间，厅内很宽敞，虽在闹巿区但是房间内很安静。下次来北京还会选择这家酒店。', '短评打分': 3}
{'短评内容': '房间很大，但是卧室相对偏小了，酒店位置很好，逛街很方便，不需要选带早餐券的，楼下就有快餐', '短评打分': 5}
{'短评内容': '地理位置好，出行方便，设施陈旧，房间里免费物品基本取消，价格偏高。', '短评打分': 5}
{'短评内容': '酒店很好，很干净，地处商业中心，购物很方便', '短评打分': 5}
{'短评内容': '房间面积很大，干净，设施完备。就是淋浴的龙头有待改进，别的都好。', '短评打分': 3}
{'短评内容': '北京华威商务酒店地理位置优越，房间空间大，配套齐全，卫生服务良好，性价比高。', '短评打分': 3}
