{'descr': '大床睡的很不错。大冷天的洗完澡屋里也不冷！喜欢。就是有点贵！', 'star': 5}
{'descr': '还不错。环境可以。洗澡水很热乎。这个价钱值。', 'star': 5}
{'descr': '不错，安静', 'star': 4}
{'descr': '还可以，就是位置离地铁远点', 'star': 5}
{'descr': '酒店位置距离地铁很近，卫生打扫也很勤快。就', 'star': 5}
{'descr': '在北京能找到这个价格住的7天不多了，要求也没那么高，就是隔音有点差，晚上八点不到隔壁房那对男女就干起来了，还好那女的叫不到3分钟就没声音了，应该是那男的不行，太差劲了，wf简直就是一个摆设，没用很慢很卡，还是用万能锁破隔壁那个顺德人家饭店的wf用，还有洗刷用品也没我们南宁广东的好用，连订了两天两个晚上，去玩回来还开不了门，去前台问才知道要一天一刷卡，太麻烦了，离地铁也很远，走路到六里桥最快也得要1', 'star': 5}
{'descr': '在万丰路上，离西站很近，交通便利。环境不错。', 'star': 5}
{'descr': '有暖气，房间设备够用，', 'star': 5}
{'descr': '挺好的，舒服', 'star': 5}
{'descr': '可以，服务不错的。就是陈旧一点，习惯就好', 'star': 5}
{'descr': '还好吧！离车站太远了，吃饭倒是很方便，很多饭馆，周围我吃了俩家都不错。', 'star': 5}
{'descr': '还可以吧，离地铁近', 'star': 5}
{'descr': '今晚入住，也是七天的老会员啦，一直很喜欢七天的客房风格。', 'star': 5}
{'descr': '环境不错，是个大床。', 'star': 5}
{'descr': '55555555555555555566666666666666666666666666666666677777', 'star': 5}
{'descr': '一直住这家，恰逢618京东活动多，就在这订了，便宜一点是一点，', 'star': 5}
{'descr': '京东订单处理速度还是很快的，不错，好评', 'star': 5}
{'descr': '房子还不错 离财经学院很近 很赶紧卫生', 'star': 5}
{'descr': '很好，下次有机会再来', 'star': 5}
{'descr': '还不错 格局不大 价格蛮优惠的', 'star': 5}
{'descr': '好好好', 'star': 5}
{'descr': '挺好的', 'star': 5}
{'descr': '不错，舒适。距离地铁很近', 'star': 5}
{'descr': '酒店住的很舒服，床很大，很舒服。', 'star': 5}
{'descr': '还可以的吧，可以可以的', 'star': 5}
{'descr': '很好，好评！出门就是公交，交通方便！干净，还免费换成了大床房！', 'star': 5}
{'descr': '设施还行，服务也还行', 'star': 4}
{'descr': '住的还可以，在冬天来说温度很重要屋子里很温暖，门口就有很多吃的地方，宾馆安全挺好，感觉挺放心，出门就是公交车。非常方便', 'star': 4}
{'descr': '简洁 经济 ', 'star': 5}
{'descr': '就那样', 'star': 3}
{'descr': '一般般，没早餐', 'star': 5}
{'descr': '整体来说不错，挺实惠的～', 'star': 5}
{'descr': '还行吧', 'star': 4}
{'descr': '很好，床很大，很舒服，暖气很暖', 'star': 5}
{'descr': '温度还可以，只是前台把房间给搞错了，恰巧房间里有人。', 'star': 3}
