{'descr': '主要是交通位置特别好！离汽车站很近！~很方便', 'star': 5}
{'descr': '地上比较脏。希望下次入住，会有好的改观。~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', 'star': 5}
{'descr': '地上比较脏。希望下次入住，会有好的改观。~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', 'star': 5}
{'descr': '本旅店地处僻静，房间设备简洁，实用，实惠，没有奢侈感，就是街面上不繁华，来往车辆少，到城里老区不太方便；厨艺不错，挺可口的。', 'star': 5}
{'descr': '不错，提点建议，把房间的地毯及时的清理一下，屋里最有一些说不出来的味道', 'star': 5}
{'descr': '非常好的酒店，每次来保定都住在这里。特别是卫生好，餐厅好，有中央空调，价格还便宜。 \n', 'star': 5}
{'descr': '保定侨胞之家快捷酒店价格卫生条件餐厅服务都不错，就一点需改进：卫生间干湿不分，洗完澡卫生间满地是水，不方便。另外可考虑安装毛杆巾，毛巾放在筐里不方便。', 'star': 5}
{'descr': '干净，房间面积较一般商务型连锁酒店大，周围饭店高中低档皆有，就餐比较方便', 'star': 5}
{'descr': '住宿不错 ，从北戴河回来又住了一晚上，中央空调 ，很贴心  可以上网，只是酒店背后白天拆房子很不爽。酒店的餐厅菜肴名目繁多，但是名不副实，量太少价格也很高，建议出去右拐十字路口有饭馆核一家陕西中式快餐馆不错。', 'star': 5}
{'descr': '总体说还可以，房间比较干净。特别值得表扬的是门口的保安，对客户的车很上心。\n但是\n1、我定的大床房间，服务员随便给了我个双床房。我下来一问，明明有房间却说没有。然后说给我找个。\n2、晚餐：把一个菜钱算了2遍。幸亏，我算了一遍。\n3、看以前的评论，说是早餐不错。我都怀疑是托说的。早餐哪里有什么吃的啊。TMD，就一个菜，土豆，居然还不去皮。带皮炒的，这是喂猪啊。你们在家也这么吃土豆吗？\n', 'star': 5}
{'descr': '已经是第二次入住，各方面的设施和卫生状况都不错，只是电视信号好像不是很好，部分台看不了。', 'star': 5}
{'descr': '很不错，幽静，卫生，就是隔音差一些，早餐单调了一些，不是很丰富，其他的都还可以', 'star': 5}
{'descr': '环境一般正好外面有建筑施工。地方很好找内部还可以', 'star': 5}
{'descr': '第一次我们一家三口入住 ，房间不错  有专门的饮用水，还有早餐很丰盛，', 'star': 5}
{'descr': '不错，以后去保定办事还是会订这家酒店的~~~~~~~~~~ \n', 'star': 5}
{'descr': '总体还不错,隔音有些差', 'star': 3}
{'descr': '\n设施太差', 'star': 3}
{'descr': '不错，以后去保定办事还是会订这家酒店的~~~~~~~~~~', 'star': 5}
{'descr': '不错~~~~~~~~~~~~~~~~~~~~~~~~~~~', 'star': 5}
{'descr': '环境非常的好啊，交通真是很方便啊，公交真多啊，有早餐啊', 'star': 5}
{'descr': '服务态度不错', 'star': 3}
{'descr': '距离泰州市客运南站很近，有很多公交车，交通方便，环境也很好，干净清爽', 'star': 5}
{'descr': '环境很好，交通也很方便，靠近客运南站，车多', 'star': 5}
