{'短评内容': '还可以  已经住过好几晚了', '短评打分': 5}
{'短评内容': '还可以  已经住过好几晚了', '短评打分': 5}
{'短评内容': '干净卫生，经济实惠！', '短评打分': 5}
{'短评内容': '位置还不错，距离朋友家不远，方便啦，但是有点旧，卫生感觉不太好', '短评打分': 5}
{'短评内容': '很不错哦', '短评打分': 5}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '第一，该酒店所谓有窗户的房间，就是一个长方形很小的窗户对着对面的墙面，而且有人在走廊抽烟全部都飘进房间里，空气非常差;第二，办理入职我们等了足足应该有半小时，效率极其低下;第三，酒店房间的环境非常差，床可能就是旅馆的标准吧;第四，酒店内部自己有停车场也并没有告知;第五，周边环境也比较嘈杂，完全不值这个价格，建议如果来厦门旅游的亲，还是不要选择，降低体验感！', '短评打分': 1}
{'短评内容': '酒店一般，然后最恶心的是下错订单还不让取消，电话前台说是愿意，但是要携程沟通，携程沟通后说酒店拒绝取消！真牛逼', '短评打分': 1}
{'短评内容': '位置很好，设施业可以，旁边就有公交站，去旅游景点很方便。如果出来旅游带孩子的话，是可以住标间的，还可以。', '短评打分': 5}
{'短评内容': '前台和保安挺热情', '短评打分': 5}
{'短评内容': '一颗星都不想给，简直就是垃圾，房间臭死了，感觉像是住在公共厕所，房间非常小，没有窗户不通风，垃圾垃圾非常垃圾', '短评打分': 1}
{'短评内容': '还好！就是空调声音太大的噪音了', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '客户住的，在这边住了20天了。据说还行，像连锁快捷酒店', '短评打分': 5}
{'短评内容': '服务很好，之前忘记填发票了，和客服沟通后，直接给补寄了一张。酒店是客户住的，他还满意。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '还行吧。价格没啥优势，就是在网上方便。', '短评打分': 5}
{'短评内容': '还行吧，价格和实际到店差不多。网上订方便点。', '短评打分': 5}
{'短评内容': '卫生不错性价比高', '短评打分': 5}
{'短评内容': '绝对的良心商家，退房时犹豫网络故障老板微信退还押金，犹豫我的疏忽忘了确认收款导致24小时后款项自动退回了。今天老板又主动打给我了，并提醒我确认收款，这个一定要赞一个。另外酒店周边很热闹，小吃特别多。', '短评打分': 5}
{'短评内容': '旧了点，感觉还好吧', '短评打分': 5}
{'短评内容': '很不错房间。', '短评打分': 5}
{'短评内容': '酒店位置很好服务也不错，唯一感到不满意是住了三天都没有冷气，中央空调只有吹风，让服务员来也解决不了', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还行吧！交通比较方便！去哪边都不远', '短评打分': 4}
{'短评内容': '酒店旧了点，服务8错，住了几天玩，吃饭方便。', '短评打分': 5}
{'短评内容': '经济房哦喜欢，我是冲着小卡片来的', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
