{'短评内容': '很差劲', '短评打分': 2}
{'短评内容': '卫生间条件非常不好！被子有些潮，周边环境不错，离大明湖较近，去黑虎泉走护城河边就可以，沿途的风景也不错。', '短评打分': 3}
{'短评内容': '酒店位置极佳，交通便利，吃喝玩乐一公里畅游！房间空间大，灯饰豪华，多网楼层，洗漱水大舒爽，洗化配置齐全，服务满意', '短评打分': 5}
{'短评内容': '我定的大床啊  给了俩小床', '短评打分': 4}
{'短评内容': '酒店还不错，服务挺好', '短评打分': 4}
{'短评内容': '提前预定大床房，结果到了跟我说没有大床房，换双人间，结果还从98涨价到138！没有选择余地！而且环境不好，在巷子里面，刚开始的房间灯、热水器、厕所排气扇都坏了，后来换另一间还可以', '短评打分': 3}
{'短评内容': '好诡异，电视机已经关掉机身的开关，但半夜都会自动开的，吓得要直接拔线！离大明湖，黑虎泉都很近，对住宿没啥要求的话推荐入住！对于穷游的确不错的选择', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '这个价格这个调料知足吧，还好有空调，洗手间不太干净不能洗澡，总体还行', '短评打分': 3}
{'短评内容': '交通方便，离大明湖和趵突泉都很近，价格合理，服务热情，下次去济南还住这家', '短评打分': 5}
