{'短评内容': '交通不便，很难走进去。估计三年内都不会有起色了。', '短评打分': 5}
{'短评内容': '环境不错，服务不错\n卫生条件也可以，关键是价格便宜', '短评打分': 5}
{'短评内容': '性价比很低 不值这个价钱 由于火车站在改建 地理位置偏僻 交通不方便', '短评打分': 1}
{'短评内容': '还可以，房间有点小，但是比较干净，就是位置比较偏，很多出租车都不愿意过去...', '短评打分': 5}
{'短评内容': '蛮干净的，本来最近西宁的宾馆就不好找，这样的条件还算可以了，唯一美中不足的就是太偏僻了，晚上到那儿总觉得阴森森的...', '短评打分': 5}
{'短评内容': '最近火车站正在维修，很多饭馆，商家都不营业，吃饭不方便。门口打的都打不到，出行不方便。房间灯光昏暗，没有衣架，性价比不好。', '短评打分': 1}
{'短评内容': '距离火车站很远。周边在施工。交通不方便。', '短评打分': 1}
{'短评内容': '酒店周围环境不好,正在扩建火车站,住的条件和价格还是相符的', '短评打分': 3}
{'短评内容': '房间热水要等10分钟才热，服务员比较冷淡！！！！！！！！', '短评打分': 1}
{'短评内容': '由於舊火車站擴建,位於舊火車站的車站賓館非常不方便,在西寧西火車站過去\n車站賓館很遠,出租車要收二十五元車資,需時二十分鍾有多.附近只有一線公車,\n但去不到西寧西.由於擴建另那一邊游人疏落,環境不隹商鋪不多,食肆甚少,\n最多是賣五金和性用品店.賓館退房時間在中午十二時,一點鍾退房前堂表現不滿.', '短评打分': 1}
{'短评内容': '空间大、环境好、服务好、我认为不错。希望朋友们到了西宁可以去看看。', '短评打分': 5}
{'短评内容': '环境一般，感觉跟我们学校宾馆差不多，不过价钱挺合适。', '短评打分': 3}
{'短评内容': '特价房没有窗，也没有空调，不过好像西部没有空调也不要紧。宾馆就在火车站旁边，乘坐火车非常方便，但宾馆没有停车场！', '短评打分': 5}
{'短评内容': '房间小而且比较旧，有些房间的壁纸发黄。\n就是方便，紧挨着火车站。', '短评打分': 1}
{'短评内容': '交通方便，价格稍高。\n房间小，而且有点旧哦。', '短评打分': 1}
{'短评内容': '除了吵其他还行，作为紧邻火车站的宾馆来说呵呵', '短评打分': 5}
{'短评内容': '感觉有点不行，这房间没有窗户，然后味道太重，不过性价比高。', '短评打分': 1}
{'短评内容': '房间里面的食品消费不给开发票，而且前台特别狠，赌我去投诉，气死我了', '短评打分': 1}
{'短评内容': ' 西宁火车站饭店（车站宾馆）位置不错，价格低，我们定的房间整体还是算满意的。', '短评打分': 3}
{'短评内容': ' 西宁火车站饭店（车站宾馆），该酒店主要的优点是位置好，价格便宜，但也很难预定上，呵呵。', '短评打分': 5}
{'短评内容': '位置不错，就在火车站旁边，离汽车站也很近，卫生也不错，挺干净的', '短评打分': 3}
