{'短评内容': '服务态度挺好，酒店卫生太差', '短评打分': 2}
{'短评内容': '老的宾馆了。房间很小，热水还行', '短评打分': 3}
{'短评内容': '酒店是老酒店，但什么都有。旅游旺季这个地段价格可以的。', '短评打分': 4}
{'短评内容': '老房子，没有电梯，青岛老城区可以理解，交通、逛街、吃饭、游玩还算方便', '短评打分': 4}
{'短评内容': '这是我住过最差的的店了，还两百多块钱，太不值了，空调吹半天没风，就是摆设，水壶像是好久没用了全是锈，最基本的地面都没擦干净，厕所马桶盖都没有，虽然从来不用酒店的毛巾浴巾，但也不能拿烂的像骷髅眼的来呼弄人，淋浴水小的半天挤不出来水，反正一进去就让人特别不舒服，要不是已经付钱了不能退，不然随便找个旅馆都比那强吧，像那种房子也就值100元吧', '短评打分': 3}
{'短评内容': '你的人是我最大限度的确很', '短评打分': 5}
{'短评内容': '....................', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 2}
{'短评内容': '价格便宜，位置好~但是设施陈旧，一分钱一分货把~对于服务还是很满意的，热情好客', '短评打分': 4}
{'短评内容': '方便，便宜，一个人住价位还算可以！', '短评打分': 3}
{'短评内容': '总得来说还行，环境也行，没事可以出去走走。挺好', '短评打分': 4}
{'短评内容': '好！', '短评打分': 5}
{'短评内容': '晚上到了酒店，结果酒店客满，不过老板人还可以，开车送我到另一家叫人湶酒店，凑合住一晚。', '短评打分': 3}
{'短评内容': '酒店离火车站不远，但是设施是在陈旧，晚上没有热水可以淋浴。卫生间有股难闻的味道。', '短评打分': 1}
{'短评内容': '地理位置不错，离火车站栈桥都很近，最主要离劈柴院近嘿嘿，房间还可以热水24小时的，隔音效果也不错，窗户都双层的，只是有一些点陈旧感，不过对得起这个价位咯，总体还是很满意的，下次去青岛还会考虑这个酒店。', '短评打分': 3}
{'短评内容': '距离火车道近，晚上乱。位置还不错，服务也不错，破旧感强。', '短评打分': 1}
{'短评内容': '服务还是不错的，就是设施有点陈旧。', '短评打分': 3}
{'短评内容': '地理位置很不错！离栈桥，劈柴院步行都很近，坐公交去八大关，啤酒街，天幕城就十几分钟，就连坐机场大巴也很方便，步行五分钟内有个起点站。这次我挺满意！', '短评打分': 3}
{'短评内容': '热水很好。有线电视，有网线。空调遥控器需要自己去前台要，一次性洗漱用品3块钱一套需要额外买。五一期间算性价比较高吧，毕竟旅馆规模比周围的其他小旅馆要大多了。', '短评打分': 5}
{'短评内容': '就是离车站太近不大安静！其他都还可以。', '短评打分': 3}
{'短评内容': '房间还可以，就是木有洗漱用品额。。。隔音一般，而且门口在装修，差点没找到。。。。。。', '短评打分': 5}
{'短评内容': '除了设施陈旧点，其他的没什么了，这家宾馆以前住过，很舒服，环境也安静，离车站很近，很不错', '短评打分': 5}
{'短评内容': '设施成就，紧邻主干道，隔音效果差，比较吵', '短评打分': 1}
{'短评内容': '条件一般，跟想象中很不同，有些破旧……', '短评打分': 3}
{'短评内容': '环境卫生等方面都很差！三楼还有霉味！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 1}
{'短评内容': '感谢青岛啤酒节只好住在这，啤酒节期间青岛所有酒店几乎是涨了三倍，建议啤酒节期间少出差来青岛，这里平时也就是100元的水平，啤酒节期间居然要到328元，非常物不所值。住过后再也不想来，非常差。', '短评打分': 1}
{'短评内容': '酒店太老化，设施奇差！还没电梯！后面还是铁道嗨便宜的太是有道理了！', '短评打分': 1}
{'短评内容': '很旧很差，虽说离火车站很近。但周边就是汉庭和莫泰。多花三四十块舒服些。这的真正价值恐怕100以内才会有人住。', '短评打分': 1}
{'短评内容': ' 服务 一般', '短评打分': 3}
{'短评内容': '请问二十元消费券怎么返还', '短评打分': 3}
{'短评内容': '酒店很陈旧，但价格也较便宜，适合大多数出差人员暂住', '短评打分': 1}
{'短评内容': '环境较差,定的大床房,给的三人房,把山靠铁路,卫生间返臭味霉味,提供袋泡茶过期,不建议前往!', '短评打分': 3}
{'短评内容': '在此住两晚，真的不错！离火车站、汽车站都近！以后去还会在这住！', '短评打分': 5}
{'短评内容': '服务很好， 价格低廉，地理位置优越，方便', '短评打分': 5}
{'短评内容': '酒店比较老了，没电梯，卫生间的味道也很大，总体来说，稍感失望', '短评打分': 1}
{'短评内容': '酒店设施太陈旧了，首先是没有电梯，我住的是4楼还好点，好象还有5楼6楼，得提着行李爬楼。屋内家具老旧，门锁不是磁卡式的，是一块长方型的铁片，另配一条可以蓄电的貌似塑料的条棒，可以当文物了。至于卫生，配上这么老旧的家具也看不出来有多干净。窗外是铁道，一过火车，不仅振，还发出比冲锋钻还吵的声音，卫生间的门也关不上，而且抽水马桶的声音也贼大，不次于过火车的声音。结帐还不能刷卡。优点是地理位置比较好，从火', '短评打分': 1}
{'短评内容': '位置比较好，设施一般，靠着火车道，有些吵', '短评打分': 5}
{'短评内容': '很一般吧，，一般般，，就是位置好点，里面太一般了。。', '短评打分': 1}
{'短评内容': '离车站近，方便。但卫生差，房间设施很旧。服务质量差！通知前台打扫房间，但晚上回酒店后房间仍没打扫。', '短评打分': 3}
{'短评内容': '看到网友评论好像还不错，然后对比了其他几家酒店才选择了这一家。我在网上订了3标间3晚。总价1080元。4月25一早入住酒店，进去后第一感觉上当啦！！房间超级小，根本达不到酒店描述的面积，床，洗手间可以用袖珍来形容。床连一米宽都不到，而且设备超级简陋，空调里全是灰尘。马桶冲水盖没有，要用手伸进去抬起来那个东东才能冲水。窗子锁坏掉，锁不住。洗手间门锁也是坏的！看来描述说09年装修也是假的唯一满意的是网', '短评打分': 1}
{'短评内容': '倒还干净，周边也算方便。可是周围那么多店都挺新的，一比较就显得差多了。', '短评打分': 1}
{'短评内容': '酒店挺干净，洗浴也很好，前台服务员很热情。入住很满意哦。', '短评打分': 3}
{'短评内容': '离车站较近。但环境喧闹，房间设施很旧。服务质量和服务意识差！早上通知前台打扫房间，但晚上回来后房间未打扫。', '短评打分': 3}
{'短评内容': '服务比较好，看上去还比较卫生，旅游、出差，稍住尚佳。', '短评打分': 3}
{'短评内容': '酒店服务很好，值得入住。', '短评打分': 3}
{'短评内容': '房间不错，空间很大，价格合理，地理位置也很好。就是装修太老式了。', '短评打分': 5}
{'短评内容': '  环境可以，网速太差', '短评打分': 3}
{'短评内容': '住着很舒服，地理位置优越，这已经是第二次住了，以后去青岛还会住这里', '短评打分': 5}
{'短评内容': '这个酒店外表和内置感觉很老很破，但是住进去后发现设置很齐全，酒店很安静，服务员服务很到位，价钱很便宜，地理位置很好，距离火车站、汽车站都很近，附近商店、饭店也很多，住了一次，下次还准备住那里', '短评打分': 5}
{'短评内容': '我们过去的时候酒店都注满了，好在服务员态度不错，帮我们 又安排到了他们的分店。不过分店的隔音效果不好。', '短评打分': 5}
{'短评内容': '服务态度很好，不错', '短评打分': 3}
{'短评内容': '位置不错，在火车站附近，打车或者坐公交都方便，性价比挺高的，房间卫生条件也很好，住宿环境不错', '短评打分': 5}
{'短评内容': '服务到位，服务员随叫随到，房间打扫的很干净，房间硬件齐全，住宿条件还是不错的', '短评打分': 5}
{'短评内容': '服务很好，房间卫生不错，干净整洁，地理位置不错，出行方便', '短评打分': 5}
{'短评内容': '酒店临着海边,略显会有点潮,不过住久些会自然一些,整体来讲还可以吧,不过就是卫生上有待提高.', '短评打分': 3}
{'短评内容': '地理位置蛮好，环境也还不错。总之方便，实惠', '短评打分': 5}
{'短评内容': '客房服务人员热情周到时,并且室内也可以免费上网.整体来讲还可以.', '短评打分': 5}
{'短评内容': '酒店的设施挺好的,干净卫生.住着比较舒服一些,而且位置好出行很方便.', '短评打分': 5}
