{'短评内容': '网络不咋地', '短评打分': 4}
{'短评内容': '位置很方便，值得住', '短评打分': 4}
{'短评内容': '环境优雅', '短评打分': 5}
{'短评内容': '很温馨', '短评打分': 5}
{'短评内容': '环境很好很温馨', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店还算不错吧。就是可能因为下雨屋里有很大的霉味。', '短评打分': 5}
{'短评内容': '酒店干净，环境清静，交通方便，不错的地方', '短评打分': 5}
{'短评内容': '第一次去房卡打不开门 找前台弄半天  边上ktv吵的我睡不着觉 而且房间里没有窗户 气味刺鼻 非常不满意 预定以后不退钱  不管换房 只好找个别的地', '短评打分': 1}
{'短评内容': '一般吧', '短评打分': 4}
{'短评内容': '环境不错，服务也很好。就是住的那间门锁不太好使。', '短评打分': 5}
{'短评内容': '还行凑合一般就这样吧', '短评打分': 3}
{'短评内容': '为什么三天了没返现？', '短评打分': 3}
{'短评内容': '环境不错……出去玩路过这里……房间大干净……', '短评打分': 3}
{'短评内容': '酒店环境还可以，周围用餐、购物很方便', '短评打分': 3}
{'短评内容': ' 酒店比较干净，有个后院可以免费停车。但半夜周围有唱歌的，有点吵', '短评打分': 3}
{'短评内容': '服务态度还不错，就是特价房不适合住人，里面设计太糟糕了', '短评打分': 5}
