{'descr': '比较乱太吵了 11点多还大喊大叫  前台还行  ', 'star': 1}
{'descr': '房间小，屋子潮，不干净', 'star': 3}
{'descr': '房间很臭，很难找，那个地方很多当地人都不知道，问路都很困难，最遭罪的是房间里面虫子很多，找服务员打了两次药才好一点，而且，后面就是一个菜市场很早就开始叫卖，很吵', 'star': 3}
{'descr': '酒店还是不错的, 干净卫生, 服务态度也不错, 唯一的缺点是出门交通不怎么方便, 到天安门 王府井等都没有一部直达到, 离最近的地铁站也要走很长路!', 'star': 3}
{'descr': '卫生舒适，空气流通不怎么好，其他方面都很好~~~~~~~', 'star': 5}
{'descr': '房间确实够大，但大的以至于空荡荡的。设施太简陋。床铺不够干净，皱巴巴的。', 'star': 5}
{'descr': ' 不错', 'star': 3}
{'descr': '连毛巾都没有！脏乱差！连毛巾都没有！脏乱差！连毛巾都没有！脏乱差连毛巾都没有！脏乱差！！连毛巾都没有！脏乱差！', 'star': 1}
{'descr': '酒店的环境还是很好的，干净整洁，住的大床房很舒服，看电视都好欢乐，所以总的来说还是可以推荐的。不过也有点不好的地方，一来位置比较偏，觉得汉庭的儿童公园店似乎交通比较方便；二来是订了两天，入住时前台竟然说第二天房费上调还要多加二十（还是四十来着？），这个小小郁闷，还好加的也不是很多，不过小诡异的是结账的时候还是按照网上订的价钱算的，于是我们结账后拿着退的押金就头也不回的走出门了~~~~    希望对', 'star': 5}
{'descr': '地方有点不好找，条件属于半地下室，室内空气流通不畅，空调噪音大，若不是想着去后海看夜景，不会再次选择这里。', 'star': 3}
{'descr': '酒店环境还可以 地理位置优越', 'star': 3}
{'descr': '房间没有窗户纸，卫生间太小，服务也一般！', 'star': 3}
{'descr': '房间很大，床很大，很干净，很满意。如果窗边再多把椅子和茶几就更好了。', 'star': 3}
{'descr': '房间很大，很不错，不足就是附近吃饭的太少。', 'star': 3}
{'descr': '我很客观的说，环境非常的差，服务非常的差，我们住了两天，放假的洗浴用品根本不换，而且刚去的时候，房间还没收拾，房间一点也不隔音，半夜吵死了，更有意思的是，我女友那几天例假来了，床单不小心弄脏了，还要陪钱，我不知道这是应该还是不应该的，当然，那里除了近一点，其他一点也不好！绝对属实！望各位深思！', 'star': 1}
{'descr': '很不错，符合快捷酒店的经营理念，什么都很快，房间很大', 'star': 5}
{'descr': '房间够大，很安静很不错，很好，下次还会入住，是个幽静之地', 'star': 5}
{'descr': '干净、舒适。大床真大。服务没的说。很棒。离云冈石窟很近的。下次要是有机会还住那里。', 'star': 5}
{'descr': '非常好的一家酒店，环境卫生都很好，房间超大。每个细微的设计都很实用。枕头不是软软的棉花枕，很舒服。唯一的小缺憾就是稍有味道。', 'star': 5}
{'descr': '就是不能刷卡消费', 'star': 3}
{'descr': '酒店距离长途客车站比较近，出行方便。距离市区有点远，但是很安静。', 'star': 5}
{'descr': '家庭房比较大，设备比较新，位置稍微有些偏，优惠办金卡比较好', 'star': 5}
{'descr': '宾馆太脏，根本就不值那个钱', 'star': 3}
{'descr': '周边建设已经基本完工，马路上干净整洁；酒店房间很宽敞，大床睡一家三口都很棒；房间也很干净，设施很新，是地暖，很舒适；就是住的那间喷头有点漏水，总的来说，不错', 'star': 5}
{'descr': '房间很大，比其他汉庭要好一点，但是不好的是隔音不好，晚上很吵', 'star': 5}
{'descr': '交通便利，环境还不错，如果带小孩的话要注意房间的桌子，怕碰到头。', 'star': 5}
{'descr': '地方稍稍有些偏，不太好打车。旁边有家面馆的味道不错，汆汤水饺很好吃，羊杂也不错，哦，也是旁边唯一的一家饭馆。\n房间相对其他的汉庭来说比较大，前台很NICE，大同妹子还是很甜的，卫生也有汉庭的一贯水准。', 'star': 5}
{'descr': '非常好，酒店很干净、舒适、温馨，价格也很合理。还会再来！', 'star': 5}
{'descr': '房间较小，价格便宜。', 'star': 3}
{'descr': '大致来说很好，没有什么，服务周到就是床单有几个脚印', 'star': 5}
{'descr': '180元的房间 真的是非常的大！！床也够大，房间温度刚刚好 服务也不错。', 'star': 5}
{'descr': '地理位置还不错，我们定的是标准双人间，有点小，卫生再好点就好了。在市中这个价格还好。', 'star': 5}
{'descr': '被子很黄，毯子很薄，隔音不好，厕所味道很多，很不喜欢', 'star': 1}
{'descr': '性价比还行，房间比较暖和，态度也还行。', 'star': 3}
{'descr': '前台服务态度太差,提前打了电话,到了说没房,房间卫生实在是每法说,满床的毛.除了旅馆的位置好,别的提不上', 'star': 1}
{'descr': '从价格和位置上来讲，已经很不错了。离地铁站非常近，感觉很方便。', 'star': 5}
{'descr': '房间很小，走道上消毒水味道浓，被子好像不干净一样，颜色有点不正的样子，但是对于这个价格来说不错的了，服务员态度挺好的，挺和气的', 'star': 5}
