{'descr': '很好,住的好,服务好', 'star': 3}
{'descr': '老板很不错，环境也好', 'star': 3}
{'descr': '酒店老板娘比较热情，位置在双桥附近。不过房间的门锁没有插销，不能从内保险。', 'star': 1}
{'descr': '老板很热情，条件一般!', 'star': 3}
{'descr': '刚到周庄打电话，专门出来接我们，把车停在景区门口（离住的地方很近，就是隔了一个检票口）。房间不多，但很干净，二楼水的压力不太好，但是能用。2楼的阳台是很小资的调调啦。我们去的日期依然是国庆结束了，错过了疯狂的人群，在二楼阳台上看河边小景，三三两两的人群，很爽哎。另外，老板一家人很热情，问路感觉都恨不得把你带过去才好。', 'star': 5}
{'descr': '刚到周庄打电话，专门出来接我们，把车停在景区门口（离住的地方很近，就是隔了一个检票口）。房间不多，但很干净，二楼水的压力不太好，但是能用。2楼的阳台是很小资的调调啦。我们去的日期依然是国庆结束了，错过了疯狂的人群，在二楼阳台上看河边小景，三三两两的人群，很爽哎。', 'star': 5}
{'descr': '虽然事先知道是私人旅社，但还是很失望，房屋盖的一点没有水乡的特色，就是一个普通农户的二层楼。设施也很旧，卫生间的门都发霉了。位置离景区出口很近，其实根本没有必要花400元住在景区里面。房间也很潮，我们一家三口只给了两床被子，再要也不给，晚上已经感觉到冷了，索要发票时候老板娘一脸不愿意。建议想住在景区的朋友，选择那种古式风格的建筑，临水，雕花折叠的窗，客栈，周庄里面有许多这样的住宿，很让人羡慕。', 'star': 1}
{'descr': '老板娘服务态度很不错！周庄是个好地方！！！！！', 'star': 5}
{'descr': '不错，很热情，很干净。我订的是家庭房，床垫很舒服。', 'star': 5}
{'descr': '条件一般，但老板很是热情周到，离双桥大概80米。', 'star': 5}
{'descr': '老板娘很关心人。服务很不错。卫生条件一般', 'star': 5}
{'descr': '提前三天订的家庭旅馆，老板很热情，会发信息询问你到哪里了派车去长途站接，但是要自己付车费的，到景点10元钱，拉到侧门老板的家里人会接你到旅馆。房间给人的感觉还是很干净的，有独立卫生间能洗澡，对于价格来说还是比较合适的。旅馆内不能吃饭，要到外面去吃，老板会介绍你去他家亲戚那里去吃，我总结最好不去，因为感觉比较贵，自己找地方吃还可以砍价，会便宜一些。走的时候如果要在镇上吃饭一般都会坐14点20那班长途', 'star': 5}
{'descr': '老板人非常的好，环境也不错，在景区里面，离双桥非常近，住的很舒适、很安静，以后来还会住。', 'star': 5}
{'descr': '作为家庭旅馆来说已经是很不错的了。环境干净整洁，出门就是景点，老板家人都很热情，一切都很舒心！有机会再来玩还住这里。', 'star': 5}
{'descr': '一家比较干净卫生的家庭旅店，很安静，还不错。', 'star': 5}
{'descr': '客栈有个大阳台，坐在阳台椅子上，泡一杯茶水，很惬意。\n来周庄，必须住一晚，看看夜景，才有感觉，只是跟团来转一圈，就没什么意思了。', 'star': 5}
{'descr': '位置便利，干净整洁，老板很热情，不错，值得推荐!', 'star': 5}
{'descr': '典型的家庭旅社，总的来说一般般，但是也算对得起这个价格了，老板倒是真的很热心。', 'star': 5}
{'descr': ' 还不错，算干净老板娘也不错，离双桥几步路，就是古镇晚上没人影有点吓人，哈哈，总之还算值得', 'star': 3}
{'descr': '还可以 ', 'star': 3}
{'descr': '位置还不错，是一间地道的家庭旅馆，老板服务很热情，提前联系老板会去车站接你哦！', 'star': 5}
{'descr': '客栈地理位置非常好，老板也很热情！就是把旧空调换成新的就更棒了。', 'star': 5}
{'descr': '服务不错，卫生良好，很好，以后还有机会再住,', 'star': 5}
{'descr': '客栈就在周庄景区内，离双桥近，位置很好。', 'star': 5}
{'descr': '挺好的。家庭式旅馆。离景区很近。很干净。比较有感觉', 'star': 3}
{'descr': '很干净。在河边上。老板人也很热情周到。晚上酒店能带你进园区。但是沈宅什么的进不去。老板说跟别人团能混进去不过不大行呵呵。可以从老板那里买票。也可以在携程定9折左右的票。观光点的饭比较贵。一个万三蹄要68。旁边路上店里的才卖45。其他也贵的离谱。建议大家不要从主干道吃饭。可以从旁边小店吃完再去转', 'star': 5}
{'descr': '酒店设施与价格不成正比，建议到周庄后自找酒店，可住位置最佳的酒店，价格相当，也很方便。', 'star': 3}
{'descr': '酒店收费与设施不成正比，建议到周庄后自找酒店，方便且选择更多', 'star': 1}
{'descr': '环境不错，住宿条件在当地也算不错的咯，爸妈住的还比较舒服，小镇的早晨非常静谧宜人', 'star': 5}
{'descr': '就在周庄里面，晚点去不用买门票。离双桥很近，是一般二层民居改建的。不在游览线路上，比较安静。人很亲切，适合对住宿要求不那么高，追求便宜实惠的人。', 'star': 5}
{'descr': '房屋干净整洁，地理位置也很好，还不错！                             ', 'star': 5}
{'descr': '店主人很好的。。。地方也很好。。。反正就是很好。。。', 'star': 5}
{'descr': '在景区内的家庭式旅社，就在双桥下面20米左右，非常方便。服务也很热情：）比较满意', 'star': 5}
{'descr': '房价地理位置很不错，相对于周庄这个地方，房间的卫生和设施已经很好了，老板也非常热情', 'star': 5}
{'descr': '地点很不错，就在双桥的边上，晚上也安静。就是家庭式客栈的设置一般，但还比较干净，老板人很不错。', 'star': 5}
{'descr': '位置非常好,休息时很安静.\r\n在2楼阳台晚上乘凉,边无线上网,边喝冰镇啤酒,一个字:爽!\r\n他家的停车场是他家的车库,在庄外,很近也很安全.', 'star': 5}
{'descr': '老板娘人非常好啊&#183;&#183;&#183;房间也很干净&#183;&#183;&#183;&#183;&#183;最主要是在景区里面&#183;&#183;&#183;很方便&#183;&#183;&#183;很喜欢&#183;&#183;&#183;&#183;', 'star': 5}
{'descr': ' 挺干净的，老板人挺好的。', 'star': 5}
{'descr': '一家家庭旅馆，经济实惠。在周庄景区里面，如果没有店主到景区门口接，是难以找到的。服务比较好。', 'star': 5}
{'descr': '店主很热情，我们住的2楼，老板帮我们抬的行李。走时送我们到门口，帮我们叫的面包车。下次还会入住。ps：宾馆地点离双桥很近。', 'star': 5}
{'descr': '设施太简陋。就是农家房而已，按此设施，房价相当贵', 'star': 1}
{'descr': '地理位置不错，值得推荐。希望大家有机会去看看', 'star': 5}
{'descr': '店家人很好，很热情，招呼也很周到。\r\n下次来周庄，一定再来这家！', 'star': 5}
{'descr': '由于是晚上进入的周庄，找了一会才找到。', 'star': 5}
{'descr': '去了周庄最好能在周庄住一晚，饭后在水乡散散步，不用着急赶行程，妙不可言。金钩旅社是我们在网上查了好久才找到的，实际到达和我们的想象相差不多，服务很周道暖人。', 'star': 5}
{'descr': '房间挺大的，住的还蛮舒服的', 'star': 3}
{'descr': '很温馨的家庭旅馆，在旅游区里面，去玩什么的都很方便', 'star': 5}
{'descr': '客栈很好！很干净！老板人也很不错！值得推荐！！！', 'star': 5}
{'descr': '不错，值得推荐～', 'star': 3}
{'descr': '不错，值得推荐。', 'star': 5}
{'descr': '毕竟是客栈，环境肯定不能跟酒店比，但是在景区里，很方便，也很安静', 'star': 3}
{'descr': '老板娘很热情，客栈环境还不错……', 'star': 5}
{'descr': '位于景区内，但不在景区主干道上，距离双桥只有不到1分钟的路程，但非常安静，可以很亲切的感受水乡的感觉。老板一家很热情，住在这里有点家的感觉。毕竟属于家庭旅馆，跟星级酒店，哪怕是连锁酒店相比在设施上有很大的差别，这也是可以理解的。', 'star': 5}
