{'短评内容': '酒店超级棒，免费升级行政房', '短评打分': 5}
{'短评内容': '超级棒酒店', '短评打分': 5}
{'短评内容': '酒店超级棒', '短评打分': 5}
{'短评内容': '上海性价比最高酒店', '短评打分': 5}
{'短评内容': '环境不错，交通便利', '短评打分': 5}
{'短评内容': '服务周到，确认快，非常便捷，京东值得信赖', '短评打分': 5}
{'短评内容': '好酒店，离火车站很方便', '短评打分': 5}
{'短评内容': '帮老板定的，应该可以吧', '短评打分': 5}
{'短评内容': '未入住浪费了', '短评打分': 5}
{'短评内容': '不错、性价比很高.距离上海站就个一个马路.', '短评打分': 5}
{'短评内容': '很好很方便', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '酒店很好，里上海站很近，离地铁站出来步行5分钟就到了，很方便。酒店的服务也很好，房间空调出现问题，打电话很快就有师傅过来维修并解决问题~', '短评打分': 5}
{'短评内容': '很高大上挺好的…住的挺舒服环境也不错…房间宽敞…干净卫生装潢设计也好…感觉以后还会再来的…推荐给大家', '短评打分': 5}
{'短评内容': '很高大上挺好的…住的挺舒服环境也不错…房间宽敞…干净卫生装潢设计也好…感觉以后还会再来的…推荐给大家', '短评打分': 5}
{'短评内容': '酒店非常高档大气，装修豪华，服务周到。内部设施也很齐全，应有尽有，是商务出差的最佳去处，再来出差还来这里，非常满意。', '短评打分': 5}
{'短评内容': '出差住宿。', '短评打分': 5}
{'短评内容': '房间宽敞干净、卫生间设备高档。', '短评打分': 5}
{'短评内容': '还是蛮不错的', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '非常满意，前台很快！服务态度也好！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '环境好，服务好，对的起这个品牌', '短评打分': 5}
{'短评内容': ' 周末帮父母订的，顺便让他们带宝宝玩。设施很不错，但是服务和流程不怎么样，和洲际的品牌有一定差距，预定部房间和早餐都弄错，好在', '短评打分': 3}
{'短评内容': ' 酒店离火车站很近；但周边缺少配套；但总体还不错。', '短评打分': 3}
{'短评内容': '很好，很大气，值得推荐。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '很豪华,很高级,五月份的价格比三月份的高了很多,除了价格高之外,其它都很好.', '短评打分': 5}
{'短评内容': '非常好，装修色调有点重，免费游泳，房间很不错', '短评打分': 5}
{'短评内容': ' 还行 就是受伤了', '短评打分': 3}
{'短评内容': '很标准的五星级酒店。价格比较合适，环境很好，位置很好。', '短评打分': 5}
{'短评内容': '这是在上海入住的第二家洲际酒店了，在闸北区算是鹤立鸡群的高楼了，地址位置正好在火车站对面，恒丰路十字路这里。离虹桥机场不是很远，出租车大概只需要30分钟，而上海浦东国际机场则要一个小时。大堂非常漂亮，一进房间，电视屏幕上就会显示出欢迎XXX先生或女士入住的词，房间设计非常适合居住，设施设备很齐全，硬件条件确实很硬，洗手间，洗漱间，浴缸，衣帽间都单独分开，房间有一长排沙发，坐在房间能看到对面的上海火', '短评打分': 5}
{'短评内容': '春节特价是不错的，硬件设施很好，酒店的自助餐性价比挺高的。下次还会再住。', '短评打分': 5}
{'短评内容': '一个字，爽！两个字，豪华！三个字，态度好！四个字，员工俊俏！', '短评打分': 5}
{'短评内容': '酒店的装潢还是很豪华,就是价格还是贵了点,其他还是不错的.', '短评打分': 5}
{'短评内容': '设施很好，大堂气派，早餐不错，睡得很舒服，以洲际来说不贵了', '短评打分': 5}
{'短评内容': '值得推荐~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '值得推荐~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '值得推荐。。。。。。。。。。。。。。。。。。。。。。，。，，，，，，，，，', '短评打分': 5}
{'短评内容': '值得推荐。。。。。。。。。。。。。。。。。。。。。。^_^^_^。', '短评打分': 5}
{'短评内容': '值得推荐~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '值得推荐。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '值得推荐···························', '短评打分': 5}
{'短评内容': '值得推荐。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '值得推荐~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '酒店比较Nice 是值得推荐的酒店·······································', '短评打分': 5}
{'短评内容': '推荐推荐~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '很好的一家5星级酒店，酒店很气派，早餐很棒，但是员工服务态度很差，晚上电视机有些频道不是很清楚，叫了半天才有人来修。', '短评打分': 5}
{'短评内容': '顶顶~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '酒店NICE~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '酒店NICE\n1`````````````````````````````', '短评打分': 5}
{'短评内容': '酒店nice@@@@@@@@@@@@@@@@@@@@@@@@@@', '短评打分': 5}
{'短评内容': '酒店还可以~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '酒店还行~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '整个酒店商务气氛浓，却半夜搞个驻唱。吵的连话都听不清', '短评打分': 5}
{'短评内容': '酒店很nice```````````````````````````````', '短评打分': 5}
{'短评内容': '酒店很漂亮~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '酒店员工挺nice 装修不错，前台员工很不错·············', '短评打分': 5}
