{'短评内容': '房间挺大的，对得起这个价格了', '短评打分': 4}
{'短评内容': '位置好，有停车场。', '短评打分': 5}
{'短评内容': '交通方便，公交地铁都很近，周边饭馆较多，位置不错，有免费停车场。', '短评打分': 4}
{'短评内容': '要个发票说是网上自己弄，结果还得邮寄过来，有些不美', '短评打分': 5}
{'短评内容': '可以停车，位于市中心，方便地铁', '短评打分': 5}
{'短评内容': '非常非常好，性价比超高的', '短评打分': 5}
{'短评内容': '虽说是老饭店，但房内很干净，服务一流。但我订的是77平大房，但入住时没有这麽大，比一般的标间稍大，不知为何。总体感觉不错。', '短评打分': 5}
{'短评内容': '房间设施比较老，屋子空间大小还行！', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '环境非常好!', '短评打分': 1}
{'短评内容': '服务员热情，酒店房间干净，宽敞，配套齐全，洗浴中心舒适。综合尚可！', '短评打分': 4}
{'短评内容': '交通便利，离火车站距离近，酒店服务好，卫生。', '短评打分': 4}
{'短评内容': '每次都住这里，非常好', '短评打分': 5}
{'短评内容': '每次都住这里，方便实惠', '短评打分': 5}
{'短评内容': '酒店太老了，配套设施也就够个三星，房间照明不够亮，卫生间水不烫，没有免费饮用水。不过周边倒是很方便，挨着地铁，回民街很近，离钟鼓楼也不太远，也就冲着地理位置。', '短评打分': 4}
{'短评内容': '有没有比一星更少的星', '短评打分': 1}
{'短评内容': '房间中等', '短评打分': 4}
{'短评内容': '一般吧', '短评打分': 3}
{'短评内容': '比较老得酒店了，不过地理位置非常不错', '短评打分': 5}
{'短评内容': '酒店位置很好，房间很大，设施有点陈旧，四星级但是不能换钱，有些不方便。', '短评打分': 3}
{'短评内容': '还不错，房间比较大，交通方便，环境也不错，值得推荐，', '短评打分': 5}
{'短评内容': '我去西安只有4天，最大的感受是，西安的服务行业整体感觉不热情，服务员都是板着脸的，很少有笑容。这家酒店不知道凭什么能称得上四星。号称28平米的房间，给我们了一间不足20平的，没有充电的地方，特别郁闷。', '短评打分': 5}
{'短评内容': '环境尚好。房间隔音效果不佳，隔壁酒醉呕吐的声音在晚间格外明显。', '短评打分': 5}
{'短评内容': '酒店不错，下楼就是小吃街。交通非常方便，感觉很不错', '短评打分': 5}
{'短评内容': '临街侧有点儿吵，如果房价低一些，如300左右，性价比会好点。', '短评打分': 1}
{'短评内容': '早餐一般，专修比较老了，应该是一个老四星，测试的设施看着都好几年没翻新了', '短评打分': 1}
{'短评内容': '很温馨的酒店，交通方便，性价比比较高！', '短评打分': 3}
{'短评内容': '房间太冷，没睡好。', '短评打分': 3}
{'短评内容': '这里服务超差，不知道谁给发的4星，大家知道挂牌4星以上酒店都可以兑换外币包括美元、日元、欧元的，这家酒店前台明明放着可以兑换外币的牌子，后面墙上明明挂着外汇牌价的电子板上面有显示日元牌价，但两位长得（很美）的小姐就说不可以，这不就是睁眼说瞎话么，笑话啊。不能兑换别挂牌子别显牌价啊，还是旅游城市挂牌四星，看样发牌的人应该是盲人。\n前台的信息说，商务中心在装修还是没人承包？订机票可以在前台，我们问了几', '短评打分': 1}
{'短评内容': '位置靠着路边，交通比较方便。离回民街也不是太远，吃东西比较方便。', '短评打分': 5}
{'短评内容': '房间比较大，还可以。就是洗漱用品看上去很旧的感觉。房间配套老旧。早餐不行。\n房间比较大，还可以。就是洗漱用品看上去很旧的感觉。房间配套老旧。早餐不行。', '短评打分': 5}
{'短评内容': '这个酒店怎么能评为4星，奇怪了 。酒店设施太旧。', '短评打分': 1}
{'短评内容': '环境和服务还可以,但可能因为位置不紧近景点,入住率略显不足', '短评打分': 5}
{'短评内容': '还可以，交通很方便，离火车站很近。坐103路就到。', '短评打分': 5}
{'短评内容': '设备齐全，房间较大，很舒服。房费是标准间的，但看起来较大的房间。很满意。', '短评打分': 5}
{'短评内容': '设备齐全，环境很好，就是前台的服务很差。只有一个人负担财务。退房的时候，我们一共十个人结账需要一个小时和二十分钟了。还有信用卡的机器坏了，付不了房费。因此终于得付现金，还没取消用信用卡的押金。一定要取消我们用信用卡付的16000元的押金！！！！！', '短评打分': 5}
{'短评内容': '虽然是挂了四星的标牌，但酒店实在是有点太旧了。部分前台人员的态度不好，很冷淡（没笑过)。酒店地理位置不错，去鼓楼钟楼都可以步行，慢慢逛大概要30分钟。才发现西安是打车那么难，真的让人崩溃。而且去机场一律不打表。', '短评打分': 5}
{'短评内容': '好世界大酒店地理位置尚可，房间也大。早餐略差，与四星酒店名不副实。', '短评打分': 5}
{'短评内容': ' 不错，很方便，在酒店周边吃遍了我喜欢的美食', '短评打分': 3}
