{'descr': '经常来住，服务不错', 'star': 4}
{'descr': '没早餐，旁边有个大停车场。还算方便', 'star': 4}
{'descr': '位置一般般，去人气景点都要半小时以上，还有靠近机场，飞机起飞有点吵。。。', 'star': 4}
{'descr': '服务很好', 'star': 4}
{'descr': '好久可以，价钱也不错。', 'star': 5}
{'descr': '挺好的', 'star': 5}
{'descr': '价位差不多，房间还可以，环境不错，', 'star': 5}
{'descr': '不推荐，没什么说的，价格低能好哪去', 'star': 3}
{'descr': '环境一般...只是说睡觉而已', 'star': 4}
{'descr': '还可以，还算不错。', 'star': 4}
{'descr': '下次不会选择这酒店了，建议携程考虑脱离合作关系，不然会咋了你这块牌子。1前台服务员板着脸，一点不热情，貌似求于你办入住手续一样，这样下去你店子人会很好么？2里面空气不好，一进去味道好重的霉气，估计是很久没住了3设施也很差，床实在还有点大，房间也有点大，电视就那么袖珍啊，下次入住客户建议带副望远镜吧。酒店老板，请三思！', 'star': 2}
{'descr': '房间里面有一股怪味，厕所里传出来的', 'star': 3}
{'descr': '差，环境差，房间有味道，也很吵。', 'star': 3}
{'descr': '服务态度超赞，下次还会来', 'star': 3}
{'descr': '开始有点担心，后来住进去之后感觉蛮实惠的，条件不错', 'star': 5}
{'descr': '就只是被子质量好点了，马桶水都冲不下去，淋浴的喷头也是坏的，真心伤不起啊，第二天早上通知的是8点到晚上4点停电，叫我们付了一天房钱的情以何堪，早上七点三十几直接就停电了，我晕，还是爬的楼梯~你说要是停电也是可以的啊，那你们最起码，得打个折啊什么的吧~~~~总之无语中', 'star': 1}
{'descr': '很干净，很好。很满意以后会常去。隔音效果很好', 'star': 5}
{'descr': '房间小了点，但环境非常不错淋浴和卫生都很好，地理位置很理想', 'star': 5}
