{'短评内容': '还不错，就是早餐差一点', '短评打分': 4}
{'短评内容': '棒极了', '短评打分': 5}
{'短评内容': '还可以，性价比高', '短评打分': 4}
{'短评内容': '太恶心了，这家酒店！我在网上订的，晚上到店后，得知不能住订的酒店，需要加钱住标间，原因是打扫卫生的阿姨累了，不想打扫卫生了，真是好笑！！太差！太差！不会再入住这家酒店了！！', '短评打分': 1}
{'短评内容': '房间很好，很温馨，卫生也很干净，前台接待也很好，大家放心来住吧，周围很多是吃，离车站也近，还有水果批发市场', '短评打分': 5}
{'短评内容': '不推荐这个酒店，半夜三点多房门被人刷进来，楼上就是麻将房，吵的不行。住这种酒店真是白瞎了', '短评打分': 1}
{'短评内容': '酒店离西客运站挺近的，步行几分钟路程，门口一条街是批发水果的，苹果很好吃！房间不大，卫生间比较小，国庆期间标间二百五拾多，图个方便而已', '短评打分': 4}
{'短评内容': '被骗了，携程上订的最便宜的经济间都200多，结果后面在前台听到有人订的商务套间都才一百多，房间还没有无线，打电话一问，说整个房间只有我们房间没有，让我们蹭别的房间的无线，别的房间人都早出晚归的，蹭网根本没戏，只能自己买流量包了…', '短评打分': 3}
{'短评内容': '周边吃的很多，停车场大，非常方便。', '短评打分': 5}
{'短评内容': '干净卫生，停车方便，周围餐馆多。', '短评打分': 5}
{'短评内容': '挺好的，环境不错，边上就是水果批发市场，回来的时候带水果很方便', '短评打分': 3}
{'短评内容': '干净卫生，工作人员态度好，地理位置不错，对面就是一个水果批发市场便于购买当地特色水果，停车也方便！', '短评打分': 5}
{'短评内容': '老板态度好，酒店最大的优点是停车方便，同时可以洗车。但是房间设施一般，性价比不高', '短评打分': 3}
