{'短评内容': '有停车位', '短评打分': 4}
{'短评内容': '停车有人砸车', '短评打分': 5}
{'短评内容': '用脏乱差来形容一点不为过，床单被罩上发现许多卷曲的毛毛，被罩边缘还有些发黑好像是盖时间长了出的油，卫生间没有洗手盆，总之没见过这么差的', '短评打分': 1}
{'短评内容': '人品有问题 无良商家 放了一个皮箱在哪里 第二天早上去拿的 居然要收20块钱 卧槽 太无语了 太坑了 大坑 你们要小心咯 房间卫生脏乱差 没法说 店主态度还不好 蛮狠', '短评打分': 1}
{'短评内容': '什么宾馆啊', '短评打分': 1}
{'短评内容': '唉 凑合吧 连个洗脸池字都没有', '短评打分': 3}
{'短评内容': '太差劲了别去', '短评打分': 1}
{'短评内容': '总体来说还行  ，。', '短评打分': 5}
{'短评内容': '服务态度差，房间条件差。打扫质量', '短评打分': 1}
{'短评内容': '老板娘态度不好', '短评打分': 3}
{'短评内容': '很好很不错 而且还很便宜', '短评打分': 3}
{'短评内容': '挺好的，经济实惠，服务也不错.', '短评打分': 3}
{'短评内容': '经济经济经济经济经济', '短评打分': 3}
{'短评内容': '环境还可以，经济型的', '短评打分': 3}
{'短评内容': '酒店位置还算方便 房间好多瓷砖掉了 因为一些问题咨询老板娘不耐烦的不爱回答 还说事多就给你取消酒店房间 要不是孩子我第二天5点在附近酒店拍戏 打死不住 服务差 退房老板还挺好的 要是为了方便推荐 要是服务不推荐', '短评打分': 3}
{'短评内容': '酒店方面确实比较不错，我觉得还是可以的', '短评打分': 4}
{'短评内容': '基本条件不错性价比还是比较合适的', '短评打分': 4}
{'短评内容': '周围吃饭的地儿特别多，还有大京客隆。很方便', '短评打分': 5}
