{'短评内容': '太久了 很多东西都不能用', '短评打分': 2}
{'短评内容': '还可以，起初给找的房间不是很满意，打了电话给换了个房间。住的还算舒服，唯一的不足就是房间里没有吹风机。希望能在房间里安放吹风机。', '短评打分': 5}
{'短评内容': '第一次商务，希望酒店服务更多到位，能应客户所应，及客户所需，一切改的更好，商品也更多，让什么都最好哦', '短评打分': 5}
{'短评内容': '太差太差，卫生太差，前台服务太差！', '短评打分': 2}
{'短评内容': '真的太差了 恶心死了这酒店 说只剩下没空调的房间了。还没有一次性拖鞋 床上全是头发 马桶也没有水再也不来了', '短评打分': 1}
{'短评内容': '酒店名字够大气，酒店外观与图片也一致。位置处于济宁东北角，还是比较偏的。在偏僻地方能有酒店不错，所以给了四颗星。所谓豪华标间设施很陈旧，空调开到31度，屋子里面还是感觉不到暖，电视信号差，满屏幕雪花，两颗星。服务就前台两个大姐，速度挺快，没有等太久，给三颗星。卫生……太差，马桶的流水锈迹太恶心，纯净水出水，一打开居然是黄色的水，放了一分钟水才转好，洗漱台还漏水……两颗星都多了。真心不知道豪华标间是', '短评打分': 3}
{'短评内容': '差劲，再也不会来这家。外表乍一看很高档豪华，独立的一栋大楼。但是，我订的大床，最终住的只有双床，曾找前台换房，但前台只给退不给换。wifi连上没法上网，热水也没放出来没能洗澡。水壶看起来很脏，底部有不明污垢，且盖子坏了。卫生间里各种锈迹斑斑。没有一次性拖鞋。', '短评打分': 2}
{'短评内容': '说好的大床怎么变成了两个单人床？空调也是坏的，不过后来一天了，开水煲根本没法用，都是油污！连口热水都喝不上。', '短评打分': 3}
{'短评内容': '住的挺好', '短评打分': 4}
{'短评内容': '房间的空调不管用，不出热风，热水要放很久才有，而且水流很小，维修人员修了很久也没弄好，而且水龙头都生锈了', '短评打分': 3}
{'短评内容': '电话打不通，电视不能放，卫生间没热水，网上订的特价房太差了', '短评打分': 3}
{'短评内容': '服务不错', '短评打分': 4}
{'短评内容': '酒店不错，房间很大很安静，就是周边比较篇，出行、吃饭什么的不方便', '短评打分': 5}
{'短评内容': '房间是不错，就是因为比较偏周边没有吃饭的地方，酒店里有餐厅，要用餐结果有一天居然说没有买菜，营业着一个空壳子。。', '短评打分': 5}
{'短评内容': '房间很不错，安静，就是比较偏周边基本没有吃饭的地方', '短评打分': 5}
