{'短评内容': ' 酒店内部设施不是很好，环境也差，总之不满意', '短评打分': 3}
{'短评内容': '态度不错，性价比较高，如果能够长期团购价格更加诱人。', '短评打分': 5}
{'短评内容': '不错，服务员态度很好.价格也不错.不过有点难找.', '短评打分': 5}
{'短评内容': '酒店挺干净的，住着蛮舒服的，服务态度也不错，总的感觉还可以的，', '短评打分': 5}
{'短评内容': '我订的是有窗户的房间，但是房间窗户不能打开，房间非常闷。向前台要求换房子，但是她们说所有房间的窗户都不能打开。 所以过了非常闷，浑浊空气的一个晚上。', '短评打分': 1}
{'短评内容': '地理位置一般 公交车出行还算方便 挨着南浦大桥 房间基本整洁 洗澡不错有淋浴房 吃宵夜和早餐比较方便 小区外就有 不贵 环境安静 也不错 缺点是比较陈旧的房间空调电视比较旧 电视信号不好 宽带慢 但问题不大 前台服务的弟弟妹妹态度很好 帮我叫出租很有耐心 谢谢她们 总体感觉就是距离市中心远了一点 但清静 服务人员让人舒心 有宾至如归的感觉', '短评打分': 5}
{'短评内容': '好的，卫生过不错，房间也大，就是交通不方便。', '短评打分': 5}
{'短评内容': '一般电视不是数字', '短评打分': 3}
{'短评内容': '酒店的设施太差了，勉强熬了一晚。以后不会再去了。', '短评打分': 1}
{'短评内容': '一般，世博会期间很贵，应该不会推荐给朋友', '短评打分': 1}
{'短评内容': '很差 在楼群中 打车不方便 不适合商务出差 象改造过的招待所', '短评打分': 1}
{'短评内容': '小区内，可以看见周边学校操场，安静；\n价格不够平易近人。', '短评打分': 1}
{'短评内容': '小区不好找，房间还算安静，就是后来退房不给寄存行李，害的我们拖着大堆行李去到世博园门口寄存。', '短评打分': 5}
{'短评内容': '宽敞些，就是在小区内，需要仔细找才可以。', '短评打分': 3}
{'短评内容': '位置较纵深，在居民小区内，不太好找．房间不算小，但地毯太脏，宾馆的餐厅厨艺还行，能做出较地道的上海本帮菜．但早餐太简单了．这家酒店的性价比不理想．\u3000', '短评打分': 1}
{'短评内容': '在小区内部，不太好找，不过离世博园相对近些。\r\n周围的银行等百姓设施还好。', '短评打分': 5}
{'短评内容': '该酒店服务好，住着舒服，离世博会很近，步行15分钟就到世博会4号口。', '短评打分': 3}
{'短评内容': '酒店位于小区旁边，环境还不错，后面是个学校。', '短评打分': 5}
{'短评内容': '宾馆所处的地理位置较好，出入方便，很安静，但硬件设施较旧。', '短评打分': 5}
{'短评内容': '服务很满意', '短评打分': 5}
{'短评内容': '房间霉味重，潮湿', '短评打分': 5}
{'短评内容': '最大的优势就是离世博园近，晚上回宾馆很方便。如果目的是为了游世博，还是可以选择的。', '短评打分': 5}
{'短评内容': '该酒店就象个招待所，设施破旧（电视根本没法看，全是重影，空调声音大得就象拖拉机，电灯有几个都不亮），前台服务态度还好，客房服务态度极差，退房后行李是不给寄存的。也就是世博会成全了这家店，要不这种质量早该歇业了。', '短评打分': 1}
{'短评内容': '酒店环境我是不太满意，住的很不舒适，当时就想走，因为是信用卡担保，无法退款了，后来经协商，收了我两小时房费。下次这样的酒店就不要推荐了。', '短评打分': 1}
{'短评内容': '从来没有住过如此差的村级招待所，居然进入所谓的三星酒店的200米没有路灯，在一个破旧的小区内，居然房间还有防盗网，房间是一股霉味，太脏了，真比山村招待所还破。', '短评打分': 1}
{'短评内容': '世博价格，临沂1村小区内，设施不错，价位略高', '短评打分': 5}
{'短评内容': '不知道是不是因为世博会的原因，好房子订不到。订了这家酒店，说是三星的，要四百块，其实入住后环境很差，实在不敢恭维。', '短评打分': 5}
{'短评内容': ' 好', '短评打分': 5}
{'短评内容': '酒店太旧了，价格还这么贵，不过离世博园比较近便！', '短评打分': 1}
{'短评内容': '看世博位置还是很好的,打的起步价12元，服务态度也蛮好。', '短评打分': 5}
{'短评内容': '房间异味 床单不干净 交通极为不方便 在小区里 设施陈旧 电梯不工作 自己拿行李', '短评打分': 1}
{'短评内容': '世博会期间其性价比还是不错的。', '短评打分': 1}
{'短评内容': '地理位置超好，看世博方便', '短评打分': 1}
{'短评内容': '性价比不高，在小区里面，地理位置太差。', '短评打分': 1}
{'短评内容': '这种酒店，这个价格，都是世博惹得祸', '短评打分': 1}
{'短评内容': '设施很陈旧，酒店很简陋，不会再住了。', '短评打分': 1}
{'短评内容': '设施太老了而且房间也比较小，位置还可以但是酒店环境是挺一般的，服务态度都还不错了。', '短评打分': 1}
