{'短评内容': '非常好的沙滩，非常好的房间，非常舒适，物超所值，666666666666666666666666666', '短评打分': 5}
{'短评内容': '还行吧', '短评打分': 3}
{'短评内容': '位置不错，停车方便，适合孩子玩', '短评打分': 5}
{'短评内容': '整体上还不错', '短评打分': 5}
{'短评内容': '没有定带早餐的，停车便利', '短评打分': 5}
{'短评内容': '订错了，然后去看了一下房，感觉一般', '短评打分': 5}
{'短评内容': '酒店就在沙滩边上，除了沙子粗点，别的都还好', '短评打分': 4}
{'短评内容': '很不错性价比高', '短评打分': 5}
{'短评内容': '酒店就在沙滩边上', '短评打分': 4}
{'短评内容': '可能假日服务明显不够水准', '短评打分': 4}
{'短评内容': '沙滩可以，伙食差', '短评打分': 2}
{'短评内容': '酒店不错，环境很好。住的也不错。就是旁边有条水沟不知是否排出来的是污水。改进一下就好了。由于是内海湾，没有太大的浪，不太好玩。游泳时间到晚上7点30分，有点太早了。不太尽兴。', '短评打分': 5}
{'短评内容': '酒店如图片一致，服务也很不错，总的来说还算比较满意。', '短评打分': 3}
{'短评内容': '房间的装修还不错，很新很干净，海景房正对着沙滩大海，但酒店的沙滩有点小，美中不足', '短评打分': 5}
{'短评内容': '订的园景房，到酒店后等了一个多小时才腾出空房间，呵呵，不过房间挺大，比较新，也干净，里面真是空旷哈，两张单人床和书桌电视柜这些东西除外，其他地方空出来很大一片，绝对足够在里面摆个乒乓球桌开赛了··酒店里就只有个好像是私人承包的餐厅，东西很一般，为了填饱肚子，没办法，外面附近只有两三家吃海鲜的大排档，比较简陋的那种，且不论东西怎么样，首先消费不透明，我们就没去那吃。酒店里只有个自家人工运来的沙子堆成', '短评打分': 5}
{'短评内容': '总体还行，服务不好但相对当地的水平也可以接受', '短评打分': 5}
{'短评内容': '酒店不错很干净，只是不能刷国际卡，而且工作人员素质差', '短评打分': 5}
{'短评内容': '房间太小，隔音一般，晚上有点吵，而且床也太小了，不值~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 1}
{'短评内容': '海景房间干净，露台直面大海。不过服务态度一般。酒店有私人沙滩。总体来说还是不错。', '短评打分': 3}
{'短评内容': '环境还可以，但房间太小；服务员态度还可以，但可能由于服务员少，要等很久才来；还有就是酒店内消费太高（打个麻将都50元/小时）。对比其它旅游点，990元/两晚，总的来说不值此价。', '短评打分': 1}
{'短评内容': '酒店不错，但我的房间就在机房旁边太吵，还有房间写房间隔音太差啦！面对海境房，这个算不错，但真的太吵了！沙滩还可以，沙系细，但有垃圾！海还不错，但没有浪，像游泳池一样！', '短评打分': 5}
{'短评内容': '房间布置太一般了，不值这个价格。而且网上说下午2点可入住，酒店前台说3点，但3点到了那里，在诸般催促下，才在3点半多才拿到房卡，天气太热，这样的效率让人心情更不爽！海水不怎么好，有股臭味。。。。', '短评打分': 1}
