{'短评内容': '早餐不错.停车方便', '短评打分': 5}
{'短评内容': '早餐一般，酒店的房间装饰很差，没有化妆镜房间的灯光很暗，卫生间最差淋浴是我见过最差的酒店', '短评打分': 2}
{'短评内容': '高性价比', '短评打分': 5}
{'短评内容': '和昆明的翠湖宾馆一样，房间小，设施老，给是同一个设计师设计呢？不过服务还不错', '短评打分': 4}
{'短评内容': '酒店很好，环境好，设施不错，交通方便，高星低价酒店，不错。', '短评打分': 5}
{'短评内容': '优秀酒店', '短评打分': 5}
{'短评内容': '房间干净 服务热情 早餐丰富 推荐住这个酒店', '短评打分': 5}
{'短评内容': '这里环境很好', '短评打分': 5}
{'短评内容': '这里环境很好', '短评打分': 5}
{'短评内容': '我这次订到的房间比较小间，酒店比较老！不过星级酒店最多四星', '短评打分': 5}
{'短评内容': '推荐首选推荐', '短评打分': 5}
{'短评内容': '早餐很不错，交通便利', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '服务态度一流，干净卫生，价格实惠，下次还会选这', '短评打分': 5}
{'短评内容': '老五星，设施还好，服务很好，就是基本上不含早餐。', '短评打分': 5}
{'短评内容': '地理位置和环境都不错。', '短评打分': 5}
{'短评内容': '兴义最好的酒店了，下次还住这里！', '短评打分': 5}
{'短评内容': '出差都住这里，还不错', '短评打分': 5}
{'短评内容': '性价比高，早餐丰富，大堂服务好，如果能在所有室内禁烟就更好了', '短评打分': 5}
{'短评内容': '整体性价比很好。。。。', '短评打分': 4}
{'短评内容': '酒店不错，服务很规范。', '短评打分': 3}
{'短评内容': '环境及服务都挺好的，下次还会住。', '短评打分': 3}
{'短评内容': '早餐不错，房间够大，每次来都住～～～～不粗', '短评打分': 5}
{'短评内容': '第一次住，还送了水果和饼干～～～～～～～', '短评打分': 5}
{'短评内容': '酒店服务不错，就是老酒店房间有点味道，卫生间较简陋', '短评打分': 5}
{'短评内容': '的确不错。想不到兴义也有这样的酒店。旅游开发得还不够，但值得一去。', '短评打分': 5}
{'短评内容': '推荐推荐推荐推荐推荐推荐推荐推荐推荐推荐推荐推荐推荐推荐推荐推荐推荐推荐推荐推荐推荐推荐推荐推荐推荐推荐推荐推荐推荐推荐推荐推荐推荐推荐推荐推荐推荐', '短评打分': 5}
{'短评内容': '不错，虽然没有挂五星，但房间、服务等方面都不错。\n\n推荐一下~', '短评打分': 5}
{'短评内容': '还好，当地最好的酒店了。没听到同行的投诉。', '短评打分': 5}
{'短评内容': 'yangyang douhao bucuo', '短评打分': 5}
{'短评内容': '早餐还好，酒店新，性价比高。离城区稍远点，其它都不错。', '短评打分': 5}
{'短评内容': '兴义最好的酒店，环境优美，值得再次入住，好好！', '短评打分': 5}
{'短评内容': '很不错的酒店，周边设施齐全，生活方便，性价比高。', '短评打分': 5}
{'短评内容': '兴义最好的酒店，每次到兴义都选择它，值得推荐。', '短评打分': 5}
{'短评内容': '挺新的酒店,但对面的工地噪音很大.', '短评打分': 3}
{'短评内容': '整体来讲还可以，价格在那边来讲算是比较高的。性价比有些低。 \n', '短评打分': 5}
{'短评内容': '开业不久的就酒店设施环境都很新，环境也还不错。', '短评打分': 5}
{'短评内容': '酒店设施环境还好，管理方面需要加强。感觉酒店为了节省开支有些不专业。', '短评打分': 3}
{'短评内容': '卫生还不错，做的很好很彻底，服务也很细致，软件比应该更好些。', '短评打分': 3}
{'短评内容': '硬件设施还行.位置好一些挺方便出行的.而且服务人员特别热情对我们很好.', '短评打分': 5}
{'短评内容': '整体来讲还可以，价格在那边来讲算是比较高的。性价比有些低。', '短评打分': 3}
{'短评内容': '酒店管理统一，服务员着装整洁，氛围也很好。值得推荐入入住。', '短评打分': 5}
{'短评内容': '酒店还可以了。城市比较小，当地豪华酒店也不错，可以考虑入住。', '短评打分': 3}
{'短评内容': '服务很不错，态度都很热情饱满，去金州的话是不错的选择。', '短评打分': 5}
{'短评内容': '酒店设施及环境较好，位置稍微有点偏。卫生间洗涑用具摆放位置较危险，很容易碰落地，引起不必要的赔偿。', '短评打分': 3}
{'短评内容': '不错，交通无所谓，小城市，taxi还是比较方便的', '短评打分': 5}
{'短评内容': '算是当地最好的宾馆了，酒店内吃饭好像很贵，最后还是到外面吃去了', '短评打分': 5}
{'短评内容': '酒店设施还不错  只是入住当晚客房内发现不少飞蛾  个头还不小 引发一点点恐慌', '短评打分': 1}
{'短评内容': '好！设施新！房间大！。强烈推荐。早餐不错！', '短评打分': 5}
{'短评内容': '酒店的硬件和软件条件还不错,就是餐点比较差,味道不好.位置远了点,其它各方面都非常好.', '短评打分': 5}
{'短评内容': '房间面积比较小,显得比较拥挤.其它各方面都还不错,硬件条件比较到位.综合来讲还不错.', '短评打分': 5}
{'短评内容': '酒店的综合水平还行.硬件和软件服务都比较到位.位置很好很方便出行.我个人觉得还是一家不错的酒店.', '短评打分': 5}
{'短评内容': '因去罗平看油菜花,于腊月29入住该酒店,感觉非常好,以E-LONG客户预订得到很好照顾,强烈推荐!\r\n特别表扬,服务员穿着的制服很漂亮,有点诱惑力哦.', '短评打分': 5}
