{'短评内容': '尝试一下就可以', '短评打分': 2}
{'短评内容': '十分满意。。', '短评打分': 5}
{'短评内容': '位置绝佳，签证离大使馆最近的旅馆。离儿童研究所很近。卫生一般，硬件一般，这个价位不能要求太高', '短评打分': 4}
{'短评内容': '房间简陋，卫生条件差；配套设施差很少，电视是12寸，有蚊子，卫生间很小，隔音效果不好，总体感觉一下子进了农家院，甚至比农家院还要差。对于要求生活质量一般以上的人尽量不推荐。', '短评打分': 3}
{'短评内容': '交通便利，办事方便', '短评打分': 4}
{'短评内容': '15平的房子，200元。内带一玻璃隔段小卫生间，不提供浴巾，一次性拖鞋需要自已要了才给。充电插座少，电视小，一把个人钉制小椅子。蚊虫类较多，走道窄小，隔音效果差。不能晋级宾馆只能算是旅馆。离儿童医院较近500米，价格相对其它宾馆低，除此之外，别无可取之处，适合就医人员住！', '短评打分': 2}
{'短评内容': '15平的房子，200元。内带一玻璃隔段小卫生间，不提供浴巾，一次性拖鞋需要自已要了才给。充电插座少，电视小，一把个人钉制小椅子。蚊虫类较多，走道窄小，隔音效果差。不能晋级宾馆只能算是旅馆。离儿童医院较近500米，价格相对其它宾馆低，除此之外，别无是处！', '短评打分': 2}
{'短评内容': '带着老婆孩子出门在外，靠近儿研所，步行10分钟，门口是捷克大使馆，街道安静又安全。尽量别开车来，每小时15元伤不起。环境可以。', '短评打分': 5}
{'短评内容': '带着老婆孩子出门在外，靠近儿研所，步行10分钟，门口是捷克大使馆，街道安静又安全。尽量别开车来，每小时15元伤不起。环境可以。', '短评打分': 5}
{'短评内容': '你会发现电梯可以这么小，真是服了，不过独立卫浴，有热水空调，门口街道是捷克大使馆很安静，可以了。', '短评打分': 5}
{'短评内容': '一分价钱，一分货。位置好，设施全，环境一般。', '短评打分': 3}
{'短评内容': '周边环境不错，距离首都儿研所很近', '短评打分': 4}
{'短评内容': '如果不是为了便宜，不会住的。', '短评打分': 3}
{'短评内容': '办理签证很方便，早上起来有便利店可以买东西吃。地方比较好找。设施比较简陋。凑合着还行。老板人挺好，沟通方便。', '短评打分': 4}
{'短评内容': '这是我住过最差的酒店，没有之一，被单枕头套都是脏的，没有吹风机，没有水杯，水壶里面有一股很大的异味', '短评打分': 1}
{'短评内容': '还好吧，挺安静，紧邻使馆区安全也不错。只是房间里发现有&ldquo;小强&rdquo;，还需改进', '短评打分': 4}
{'短评内容': '附近比较安静，但宾馆挺旧', '短评打分': 3}
{'短评内容': '房间不错...就是电梯太小...电话不能用...', '短评打分': 3}
{'短评内容': '还行，北京的骗子真多，最多的就是骗钱。一个这样的房间还要二百多', '短评打分': 5}
{'短评内容': '房间太小，卫生状况太差了。网络也不好，下次不会再住这样的酒店了。', '短评打分': 1}
{'短评内容': '鲁家园酒店住房面积没网上所说的那么大，住房卫生条件环境太差，根本就不能住。', '短评打分': 3}
{'短评内容': '地理位置较好，交通比较方便，但房间环境较差，床上用品不干净', '短评打分': 1}
{'短评内容': '从没住过这么差的酒店，原来所谓的特价房就是一堆毛病的房间。被子小得可怜，厕所的水龙头是坏的，打电话到前台，竟然说没关系，龙头还没买回来。电视没信号。太差了，绝对不会去第二次了', '短评打分': 1}
{'短评内容': '周围环境不错，交通便利', '短评打分': 3}
{'短评内容': 'hao    hen很方方面面便1111111111', '短评打分': 5}
{'短评内容': '还算凑合吧，环境真心不好。。。地段还算可以', '短评打分': 1}
{'短评内容': '地方很安静在使馆区，房间隔音差点。', '短评打分': 3}
{'短评内容': '    只能说还可以吧，环境不是很好，厕所里的设备比较差，不过上网蛮好的，不用输什么码的 ', '短评打分': 1}
