{'短评内容': '酒店服务、设施好，出行方便', '短评打分': 5}
{'短评内容': '环境还挺好', '短评打分': 5}
{'短评内容': '酒店位置好，到后面回民街100米，出门往右10米再往右100米就是钟楼，再往右100米就是鼓楼。楼下就是新世界百货。楼下停车也有优惠，老板服务态度超好，很有耐心。价格很实惠的了！', '短评打分': 5}
{'短评内容': '交通很便利，服务好，也很干净。', '短评打分': 5}
{'短评内容': '位置离市中心景区很近', '短评打分': 5}
{'短评内容': 'accept foreigners quite good, it was impossible to lower the heaters', '短评打分': 4}
{'短评内容': '公寓酒店，不错的。', '短评打分': 5}
{'短评内容': '性价比比较高，到钟楼鼓楼回民街都很方便。打车地铁公交也方便的很。以后再有机会来应该还会选择金树哦', '短评打分': 5}
{'短评内容': '地段优越，环境良好，价格适中，生活方便。', '短评打分': 5}
{'短评内容': '虽然位置不错,但是寻找得有点儿不容易。房间的设施比较久,可是很干净。睡觉的时候有点冷,没办法', '短评打分': 3}
{'短评内容': '干净整洁，服务很好。房屋设计居住缺乏人性化，例如没有床头灯，插座少etc.', '短评打分': 4}
{'短评内容': '携程这个价也是靠谱了牛', '短评打分': 4}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '还行吧', '短评打分': 5}
{'短评内容': '整体还不错，安静环境不错。', '短评打分': 5}
{'短评内容': '酒店干净，没有异味，交通方便，位于市中心，旁边还有小吃，', '短评打分': 5}
{'短评内容': '房间以及位置还可以，酒店无标识，性价比一般。', '短评打分': 3}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '房间很大很干净，交通方便，服务态度良好，推荐入住！', '短评打分': 3}
{'短评内容': '满分10分\n性价比 8（同位置酒店来说，价格算不错的）\n位置   8（步行5分钟可到钟楼，但位置不好找。）\n环境  6（房间挨着马路噪音挺明显，楼下为垃圾站，味道很大）\n服务  7（业务能力及熟练度有待改进）\n', '短评打分': 5}
