{'短评内容': '总体还行 房间稍小', '短评打分': 5}
{'短评内容': '房间比较小，服务一般', '短评打分': 3}
{'短评内容': '地理位置是挺好的，下楼就有夜市儿，很多摆摊的小吃水果店。住的那间屋子卫生就一般般了，屋内物品还是挺全的，拉开窗帘屋里也很敞亮。但是一进走廊就給人一种很压抑的感觉。可能是光线不好的问题吧。也许是我点儿背 唯一的一间卫生不好的让我赶上了 卫生真的很一般啊 ', '短评打分': 1}
{'短评内容': '要是去沈阳玩的话，推荐！往北走一点是个小市场卖各种吃的，楼下就是夜市，晚上也有地方逛哦！！宾馆环境嘛  还算不错........', '短评打分': 5}
{'短评内容': '房间还行，就是隔音不好，电梯声音很清晰', '短评打分': 3}
{'短评内容': '总体来讲不错，有租电脑的，很有意思，我用的是30元的，有点贵，但是还是电脑方便呗，电视有时卡，所以电脑很实用，屋内摆设和别的酒店差不多，服务一般，但是人数可能比较少的缘故，总体服务很不错，离教堂和夜市非常近，远处能看见教堂的建筑，但是在胡同里面，要不是打车还真是难找些，底下是夜市，买点东西还是很方便的，周围有市场什么的，感觉这地方和我想象的不太一样，不过总体还行吧，考试来这边还算可以的。', '短评打分': 5}
{'短评内容': '还可以，就是房间暗了点，但是对得起这个价格了', '短评打分': 5}
{'短评内容': '挺不错。很方便的，不过细节还需要注意些，前台还不错，下次还会过来', '短评打分': 3}
{'短评内容': '干净整洁，设计比较有格调，进去的感觉挺舒服', '短评打分': 5}
{'短评内容': '还可以,一般。', '短评打分': 3}
{'短评内容': '酒店毛巾比擦地板的抹布还黑，怀疑该酒店把打扫卫生用抹布给客人用', '短评打分': 3}
